Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
84,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
86,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
87,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
89,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
90,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
91,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
92,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
93,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
98,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
99,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
100,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
101,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
102,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
103,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
104,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
105,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
106,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
107,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
108,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
109,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
117,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
126,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
128,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
131,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
132,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
133,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
135,NULL,NULL,Cropland,Water,Non_Wetland,Cropland,Wetland,Grassland
136,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
138,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
139,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
140,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
141,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
142,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
143,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
144,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
145,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Water
146,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
147,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
148,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
149,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
150,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Water
151,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
152,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
153,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
154,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
155,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
156,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
157,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
158,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
159,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
160,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
161,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
162,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
163,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
164,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
165,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
166,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
167,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
168,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
169,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
170,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
171,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
172,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
173,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
174,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
175,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
176,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
177,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
178,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
179,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
180,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
181,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
182,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
184,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
185,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
186,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
187,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
188,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
189,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
190,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
191,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
192,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
193,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
194,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
195,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Water
196,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
197,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
198,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
199,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
200,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
201,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
202,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
203,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
204,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
205,NULL,NULL,Wetland,Water,Wetland,Cropland,NULL,Grassland
206,NULL,NULL,Wetland,Water,Wetland,Cropland,NULL,Water
207,NULL,NULL,Wetland,Water,Wetland,Cropland,Water,Water
208,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Water
209,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
210,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
211,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
212,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
213,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
214,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
215,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
216,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
217,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
218,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
219,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
220,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Bareland
221,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
222,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
223,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
224,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
225,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
226,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
227,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
228,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
229,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
230,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
231,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
232,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
233,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
234,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
235,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Bareland
236,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
237,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
239,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
241,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
242,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
243,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
244,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
246,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
247,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
248,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
249,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
250,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
251,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
252,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
253,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
254,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
255,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
256,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
258,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
259,NULL,NULL,Water,NULL,Water,Water,Water,Water
260,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
261,NULL,NULL,Water,Water,Water,Grassland,Water,Water
262,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
263,NULL,NULL,Water,Water,Water,Water,Water,Grassland
264,NULL,NULL,Water,Water,Water,Water,Water,Water
265,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
266,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
267,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
268,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
270,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
273,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
274,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
276,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
279,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
280,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
281,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
282,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
283,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
284,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
285,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
287,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
288,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
289,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
290,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
291,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
292,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
293,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
294,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
295,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
296,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
297,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
298,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
299,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Forest
300,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
302,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
303,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
304,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
305,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Forest
306,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
307,NULL,Cropland,Wetland,Water,Wetland,Water,Water,Grassland
308,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
310,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
311,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
313,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
314,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
315,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
316,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
317,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
318,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
319,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Grassland
320,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Bareland
321,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
322,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
323,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
324,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
325,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
326,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
327,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
328,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Bareland
329,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
330,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
331,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
332,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Bareland
333,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
334,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
335,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
336,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
337,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
338,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
