Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
79,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
85,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
87,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
88,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
89,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
90,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
91,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
92,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
93,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Wetland
94,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
95,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
96,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
97,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Water
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
182,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
183,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
185,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
186,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
189,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
190,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
191,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Forest
192,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
193,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
194,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
195,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
197,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
198,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
199,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
202,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
203,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
205,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
206,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
207,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
208,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Wetland
209,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
210,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
211,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
212,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
213,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
234,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
246,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
258,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
259,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
260,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
261,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
262,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
263,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
264,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
267,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
268,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
269,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Forest
270,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
271,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
272,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
273,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
274,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
275,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
276,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
277,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
278,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
284,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
285,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
286,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
287,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
289,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
290,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
291,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
292,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
293,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
294,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
295,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
296,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
297,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
298,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
299,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
300,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
301,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
303,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
304,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
305,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
306,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
307,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
308,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
310,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
311,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
312,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
313,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
314,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
315,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
316,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
317,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
319,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
320,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
321,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
322,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
323,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
324,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
325,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Forest
326,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
327,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
328,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
