Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KMA_M_R
744,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
745,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
746,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
747,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
748,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
749,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
750,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
751,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
752,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
753,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
754,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
755,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
756,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
757,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
758,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
759,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
760,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
761,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
762,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
763,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
764,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
765,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
766,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
767,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
768,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
769,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
770,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
771,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
772,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
773,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
774,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
775,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
776,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
777,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
778,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
779,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
780,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
781,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
782,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
783,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
784,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
785,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
786,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
787,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
788,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
789,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
790,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
791,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
792,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
793,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
794,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
795,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
796,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
797,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
798,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
799,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
800,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
801,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
802,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
803,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
804,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
805,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
806,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
807,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
808,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
809,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
810,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
811,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
812,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
813,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
814,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
815,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
816,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
817,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
818,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
819,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
820,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
821,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
822,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
823,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
824,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
825,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
826,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
827,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
828,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
829,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
830,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
831,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
832,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
833,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
834,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
835,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
836,Cropland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
837,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
838,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
839,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
840,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
841,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
842,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
843,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
844,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
845,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
846,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
847,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
848,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
849,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
850,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
851,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
852,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
853,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
854,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
855,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
856,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
857,Cropland,Cropland,Water,NULL,Water,NULL,NULL,NULL
858,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
859,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Cropland
860,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Bareland
861,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Built-up
862,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Water
863,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Forest
864,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
865,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Cropland
866,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Water
867,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
868,Cropland,Cropland,Water,Water,Water,NULL,NULL,Grassland
869,Cropland,Cropland,Water,Water,Water,NULL,NULL,Cropland
870,Cropland,Cropland,Water,Water,Water,NULL,NULL,Bareland
871,Cropland,Cropland,Water,Water,Water,NULL,NULL,Water
872,Cropland,Cropland,Water,Water,Water,NULL,NULL,Forest
873,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
874,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
875,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
876,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
877,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
878,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
879,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
880,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
881,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
882,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
883,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
884,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
885,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
886,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
887,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
888,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
889,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
890,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
891,Cropland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
892,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
893,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
894,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
895,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
896,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
897,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
898,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
899,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
900,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
901,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
902,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
903,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
904,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
905,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
906,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
907,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
908,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
909,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
910,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
911,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
912,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
913,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
914,Cropland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
915,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
916,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
917,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
918,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
919,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
920,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
921,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
922,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
923,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
924,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
925,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
926,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
927,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
928,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
929,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
930,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
931,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
932,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
933,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
934,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
935,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
936,Cropland,Bareland,Water,NULL,Water,NULL,NULL,Grassland
937,Cropland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
938,Cropland,Bareland,Water,NULL,Water,NULL,NULL,Water
939,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
940,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
941,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
942,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
943,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
944,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
945,Cropland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
946,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
947,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
948,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
949,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
950,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
951,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
952,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
953,Cropland,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
954,Cropland,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
955,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
956,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
957,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
958,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
959,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
960,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
961,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
962,Cropland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
963,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
964,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
965,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
966,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
967,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
968,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
969,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
970,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
971,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
972,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
973,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
974,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
975,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
976,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
977,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
978,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
979,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
980,Cropland,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
981,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
982,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
983,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
984,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
985,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
986,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
987,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
988,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
989,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
990,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
991,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
992,Cropland,Built-up,Water,NULL,Water,NULL,NULL,NULL
993,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Grassland
994,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Cropland
995,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Bareland
996,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Built-up
997,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Water
998,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Forest
999,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1000,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1001,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1002,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1003,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1004,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1005,Cropland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1006,Cropland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1007,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1008,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1009,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1010,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
1011,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
1012,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1013,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Cropland
1014,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
1015,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
1016,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1017,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1018,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1019,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1020,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1021,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1022,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
1023,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1024,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1025,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1026,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1027,Cropland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1028,Cropland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
1029,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Cropland
1030,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
1031,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
1032,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
1033,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1034,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
1035,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
1036,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1037,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1038,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1039,Cropland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1040,Cropland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
1041,Cropland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1042,Cropland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1043,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
1044,Cropland,Water,Water,Water,Water,NULL,NULL,Cropland
1045,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1046,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
1047,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1048,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1049,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1050,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1051,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1052,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1053,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1054,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1055,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1056,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1057,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1058,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1059,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1060,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1061,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1062,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1063,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1064,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1065,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1066,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1067,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
1068,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1069,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1070,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1071,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1072,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1073,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1074,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1075,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
1076,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1077,Cropland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1078,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
1079,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Cropland
