Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NUG_M_R
124,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
125,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
126,NULL,Cropland,Grassland,Water,Non_Wetland,Water
127,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Wetland,Water,Wetland,Water
129,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
133,NULL,Cropland,Water,Non_Water,Water,Water
134,NULL,Cropland,Water,Water,Water,Water
135,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
136,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
137,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
138,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
139,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
140,NULL,Cropland,Forest,Water,Non_Wetland,Forest
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
142,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
143,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
144,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
145,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
146,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
147,NULL,Wetland,Wetland,NULL,Wetland,Grassland
148,NULL,Wetland,Wetland,NULL,Wetland,Forest
149,NULL,Wetland,Wetland,Non_Water,Wetland,Water
150,NULL,Wetland,Wetland,Water,Wetland,Water
151,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
152,NULL,Wetland,Water,Non_Water,Water,Water
153,NULL,Wetland,Water,Water,Water,Water
154,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
155,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
156,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
157,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
158,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
159,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
160,NULL,Bareland,NULL,NULL,Non_Wetland,Water
161,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
162,NULL,Bareland,NULL,Non_Water,Non_Wetland,Grassland
163,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland
164,NULL,Bareland,NULL,Non_Water,Non_Wetland,Forest
165,NULL,Bareland,NULL,Water,Non_Wetland,Bareland
166,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
167,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
168,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
169,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
170,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
171,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
172,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
173,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
174,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
175,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
176,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
177,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
178,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
179,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
180,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
181,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
182,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
183,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
184,NULL,Bareland,Grassland,Water,Non_Wetland,Water
185,NULL,Bareland,Grassland,Water,Non_Wetland,Forest
186,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
187,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
188,NULL,Bareland,Cropland,Water,Non_Wetland,Water
189,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
190,NULL,Bareland,Wetland,NULL,Wetland,Grassland
191,NULL,Bareland,Wetland,NULL,Wetland,Water
192,NULL,Bareland,Wetland,NULL,Wetland,Forest
193,NULL,Bareland,Wetland,Non_Water,Wetland,Water
194,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
195,NULL,Bareland,Wetland,Water,Wetland,Grassland
196,NULL,Bareland,Wetland,Water,Wetland,Bareland
197,NULL,Bareland,Wetland,Water,Wetland,Water
198,NULL,Bareland,Wetland,Water,Wetland,Forest
199,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
200,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
201,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
202,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
203,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
204,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
205,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
206,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
207,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
208,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
209,NULL,Bareland,Bareland,Water,Non_Wetland,Water
210,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
211,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
212,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
213,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
214,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
215,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
216,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
217,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
218,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
219,NULL,Bareland,Built-up,Water,Non_Wetland,Water
220,NULL,Bareland,Built-up,Water,Non_Wetland,Forest
221,NULL,Bareland,Water,NULL,Water,Grassland
222,NULL,Bareland,Water,NULL,Water,Bareland
223,NULL,Bareland,Water,NULL,Water,Water
224,NULL,Bareland,Water,NULL,Water,Forest
225,NULL,Bareland,Water,Non_Water,Water,Grassland
226,NULL,Bareland,Water,Non_Water,Water,Bareland
227,NULL,Bareland,Water,Non_Water,Water,Water
228,NULL,Bareland,Water,Non_Water,Water,Forest
229,NULL,Bareland,Water,Water,Water,Grassland
230,NULL,Bareland,Water,Water,Water,Bareland
231,NULL,Bareland,Water,Water,Water,Water
232,NULL,Bareland,Water,Water,Water,Forest
233,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
234,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
235,NULL,Bareland,Forest,NULL,Non_Wetland,Water
236,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
237,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
238,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
239,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
240,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
241,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
242,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
243,NULL,Bareland,Forest,Water,Non_Wetland,Water
244,NULL,Bareland,Forest,Water,Non_Wetland,Forest
245,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
246,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
247,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
248,NULL,Built-up,NULL,NULL,Non_Wetland,Water
249,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
250,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
251,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
252,NULL,Built-up,NULL,Water,Non_Wetland,Water
253,NULL,Built-up,NULL,Water,Non_Wetland,Forest
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
260,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
261,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
262,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
263,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
264,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
265,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
266,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
267,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
268,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
269,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
270,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
271,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
272,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
273,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Water
274,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
275,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
276,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
277,NULL,Built-up,Grassland,Water,Non_Wetland,Water
278,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
279,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
280,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
281,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
282,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
283,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
284,NULL,Built-up,Wetland,NULL,Wetland,Grassland
285,NULL,Built-up,Wetland,NULL,Wetland,Bareland
286,NULL,Built-up,Wetland,NULL,Wetland,Built-up
287,NULL,Built-up,Wetland,NULL,Wetland,Water
288,NULL,Built-up,Wetland,NULL,Wetland,Forest
289,NULL,Built-up,Wetland,Non_Water,Wetland,Water
290,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
291,NULL,Built-up,Wetland,Water,Wetland,Water
292,NULL,Built-up,Wetland,Water,Wetland,Forest
293,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
294,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
295,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
296,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
297,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
298,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
299,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
300,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
301,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
302,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
303,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
304,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
305,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
306,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
307,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
308,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
309,NULL,Built-up,Built-up,Water,Non_Wetland,Water
310,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
311,NULL,Built-up,Water,NULL,Water,Grassland
312,NULL,Built-up,Water,NULL,Water,Bareland
313,NULL,Built-up,Water,NULL,Water,Built-up
314,NULL,Built-up,Water,NULL,Water,Water
315,NULL,Built-up,Water,NULL,Water,Forest
316,NULL,Built-up,Water,Non_Water,Water,Grassland
317,NULL,Built-up,Water,Non_Water,Water,Bareland
318,NULL,Built-up,Water,Non_Water,Water,Water
319,NULL,Built-up,Water,Non_Water,Water,Forest
320,NULL,Built-up,Water,Water,Water,Water
321,NULL,Built-up,Water,Water,Water,Forest
322,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
323,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
324,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
325,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
326,NULL,Built-up,Forest,NULL,Non_Wetland,Water
327,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
328,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
329,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
330,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
331,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
332,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
333,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
334,NULL,Built-up,Forest,Water,Non_Wetland,Water
335,NULL,Water,NULL,NULL,Non_Wetland,Grassland
336,NULL,Water,NULL,NULL,Non_Wetland,Bareland
337,NULL,Water,NULL,NULL,Non_Wetland,Water
338,NULL,Water,NULL,NULL,Non_Wetland,Forest
339,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
340,NULL,Water,NULL,Non_Water,Non_Wetland,Water
341,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
342,NULL,Water,NULL,Water,Non_Wetland,Grassland
343,NULL,Water,NULL,Water,Non_Wetland,Water
344,NULL,Water,NULL,Water,Non_Wetland,Forest
345,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
346,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
347,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
348,NULL,Water,Shrubland,NULL,Non_Wetland,Water
349,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
350,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
351,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
352,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
353,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
354,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
355,NULL,Water,Shrubland,Water,Non_Wetland,Forest
356,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
357,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
358,NULL,Water,Grassland,NULL,Non_Wetland,Water
359,NULL,Water,Grassland,NULL,Non_Wetland,Forest
360,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
361,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
362,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
363,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
364,NULL,Water,Grassland,Water,Non_Wetland,Bareland
365,NULL,Water,Grassland,Water,Non_Wetland,Water
366,NULL,Water,Grassland,Water,Non_Wetland,Forest
367,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
368,NULL,Water,Cropland,NULL,Non_Wetland,Water
369,NULL,Water,Cropland,NULL,Non_Wetland,Forest
370,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
371,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
372,NULL,Water,Cropland,Water,Non_Wetland,Grassland
373,NULL,Water,Cropland,Water,Non_Wetland,Water
374,NULL,Water,Cropland,Water,Non_Wetland,Forest
375,NULL,Water,Wetland,NULL,Wetland,Grassland
376,NULL,Water,Wetland,NULL,Wetland,Bareland
377,NULL,Water,Wetland,NULL,Wetland,Water
378,NULL,Water,Wetland,NULL,Wetland,Forest
379,NULL,Water,Wetland,Non_Water,Wetland,Grassland
380,NULL,Water,Wetland,Non_Water,Wetland,Bareland
381,NULL,Water,Wetland,Non_Water,Wetland,Water
382,NULL,Water,Wetland,Non_Water,Wetland,Forest
383,NULL,Water,Wetland,Water,Wetland,Grassland
384,NULL,Water,Wetland,Water,Wetland,Bareland
385,NULL,Water,Wetland,Water,Wetland,Water
386,NULL,Water,Wetland,Water,Wetland,Forest
387,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
388,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
389,NULL,Water,Bareland,NULL,Non_Wetland,Water
390,NULL,Water,Bareland,NULL,Non_Wetland,Forest
391,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
392,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
393,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
394,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
395,NULL,Water,Bareland,Water,Non_Wetland,Water
396,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
397,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
398,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
399,NULL,Water,Built-up,NULL,Non_Wetland,Water
400,NULL,Water,Built-up,NULL,Non_Wetland,Forest
401,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
402,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
403,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
404,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
405,NULL,Water,Built-up,Water,Non_Wetland,Bareland
406,NULL,Water,Built-up,Water,Non_Wetland,Forest
407,NULL,Water,Water,NULL,Water,Grassland
408,NULL,Water,Water,NULL,Water,Bareland
409,NULL,Water,Water,NULL,Water,Water
410,NULL,Water,Water,NULL,Water,Forest
411,NULL,Water,Water,Non_Water,Water,Grassland
412,NULL,Water,Water,Non_Water,Water,Bareland
413,NULL,Water,Water,Non_Water,Water,Water
414,NULL,Water,Water,Non_Water,Water,Forest
415,NULL,Water,Water,Water,Water,Grassland
416,NULL,Water,Water,Water,Water,Bareland
417,NULL,Water,Water,Water,Water,Water
418,NULL,Water,Water,Water,Water,Forest
419,NULL,Water,Forest,NULL,Non_Wetland,Grassland
420,NULL,Water,Forest,NULL,Non_Wetland,Bareland
421,NULL,Water,Forest,NULL,Non_Wetland,Built-up
422,NULL,Water,Forest,NULL,Non_Wetland,Water
423,NULL,Water,Forest,NULL,Non_Wetland,Forest
424,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
425,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
426,NULL,Water,Forest,Non_Water,Non_Wetland,Water
427,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
428,NULL,Water,Forest,Water,Non_Wetland,Grassland
429,NULL,Water,Forest,Water,Non_Wetland,Bareland
430,NULL,Water,Forest,Water,Non_Wetland,Built-up
431,NULL,Water,Forest,Water,Non_Wetland,Water
432,NULL,Water,Forest,Water,Non_Wetland,Forest
433,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
434,NULL,Forest,NULL,NULL,Non_Wetland,Forest
435,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
436,NULL,Forest,NULL,Non_Water,Non_Wetland,Bareland
437,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
438,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
439,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
440,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
441,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
