Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
60,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
61,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
63,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
64,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
67,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
68,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
118,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
119,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
120,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
121,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
122,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
145,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
147,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
148,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
149,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
150,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
151,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
153,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
159,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
162,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
164,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
165,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
167,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
168,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
169,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
171,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
172,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Water
173,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
174,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
175,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
176,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
177,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
178,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
179,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
180,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
181,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
182,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
183,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
186,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
187,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
188,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
189,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
190,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
191,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
192,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
193,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
194,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
195,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
196,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
197,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
198,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
199,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
200,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
201,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
202,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
203,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
204,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
205,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
206,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
207,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
208,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
209,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
211,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
212,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
213,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
214,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
215,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
216,NULL,NULL,Wetland,NULL,Wetland,Bareland,Built-up,Forest
217,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
218,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
219,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Water
220,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
221,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
223,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
224,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Forest
225,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
226,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
228,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
229,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
230,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
232,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
233,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
234,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
235,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
236,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
237,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
238,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
239,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
240,NULL,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Grassland
241,NULL,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Water
242,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
244,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
246,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Water
247,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
248,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Water
249,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
250,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
251,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
252,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
253,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
254,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
255,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
256,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
257,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
258,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Bareland
259,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
260,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
261,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
262,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
263,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Forest
264,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
265,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,NULL
266,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
267,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Forest
268,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
269,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
270,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
272,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Bareland
273,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
274,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
275,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
276,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
278,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
279,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
280,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
281,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
282,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
283,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
284,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Grassland
285,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
286,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
287,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
288,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
289,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
290,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
291,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Forest,Grassland
292,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
293,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
294,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
295,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
297,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
298,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
299,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
300,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
302,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
303,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
305,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
306,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
307,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
308,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
309,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Bareland
310,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
311,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Water
312,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
313,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Forest
314,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
315,NULL,NULL,Water,Water,Water,Water,Bareland,Bareland
316,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
317,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
318,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
320,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
321,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
322,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
323,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
324,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
325,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
326,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
327,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
328,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
