Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
87,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
203,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Wetland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
206,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,NULL
217,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
221,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
225,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
227,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
228,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
231,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
233,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
234,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
235,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
236,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
238,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
239,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
241,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
242,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
244,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
246,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
248,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
266,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
268,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
272,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
273,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
276,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
277,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
278,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
282,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
283,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
284,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
288,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
289,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
290,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
293,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
294,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
296,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Forest
297,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
298,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
299,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
300,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Grassland
301,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Water
303,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
304,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
305,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
306,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
308,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,NULL
310,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
311,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
312,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
313,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
314,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
315,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
316,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
317,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
318,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
319,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
320,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
321,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
322,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
323,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
324,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
