Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWC_M_R
108,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
109,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
111,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
112,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
113,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
114,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
115,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
122,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
123,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
124,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
125,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
126,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
127,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
128,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
129,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
130,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
131,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
132,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
133,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
135,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
136,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
137,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
138,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
141,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
142,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
146,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
147,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
148,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
151,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
152,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
154,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
155,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
157,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
159,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
161,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
162,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
173,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
174,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
175,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
176,NULL,Water,Water,Water,Water,NULL,NULL,Water
177,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
182,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
183,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
184,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
185,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
186,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
187,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
188,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
189,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
190,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
191,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
192,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
193,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
194,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
196,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
197,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
198,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
199,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
200,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
201,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
202,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
203,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
204,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
205,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
206,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
207,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
208,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
209,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
210,NULL,Forest,Wetland,NULL,Wetland,Grassland,NULL,NULL
211,NULL,Forest,Wetland,NULL,Wetland,Grassland,NULL,Grassland
212,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
213,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
216,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
217,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
218,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
219,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
220,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
221,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
222,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
223,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
224,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
225,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
226,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
228,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
229,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
230,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
231,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
233,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
234,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
235,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
236,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
237,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
238,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
239,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
240,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
241,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
245,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
246,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
247,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
250,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
253,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
254,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
255,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
256,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
257,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
258,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
259,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
261,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
262,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
264,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
265,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
266,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
267,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
268,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
269,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
270,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
271,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
272,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
273,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
274,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
275,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
276,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
277,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
278,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
279,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
280,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
281,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
282,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
283,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
284,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
286,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
287,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
288,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
289,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
290,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
292,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
293,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
294,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
295,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
296,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
297,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
298,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
299,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
300,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
301,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
302,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
303,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
304,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
305,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
306,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
307,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
308,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
309,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
310,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
311,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
312,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
313,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
314,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
315,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
316,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
317,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
318,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
319,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
320,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
321,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
322,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
323,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
324,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
325,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
