Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
83,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Bareland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
177,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
179,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Bareland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
196,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
200,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
209,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
217,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
225,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
227,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
230,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
234,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
239,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
241,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
242,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
248,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
267,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Built-up,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
272,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
275,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
278,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
279,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
282,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
283,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
286,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
290,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
293,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
295,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
298,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
299,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
304,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
306,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
307,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
308,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
309,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
310,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
311,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
313,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
315,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
316,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
317,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
319,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
320,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
321,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
322,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
323,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
324,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
325,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
