Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LCH_M_R
1097,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
1098,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1099,NULL,NULL,Water,Water,Water,Bareland,NULL,Grassland
1100,NULL,NULL,Water,Water,Water,Bareland,Shrubland,NULL
1101,NULL,NULL,Water,Water,Water,Bareland,Grassland,Grassland
1102,NULL,NULL,Water,Water,Water,Bareland,Wetland,Grassland
1103,NULL,NULL,Water,Water,Water,Bareland,Wetland,Wetland
1104,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
1105,NULL,NULL,Water,Water,Water,Bareland,Water,Wetland
1106,NULL,NULL,Water,Water,Water,Bareland,Water,Forest
1107,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
1108,NULL,NULL,Water,Water,Water,Water,Grassland,Water
1109,NULL,NULL,Water,Water,Water,Water,Water,Wetland
1110,NULL,NULL,Water,Water,Water,Water,Water,Water
1111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
1116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
1117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
1118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Wetland
1119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Bareland
1120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
1121,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
1122,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1123,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
1124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Bareland
1125,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
1127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
1130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
1131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Bareland
1132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Grassland
1133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
1134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
1135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1137,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
1138,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
1139,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1140,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1141,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1142,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1143,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Water
1144,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1145,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
1146,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1147,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1148,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1149,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
1150,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1151,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
1152,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
1153,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
1154,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1155,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
1156,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Water
1157,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
1158,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
1159,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1160,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1161,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
1162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1164,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
1165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1166,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
1167,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1168,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1169,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1170,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1171,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1172,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1173,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1174,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
1175,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
1176,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1177,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
1178,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1179,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
1180,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1181,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
1182,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1183,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
1184,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1185,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1186,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
1187,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1188,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
1189,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1190,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1191,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
1192,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
1193,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1194,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
1195,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
1196,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1197,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
1198,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1199,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
1200,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1201,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
1202,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1203,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
1204,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
1205,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1206,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1207,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1208,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1209,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1210,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1211,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1212,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
1213,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1214,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
1215,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1216,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1217,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
1218,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1219,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1220,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Wetland
1221,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1222,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Water
1223,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
1224,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
1225,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1226,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1227,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
1228,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1229,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
1230,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1231,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
1232,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1233,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Wetland
1234,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1235,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
1236,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1237,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
1238,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Wetland
1239,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Water
1240,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
1241,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
1242,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1243,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Wetland
1244,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1245,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1246,NULL,NULL,Forest,NULL,Non_Wetland,Water,Shrubland,Forest
1247,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1248,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Water
1249,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
1250,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1251,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
1252,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
1253,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
1254,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
1255,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1256,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1257,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1258,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Water,Grassland
1259,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
1260,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1261,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
1262,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1263,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1264,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
1265,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Water
1266,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
1267,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1268,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
1269,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
1270,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
1271,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
1272,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
1273,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
1274,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
1275,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
1276,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1277,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1278,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1279,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1280,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
1281,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Water
1282,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
1283,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1284,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
1285,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1286,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1287,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1288,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
1289,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1290,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
1291,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
1292,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
1293,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,NULL
1294,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1295,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
1296,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
1297,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,NULL
1298,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1299,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
1300,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Wetland
1301,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Forest,Forest
1302,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
1303,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Wetland,Grassland
1304,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Bareland,Grassland
1305,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
1306,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1307,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
1308,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1309,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
1310,NULL,NULL,Forest,Water,Non_Wetland,Wetland,NULL,Wetland
1311,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Shrubland,Wetland
1312,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Shrubland,Forest
1313,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1314,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
1315,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
1316,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
1317,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Wetland
1318,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
1319,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,Forest
1320,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
1321,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1322,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1323,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1324,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1325,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
1326,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
1327,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
1328,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
1329,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1330,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1331,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1332,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,NULL
1333,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
1334,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1335,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
1336,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
1337,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
1338,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1339,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1340,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1341,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
1342,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1343,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1344,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
1345,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1346,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
1347,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
1348,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1349,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1350,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1351,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1352,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Water
1353,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1354,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
1355,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1356,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1357,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1358,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1359,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1360,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1361,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1362,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1363,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1364,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1365,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
1366,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1367,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
1368,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Water
1369,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1370,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1371,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
1372,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1373,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1374,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1375,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1376,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
1377,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1378,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1379,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1380,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
1381,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
1382,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1383,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1384,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
1385,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1386,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
1387,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
1388,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1389,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1390,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
1391,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1392,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
1393,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1394,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
1395,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1396,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1397,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
1398,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1399,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Water,Water
1400,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1401,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
1402,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
1403,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
1404,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1405,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1406,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
1407,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1408,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1409,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1410,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1411,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1412,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1413,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1414,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
1415,NULL,Cropland,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
1416,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1417,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1418,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1419,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1420,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1421,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1422,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
1423,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1424,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
1425,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
1426,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
