Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KME_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KME_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KME_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KME_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KME_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KME_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KME_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R
749,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
750,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
751,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
752,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
753,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
754,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
755,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
756,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
757,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
758,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
759,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
760,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
761,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
762,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
763,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
764,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
765,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
766,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
767,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
768,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
769,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
770,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
771,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
772,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
773,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
774,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
775,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
776,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
777,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
778,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
779,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
780,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
781,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
782,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
783,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
784,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
785,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
786,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
787,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
788,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
789,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
790,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
791,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
792,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
793,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
794,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
795,Cropland,NULL,Water,NULL,Water,NULL,NULL,NULL
796,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
797,Cropland,NULL,Water,NULL,Water,NULL,NULL,Cropland
798,Cropland,NULL,Water,NULL,Water,NULL,NULL,Bareland
799,Cropland,NULL,Water,NULL,Water,NULL,NULL,Water
800,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
801,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,NULL
802,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
803,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
804,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
805,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
806,Cropland,NULL,Water,Water,Water,NULL,NULL,NULL
807,Cropland,NULL,Water,Water,Water,NULL,NULL,Cropland
808,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
809,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
810,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
811,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
812,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
813,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
814,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
815,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
816,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
817,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
818,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
819,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
820,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
821,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
822,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
823,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
824,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
825,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
826,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
827,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
828,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
829,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
830,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
831,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
832,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
833,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
834,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
835,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
836,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
837,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
838,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
839,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
840,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
841,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
842,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
843,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
844,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
845,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
846,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
847,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
848,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
849,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
850,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
851,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
852,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
853,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
854,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
855,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
856,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
857,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
858,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
859,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
860,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
861,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
862,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
863,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
864,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
865,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
866,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
867,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
868,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
869,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
870,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
871,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
872,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
873,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
874,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
875,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
876,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
877,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
878,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
879,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
880,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
881,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
882,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
883,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
884,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
885,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
886,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
887,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
888,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
889,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
890,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
891,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
892,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
893,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
894,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
895,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
896,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
897,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
898,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
899,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
900,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
901,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
902,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,NULL
903,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
904,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
905,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
906,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
907,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
908,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
909,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
910,Cropland,Cropland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Forest
911,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
912,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
913,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
914,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
915,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
916,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
917,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
918,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
919,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
920,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
921,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
922,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
923,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
924,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
925,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
926,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
927,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
928,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
929,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
930,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
931,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
932,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
933,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
934,Cropland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,NULL
935,Cropland,Cropland,Water,NULL,Water,NULL,NULL,NULL
936,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
937,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Cropland
938,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Bareland
939,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Built-up
940,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Water
941,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Forest
942,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Cropland
943,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
944,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Water
945,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
946,Cropland,Cropland,Water,Water,Water,NULL,NULL,Grassland
947,Cropland,Cropland,Water,Water,Water,NULL,NULL,Bareland
948,Cropland,Cropland,Water,Water,Water,NULL,NULL,Water
949,Cropland,Cropland,Water,Water,Water,NULL,NULL,Forest
950,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
951,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
952,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
953,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
954,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
955,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
956,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
957,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
958,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
959,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
960,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
961,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
962,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
963,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
964,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
965,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
966,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
967,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
968,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
969,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
970,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
971,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
972,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
973,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
974,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
975,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
976,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
977,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
978,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
979,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
980,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
981,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
982,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
983,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
984,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
985,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
986,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
987,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
988,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
989,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
990,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
991,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
992,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
993,Cropland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
994,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
995,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
996,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
997,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
998,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
999,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1000,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1001,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1002,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1003,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1004,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1005,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1006,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1007,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1008,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1009,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1010,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1011,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1012,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1013,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1014,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1015,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1016,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
1017,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1018,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1019,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1020,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1021,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1022,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1023,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
1024,Cropland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1025,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1026,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
1027,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1028,Cropland,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1029,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1030,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1031,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1032,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1033,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1034,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1035,Cropland,Built-up,Water,NULL,Water,NULL,NULL,NULL
1036,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Forest
1037,Cropland,Built-up,Water,Water,Water,NULL,NULL,Water
1038,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1039,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1040,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1041,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1042,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1043,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1044,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1045,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1046,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
1047,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1048,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1049,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1050,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1051,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1052,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1053,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1054,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
1055,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
1056,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1057,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1058,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1059,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1060,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
1061,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
1062,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1063,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1064,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
1065,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
1066,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1067,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1068,Cropland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
1069,Cropland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1070,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
1071,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Forest
1072,Cropland,Water,Water,Water,Water,NULL,NULL,Water
1073,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1074,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
1075,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1076,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1077,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1078,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1079,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1080,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1081,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1082,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
1083,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1084,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1085,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1086,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
