Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGV_M_R
85,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
86,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
87,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,NULL
88,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,NULL
89,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
91,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
92,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
93,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
94,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
95,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
96,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
97,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,NULL
98,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
99,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
100,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
101,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
102,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
103,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
104,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
106,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,NULL
107,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
108,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,NULL
109,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,NULL
110,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
111,NULL,NULL,Water,NULL,Water,Wetland,Water,NULL
112,NULL,NULL,Water,NULL,Water,Bareland,Water,NULL
113,NULL,NULL,Water,NULL,Water,Water,Wetland,NULL
114,NULL,NULL,Water,NULL,Water,Water,Water,NULL
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
117,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
118,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
119,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
120,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
121,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
122,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
123,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
124,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
125,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
126,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
127,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,NULL
128,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,NULL
129,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
130,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
131,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,NULL
132,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
133,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
134,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
135,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
136,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
137,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
138,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
139,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,NULL
141,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
142,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
143,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
144,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
145,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Water,NULL
146,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
147,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
148,NULL,Wetland,Water,NULL,Water,Bareland,Water,NULL
149,NULL,Wetland,Water,NULL,Water,Water,Water,NULL
150,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,NULL
151,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Water,NULL
152,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
153,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
154,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
155,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Water,NULL
156,NULL,Bareland,Wetland,NULL,Wetland,Built-up,Water,NULL
157,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
158,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
159,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
160,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up,Water,NULL
161,NULL,Bareland,Bareland,NULL,Non_Wetland,Water,Water,NULL
162,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
163,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
164,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
165,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Wetland,NULL
166,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
167,NULL,Bareland,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
168,NULL,Bareland,Built-up,NULL,Non_Wetland,Water,Water,NULL
169,NULL,Bareland,Water,NULL,Water,Bareland,Water,NULL
170,NULL,Bareland,Water,NULL,Water,Water,Water,NULL
171,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,NULL
172,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
173,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
174,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
175,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Water,NULL
176,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
177,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
178,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
179,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
180,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
181,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
182,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,NULL
183,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
184,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
185,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
186,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
187,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
188,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Water,NULL
189,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
190,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
191,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Water,NULL
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,NULL
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,NULL
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,NULL
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,NULL
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,NULL
217,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Water,NULL
218,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
219,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
220,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
221,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
222,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
223,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
224,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
225,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
226,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
227,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
228,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
229,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
230,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,NULL
231,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
232,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Water,NULL
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,NULL
235,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Water,NULL
236,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
237,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
238,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,NULL
239,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
240,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
241,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
242,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
243,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
244,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
245,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
246,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,NULL
247,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
248,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,NULL
249,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,NULL
250,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,NULL
251,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,NULL
252,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,NULL
253,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,NULL
254,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,NULL
255,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,NULL
256,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Water,NULL
257,NULL,Built-up,Wetland,NULL,Wetland,Water,Wetland,NULL
258,NULL,Built-up,Wetland,NULL,Wetland,Water,Bareland,NULL
259,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,NULL
260,NULL,Built-up,Wetland,NULL,Wetland,Forest,Bareland,NULL
261,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,NULL
262,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,NULL
263,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Built-up,NULL
264,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland,NULL
265,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
266,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Bareland,NULL
267,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
268,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,NULL,NULL
269,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
270,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
271,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
272,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,NULL
273,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
274,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,NULL
275,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,NULL
276,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Water,NULL
277,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
278,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Water,NULL
279,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
280,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
281,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
282,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,NULL
283,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
284,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
285,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
286,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
287,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
288,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
289,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
290,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
291,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
292,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,NULL
293,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
294,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
295,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Water,NULL
296,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,NULL
297,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
298,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,NULL
299,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,NULL
300,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Water,NULL
301,NULL,Built-up,Water,NULL,Water,Wetland,Bareland,NULL
302,NULL,Built-up,Water,NULL,Water,Wetland,Water,NULL
303,NULL,Built-up,Water,NULL,Water,Bareland,Wetland,NULL
304,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,NULL
305,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,NULL
306,NULL,Built-up,Water,NULL,Water,Bareland,Water,NULL
307,NULL,Built-up,Water,NULL,Water,Bareland,Forest,NULL
308,NULL,Built-up,Water,NULL,Water,Built-up,Bareland,NULL
309,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,NULL
310,NULL,Built-up,Water,NULL,Water,Built-up,Water,NULL
311,NULL,Built-up,Water,NULL,Water,Water,Water,NULL
312,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
313,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
314,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
315,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
316,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
317,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,NULL
318,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,NULL
319,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
320,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
321,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
322,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
323,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,NULL
324,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,NULL
325,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
326,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
327,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,NULL
328,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,NULL
329,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
330,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Water,NULL
331,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,NULL
332,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,NULL
333,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,NULL
334,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,NULL
