Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R
992,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
993,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Wetland
994,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Water
995,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
996,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Cropland
997,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
998,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Bareland
999,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
1000,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Cropland
1001,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
1002,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
1003,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Forest
1004,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
1005,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
1006,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
1007,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
1008,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
1009,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
1010,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland,Grassland
1011,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland,Water
1012,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
1013,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Wetland
1014,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Bareland
1015,NULL,NULL,Wetland,Water,Wetland,Shrubland,Water,Grassland
1016,NULL,NULL,Wetland,Water,Wetland,Shrubland,Water,Forest
1017,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Water
1018,NULL,NULL,Wetland,Water,Wetland,Grassland,Shrubland,Grassland
1019,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,NULL
1020,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1021,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
1022,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
1023,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
1024,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,NULL
1025,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1026,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Cropland
1027,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
1028,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
1029,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
1030,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
1031,NULL,NULL,Wetland,Water,Wetland,Grassland,Forest,Water
1032,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1033,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1034,NULL,NULL,Wetland,Water,Wetland,Bareland,Shrubland,Grassland
1035,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
1036,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
1037,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
1038,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
1039,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
1040,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
1041,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
1042,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
1043,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
1044,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1045,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
1046,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
1047,NULL,NULL,Wetland,Water,Wetland,Forest,Water,Water
1048,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1049,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
1050,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
1051,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,NULL,Water
1052,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
1053,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1054,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1055,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1056,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
1057,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1058,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Forest
1059,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Water
1060,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
1061,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Water
1062,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
1063,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Water
1064,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Water
1065,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Shrubland,Forest
1066,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
1067,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1068,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1069,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
1070,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1071,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1072,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1073,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
1074,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1075,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
1076,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water,Grassland
1077,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
1078,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
1079,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1080,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1081,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1082,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1083,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1084,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
1085,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
1086,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
1087,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
1088,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
1089,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
1090,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
1091,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
1092,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
1093,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
1094,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
1095,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
1096,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
1097,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
1098,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
1099,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
1100,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
1101,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
1102,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1103,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1104,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1105,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1106,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1107,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1108,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1109,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
1110,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1111,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
1112,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Water,Forest
1113,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
1114,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1115,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1116,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
1117,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
1118,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
1119,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1120,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1121,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1122,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1123,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
1124,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
1125,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1126,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
1127,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1128,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1129,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Water
1130,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1131,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1132,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
1133,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1134,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1135,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1136,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1137,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
1138,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1139,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
1140,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
1141,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1142,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Cropland
1143,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
1144,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Cropland
1145,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
1146,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1147,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1148,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1149,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1150,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
1151,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1152,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1153,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1154,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
1155,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
1156,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1157,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
1158,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1159,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1160,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Water
1161,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1162,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
1163,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1164,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
1165,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1166,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1167,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1168,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1169,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1170,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
1171,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
1172,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
1173,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
1174,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
1175,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
1176,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1177,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1178,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
1179,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
1180,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
1181,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1182,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
1183,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1184,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
1185,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1186,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1187,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Water
1188,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
1189,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,Built-up
1190,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
1191,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1192,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland,Bareland
1193,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Bareland
1194,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
1195,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Forest
1196,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
1197,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1198,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1199,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
1200,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Shrubland,Cropland
1201,NULL,NULL,Built-up,Water,Non_Wetland,Shrubland,Grassland,Grassland
1202,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
1203,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
1204,NULL,NULL,Water,NULL,Water,NULL,Shrubland,Grassland
1205,NULL,NULL,Water,NULL,Water,NULL,Shrubland,Forest
1206,NULL,NULL,Water,NULL,Water,NULL,Grassland,Grassland
1207,NULL,NULL,Water,NULL,Water,NULL,Grassland,Wetland
1208,NULL,NULL,Water,NULL,Water,NULL,Grassland,Water
1209,NULL,NULL,Water,NULL,Water,NULL,Grassland,Forest
1210,NULL,NULL,Water,NULL,Water,NULL,Wetland,Grassland
1211,NULL,NULL,Water,NULL,Water,NULL,Forest,Grassland
1212,NULL,NULL,Water,NULL,Water,Shrubland,NULL,Grassland
1213,NULL,NULL,Water,NULL,Water,Shrubland,NULL,Water
1214,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Grassland
1215,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Wetland
1216,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Water
1217,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Forest
1218,NULL,NULL,Water,NULL,Water,Shrubland,Grassland,Grassland
1219,NULL,NULL,Water,NULL,Water,Shrubland,Grassland,Water
1220,NULL,NULL,Water,NULL,Water,Shrubland,Wetland,NULL
1221,NULL,NULL,Water,NULL,Water,Shrubland,Wetland,Wetland
1222,NULL,NULL,Water,NULL,Water,Shrubland,Water,Wetland
1223,NULL,NULL,Water,NULL,Water,Grassland,NULL,Grassland
1224,NULL,NULL,Water,NULL,Water,Grassland,NULL,Water
1225,NULL,NULL,Water,NULL,Water,Grassland,NULL,Forest
1226,NULL,NULL,Water,NULL,Water,Grassland,Shrubland,Grassland
1227,NULL,NULL,Water,NULL,Water,Grassland,Shrubland,Water
1228,NULL,NULL,Water,NULL,Water,Grassland,Shrubland,Forest
1229,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
1230,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Wetland
1231,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
1232,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Water
1233,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
1234,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
1235,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Wetland
1236,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
1237,NULL,NULL,Water,NULL,Water,Cropland,Grassland,Forest
1238,NULL,NULL,Water,NULL,Water,Wetland,Shrubland,Grassland
1239,NULL,NULL,Water,NULL,Water,Wetland,Shrubland,Wetland
1240,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
1241,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
1242,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
1243,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
1244,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
1245,NULL,NULL,Water,NULL,Water,Bareland,NULL,Grassland
1246,NULL,NULL,Water,NULL,Water,Bareland,NULL,Water
1247,NULL,NULL,Water,NULL,Water,Bareland,NULL,Forest
1248,NULL,NULL,Water,NULL,Water,Bareland,Shrubland,Grassland
1249,NULL,NULL,Water,NULL,Water,Bareland,Shrubland,Wetland
1250,NULL,NULL,Water,NULL,Water,Bareland,Shrubland,Water
1251,NULL,NULL,Water,NULL,Water,Bareland,Shrubland,Forest
1252,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
1253,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Cropland
1254,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Wetland
1255,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Bareland
1256,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Water
1257,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Forest
1258,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Grassland
1259,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Wetland
1260,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Water
1261,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
1262,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
1263,NULL,NULL,Water,NULL,Water,Bareland,Water,Grassland
1264,NULL,NULL,Water,NULL,Water,Bareland,Water,Wetland
1265,NULL,NULL,Water,NULL,Water,Bareland,Water,Water
1266,NULL,NULL,Water,NULL,Water,Bareland,Water,Forest
1267,NULL,NULL,Water,NULL,Water,Bareland,Forest,Grassland
1268,NULL,NULL,Water,NULL,Water,Water,NULL,Grassland
1269,NULL,NULL,Water,NULL,Water,Water,NULL,Bareland
1270,NULL,NULL,Water,NULL,Water,Water,Shrubland,Water
1271,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
1272,NULL,NULL,Water,NULL,Water,Water,Grassland,Wetland
1273,NULL,NULL,Water,NULL,Water,Water,Grassland,Bareland
1274,NULL,NULL,Water,NULL,Water,Water,Grassland,Water
1275,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
1276,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
1277,NULL,NULL,Water,NULL,Water,Water,Water,Water
1278,NULL,NULL,Water,NULL,Water,Forest,NULL,Grassland
1279,NULL,NULL,Water,NULL,Water,Forest,Grassland,Forest
1280,NULL,NULL,Water,Non_Water,Water,NULL,Grassland,Grassland
1281,NULL,NULL,Water,Non_Water,Water,NULL,Wetland,Grassland
1282,NULL,NULL,Water,Non_Water,Water,Shrubland,Grassland,Grassland
1283,NULL,NULL,Water,Non_Water,Water,Shrubland,Wetland,Grassland
1284,NULL,NULL,Water,Non_Water,Water,Shrubland,Wetland,Cropland
1285,NULL,NULL,Water,Non_Water,Water,Shrubland,Wetland,Wetland
1286,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
1287,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Wetland
1288,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
1289,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Cropland
1290,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Wetland
1291,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
1292,NULL,NULL,Water,Non_Water,Water,Wetland,Shrubland,Grassland
1293,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,Grassland
1294,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,Wetland
1295,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
1296,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
1297,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
1298,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
1299,NULL,NULL,Water,Non_Water,Water,Bareland,Grassland,Forest
1300,NULL,NULL,Water,Non_Water,Water,Bareland,Wetland,Grassland
1301,NULL,NULL,Water,Non_Water,Water,Bareland,Wetland,Wetland
1302,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Grassland
1303,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Wetland
1304,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Water
1305,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Forest
1306,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Grassland
1307,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
1308,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
1309,NULL,NULL,Water,Water,Water,NULL,Grassland,Water
1310,NULL,NULL,Water,Water,Water,NULL,Wetland,Wetland
1311,NULL,NULL,Water,Water,Water,Shrubland,Grassland,Forest
1312,NULL,NULL,Water,Water,Water,Shrubland,Water,Wetland
1313,NULL,NULL,Water,Water,Water,Shrubland,Water,Water
1314,NULL,NULL,Water,Water,Water,Shrubland,Water,Forest
1315,NULL,NULL,Water,Water,Water,Grassland,NULL,Grassland
1316,NULL,NULL,Water,Water,Water,Grassland,Grassland,Grassland
1317,NULL,NULL,Water,Water,Water,Grassland,Grassland,Wetland
1318,NULL,NULL,Water,Water,Water,Grassland,Grassland,Water
1319,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
1320,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
1321,NULL,NULL,Water,Water,Water,Grassland,Water,Water
1322,NULL,NULL,Water,Water,Water,Wetland,Shrubland,Wetland
1323,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
1324,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1325,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
1326,NULL,NULL,Water,Water,Water,Bareland,NULL,Water
1327,NULL,NULL,Water,Water,Water,Bareland,Shrubland,Water
1328,NULL,NULL,Water,Water,Water,Bareland,Grassland,Grassland
1329,NULL,NULL,Water,Water,Water,Bareland,Grassland,Wetland
1330,NULL,NULL,Water,Water,Water,Bareland,Wetland,Grassland
1331,NULL,NULL,Water,Water,Water,Bareland,Wetland,Wetland
1332,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
1333,NULL,NULL,Water,Water,Water,Bareland,Water,Wetland
1334,NULL,NULL,Water,Water,Water,Bareland,Water,Water
1335,NULL,NULL,Water,Water,Water,Water,NULL,Water
1336,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
1337,NULL,NULL,Water,Water,Water,Water,Grassland,Bareland
1338,NULL,NULL,Water,Water,Water,Water,Grassland,Water
1339,NULL,NULL,Water,Water,Water,Water,Water,Grassland
1340,NULL,NULL,Water,Water,Water,Water,Water,Wetland
1341,NULL,NULL,Water,Water,Water,Water,Water,Water
1342,NULL,NULL,Water,Water,Water,Forest,Water,Forest
1343,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1344,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
