Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGR_M_R
1285,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
1286,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1287,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
1288,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
1289,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
1290,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1291,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
1292,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Bareland
1293,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1294,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1295,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1296,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1297,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1298,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
1299,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
1300,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
1301,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
1302,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
1303,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1304,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1305,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
1306,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1307,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
1308,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
1309,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1310,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
1311,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1312,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1313,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1314,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
1315,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
1316,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1317,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
1318,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
1319,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
1320,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1321,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1322,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1323,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
1324,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1325,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Cropland
1326,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1327,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1328,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1329,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1330,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
1331,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1332,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1333,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Shrubland,Forest
1334,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1335,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Built-up
1336,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1337,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1338,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
1339,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
1340,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
1341,NULL,NULL,Forest,NULL,Non_Wetland,Water,Shrubland,Forest
1342,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1343,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Water
1344,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1345,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
1346,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1347,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
1348,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
1349,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1350,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
1351,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
1352,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Cropland
1353,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
1354,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
1355,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1356,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1357,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
1358,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
1359,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1360,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,NULL
1361,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
1362,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1363,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
1364,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1365,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1366,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
1367,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Forest
1368,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1369,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1370,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
1371,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
1372,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1373,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
1374,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
1375,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1376,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Water
1377,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
1378,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
1379,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
1380,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
1381,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Water,Wetland
1382,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1383,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1384,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1385,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1386,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1387,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1388,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1389,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
1390,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1391,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Bareland
1392,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Wetland
1393,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Wetland
1394,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Water,Grassland
1395,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
1396,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1397,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1398,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
1399,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1400,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
1401,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,Water
1402,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,Forest
1403,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
1404,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1405,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1406,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1407,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1408,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1409,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
1410,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
1411,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
1412,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1413,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1414,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
1415,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
1416,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
1417,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1418,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
1419,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
1420,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
1421,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
1422,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
1423,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
1424,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
1425,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
1426,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1427,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1428,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1429,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1430,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
1431,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1432,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1433,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
1434,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1435,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
1436,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
1437,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1438,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
1439,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1440,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1441,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1442,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1443,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
1444,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1445,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
1446,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1447,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1448,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1449,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1450,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1451,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1452,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1453,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1454,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1455,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1456,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1457,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1458,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1459,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
1460,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1461,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1462,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1463,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1464,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
1465,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
1466,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1467,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1468,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1469,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1470,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1471,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1472,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
1473,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1474,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
1475,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
1476,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
1477,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
1478,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
1479,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1480,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1481,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1482,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1483,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
1484,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
1485,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1486,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
1487,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
1488,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1489,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1490,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
1491,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1492,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1493,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1494,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
1495,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1496,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1497,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
1498,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1499,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
1500,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1501,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1502,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1503,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1504,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1505,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1506,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1507,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1508,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
1509,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1510,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
1511,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
1512,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
1513,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
1514,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
1515,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1516,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
1517,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
1518,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
1519,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1520,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
1521,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
1522,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
1523,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
1524,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
1525,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
1526,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1527,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1528,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
1529,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1530,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
1531,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
1532,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
1533,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
1534,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1535,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1536,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1537,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
1538,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1539,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1540,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1541,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1542,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1543,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
1544,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1545,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1546,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
1547,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1548,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
1549,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
1550,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1551,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1552,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1553,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1554,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
1555,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1556,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1557,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
1558,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
1559,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1560,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1561,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1562,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1563,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1564,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1565,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1566,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1567,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1568,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1569,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1570,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1571,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
1572,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1573,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1574,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
1575,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1576,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1577,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1578,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1579,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1580,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
1581,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1582,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
1583,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1584,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1585,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
1586,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1587,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
1588,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1589,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
1590,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
1591,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
1592,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1593,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1594,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
1595,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1596,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1597,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
1598,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
1599,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1600,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1601,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1602,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
1603,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1604,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
