Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Water
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Bareland
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,NULL
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Water
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,NULL
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Water
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,NULL
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,NULL
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Wetland
278,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
280,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
281,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
282,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
283,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
284,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Forest
285,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
286,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
288,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
289,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
290,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
291,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,NULL
292,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
293,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
294,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
295,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
296,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
297,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,NULL
298,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
299,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
300,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Bareland
301,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
302,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
303,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,NULL
306,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
307,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
308,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Bareland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Water
310,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
311,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
312,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
313,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
315,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
316,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
317,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
318,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
