Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
130,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
131,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
132,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
133,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
135,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
136,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
137,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
138,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Forest
140,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
155,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
157,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
158,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Forest
160,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
161,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
162,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
163,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
164,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
165,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
166,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
167,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
168,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Forest
169,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
172,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
174,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
175,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
176,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
177,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
179,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
180,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
181,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
182,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
183,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
186,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
187,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
188,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
189,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
190,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
191,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
192,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
193,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
194,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
195,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
196,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
197,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
198,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
199,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
200,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
201,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
202,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
203,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
204,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
205,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
206,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
207,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
208,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
212,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
213,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
214,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
215,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
217,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
218,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
219,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
220,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
221,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
222,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
223,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
224,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
225,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
226,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
227,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
228,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
229,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
230,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
231,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
232,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
233,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
234,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
235,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
236,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
237,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
238,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
239,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
240,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
241,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Forest
243,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
244,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
246,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
248,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
249,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
251,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland,Forest,Grassland
252,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Grassland
253,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
254,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
255,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
256,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
258,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
259,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
260,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
261,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
262,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
263,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
264,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
265,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
266,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
267,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
268,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
269,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
270,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
271,NULL,NULL,Bareland,NULL,Non_Wetland,Water,NULL,Grassland
272,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
273,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
274,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
275,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Bareland,Grassland
276,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
277,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,Grassland
278,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
279,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
280,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
281,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
283,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
284,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,NULL,Grassland
285,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
286,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Wetland
287,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
288,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
289,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Bareland,Grassland
290,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
291,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
292,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Forest,Grassland
293,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
294,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Forest,Grassland
295,NULL,NULL,Bareland,Water,Non_Wetland,Water,NULL,Grassland
296,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
297,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Wetland
298,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
299,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
300,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
301,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
302,NULL,NULL,Bareland,Water,Non_Wetland,Water,Forest,Grassland
303,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
306,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
307,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
308,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
309,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
310,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
311,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
312,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
314,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
315,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
316,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
317,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
318,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
319,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
320,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
321,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
322,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
323,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
324,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
325,NULL,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Grassland
326,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
327,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Grassland,Grassland
328,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
329,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
330,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
331,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Wetland
332,NULL,NULL,Built-up,Water,Non_Wetland,Water,NULL,Grassland
333,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
