Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYM_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
81,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
86,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
88,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
89,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Built-up
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Forest
172,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
173,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
176,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
177,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
178,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
180,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
181,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
182,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
194,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
225,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
229,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
246,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
250,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
251,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
252,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
253,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
254,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
255,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
256,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
257,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
258,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
259,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
260,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
261,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
262,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
264,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
267,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
273,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
274,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
278,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
285,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
289,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
293,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
296,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
298,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
301,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
304,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
308,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
309,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
310,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
313,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
315,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
316,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
318,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
320,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
