Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R
56,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
58,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
59,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
61,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
62,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
63,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
64,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
66,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
67,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
68,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
79,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
80,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
81,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
82,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
83,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
84,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
85,NULL,NULL,Water,Water,Water,NULL,NULL,Water
86,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
91,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
93,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
94,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
95,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
96,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
99,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
100,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
102,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
103,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
104,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
105,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
106,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
107,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
109,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
110,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
111,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
112,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
114,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
116,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
117,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
118,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
120,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
123,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
126,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
129,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
130,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
131,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
132,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
135,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
137,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
138,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Water
142,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
143,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
144,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
145,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
146,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
147,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
148,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
149,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
150,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
151,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
152,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
153,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
158,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
159,NULL,Wetland,Water,NULL,Water,NULL,NULL,Bareland
160,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
161,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
162,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
163,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
164,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
165,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
166,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
167,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
168,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
172,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
175,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
177,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
178,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
179,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
181,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
182,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
185,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
187,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
188,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
189,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
192,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
193,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
198,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
199,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
200,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
201,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
202,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
204,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
205,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
206,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
207,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
208,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
209,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
210,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
211,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
212,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
214,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
216,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
217,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
224,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
225,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
227,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
232,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
235,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
236,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
237,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
238,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
239,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
240,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
242,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
243,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
245,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
246,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
247,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
248,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
249,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
250,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
251,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
252,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
256,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
257,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
258,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
259,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
260,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
263,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
265,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
267,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
268,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
269,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
271,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
272,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
276,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
277,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
278,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
279,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
280,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
281,NULL,Water,Water,NULL,Water,NULL,NULL,Water
282,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
283,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
284,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
285,NULL,Water,Water,Water,Water,NULL,NULL,Water
286,NULL,Water,Water,Water,Water,NULL,NULL,Forest
287,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
289,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
290,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
291,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
294,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
295,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
296,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
297,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
298,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
299,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
301,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
302,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
303,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
304,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
305,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
306,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
307,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
309,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
310,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
311,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
313,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
316,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
317,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
318,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
321,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
322,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
323,NULL,Forest,Wetland,NULL,Wetland,Grassland,NULL,Grassland
324,NULL,Forest,Wetland,NULL,Wetland,Grassland,NULL,Forest
325,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
326,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
327,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
328,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
329,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
330,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
331,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
332,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
333,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
334,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
335,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
336,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
337,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
338,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
339,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
340,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
341,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
342,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
343,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
344,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
