Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNM_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
60,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
63,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
64,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
65,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
66,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
67,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
86,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
87,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
88,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
89,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
90,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
91,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
92,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
93,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
94,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
95,NULL,NULL,Water,Water,Water,NULL,NULL,Water
96,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
107,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
108,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
116,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
117,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
118,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
121,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
122,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
124,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
126,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
129,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
130,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
133,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
134,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
135,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
136,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
137,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
141,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
142,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
143,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
144,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
145,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
148,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
154,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
155,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
156,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
157,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
158,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
159,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
160,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
162,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
163,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
166,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
174,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
176,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
177,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
178,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
182,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
186,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
187,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
188,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
193,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
195,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
204,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
205,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
206,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
207,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
208,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
209,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
211,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
212,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
217,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
218,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
219,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
220,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
221,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
222,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
223,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
224,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
225,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
227,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
228,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
229,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
232,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
234,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
236,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
237,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
238,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
240,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
241,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
244,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
246,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
247,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
249,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
251,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
254,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
255,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
256,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
257,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
258,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
259,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
260,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
262,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
264,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
265,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
266,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
267,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
268,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
269,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
270,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
271,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
272,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
273,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
274,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
275,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
276,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
277,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
278,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
279,NULL,Water,Water,Water,Water,NULL,NULL,Water
280,NULL,Water,Water,Water,Water,NULL,NULL,Forest
281,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
283,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
284,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
286,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
287,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
288,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
290,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
291,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
292,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
293,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
295,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
296,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
297,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
298,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
300,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
304,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
305,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
307,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
309,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
311,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
313,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
314,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
315,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
316,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
317,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
319,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
320,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
321,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
322,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
324,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
325,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
326,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
327,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
328,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
330,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
331,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
333,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
334,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
335,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
336,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
337,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
338,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
339,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
340,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
341,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
342,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
