Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKP_M_R
384,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland
385,NULL,Forest,Wetland,NULL,Wetland,NULL,Bareland
386,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest
387,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Grassland
388,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Forest
389,NULL,Forest,Wetland,Water,Wetland,NULL,Grassland
390,NULL,Forest,Wetland,Water,Wetland,NULL,Wetland
391,NULL,Forest,Wetland,Water,Wetland,NULL,Forest
392,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Grassland
393,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Forest
394,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,Forest
395,NULL,Forest,Bareland,Water,Non_Wetland,NULL,Grassland
396,NULL,Forest,Bareland,Water,Non_Wetland,NULL,Forest
397,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Grassland
398,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest
399,NULL,Forest,Water,Water,Water,NULL,Grassland
400,NULL,Forest,Water,Water,Water,NULL,Forest
401,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL
402,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
403,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland
404,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest
405,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland
406,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
407,NULL,Forest,Forest,Water,Non_Wetland,NULL,Grassland
408,NULL,Forest,Forest,Water,Non_Wetland,NULL,Forest
409,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
410,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
411,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest
412,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
413,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland
414,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland
415,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Wetland
416,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Forest
417,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
418,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
419,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
420,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
421,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
422,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
423,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
424,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL
425,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
426,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
427,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
428,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
429,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
430,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Cropland
431,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
432,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water
433,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
434,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
435,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
436,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
437,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
438,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
439,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
440,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
441,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
442,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Cropland
443,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
444,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
445,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
446,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Cropland
447,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
448,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Water
449,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Forest
450,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
451,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
452,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
453,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
454,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
455,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL
456,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
457,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland
458,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
459,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
460,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Cropland
461,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Wetland
462,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Forest
463,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL
464,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland
465,Grassland,NULL,Wetland,NULL,Wetland,NULL,Cropland
466,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland
467,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest
468,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL
469,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
470,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Cropland
471,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
472,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
473,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Forest
474,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL
475,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland
476,Grassland,NULL,Wetland,Water,Wetland,NULL,Cropland
477,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland
478,Grassland,NULL,Wetland,Water,Wetland,NULL,Bareland
479,Grassland,NULL,Wetland,Water,Wetland,NULL,Water
480,Grassland,NULL,Wetland,Water,Wetland,NULL,Forest
481,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL
482,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
483,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
484,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
485,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
486,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland
487,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest
488,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
489,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,Wetland
490,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
491,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,Forest
492,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
493,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
494,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
495,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
496,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
497,Grassland,NULL,Water,NULL,Water,NULL,Grassland
498,Grassland,NULL,Water,NULL,Water,NULL,Wetland
499,Grassland,NULL,Water,NULL,Water,NULL,Forest
500,Grassland,NULL,Water,Non_Water,Water,NULL,NULL
501,Grassland,NULL,Water,Non_Water,Water,NULL,Grassland
502,Grassland,NULL,Water,Non_Water,Water,NULL,Wetland
503,Grassland,NULL,Water,Non_Water,Water,NULL,Water
504,Grassland,NULL,Water,Non_Water,Water,NULL,Forest
505,Grassland,NULL,Water,Water,Water,NULL,Grassland
506,Grassland,NULL,Water,Water,Water,NULL,Wetland
507,Grassland,NULL,Water,Water,Water,NULL,Bareland
508,Grassland,NULL,Water,Water,Water,NULL,Water
509,Grassland,NULL,Water,Water,Water,NULL,Forest
510,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
511,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
512,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Cropland
513,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
514,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Water
515,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
516,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
517,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
518,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
519,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
520,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Cropland
521,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
522,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Forest
523,Grassland,Cropland,NULL,Water,Non_Wetland,NULL,Grassland
524,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
525,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland
526,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
527,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
528,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
529,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
530,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland
531,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
532,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland
533,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
534,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
535,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
536,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,Grassland
537,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,Wetland
538,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
539,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland
540,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,Wetland
541,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Grassland
542,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Wetland
543,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Forest
544,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland
545,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Wetland
546,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Forest
547,Grassland,Cropland,Wetland,Water,Wetland,NULL,Grassland
548,Grassland,Cropland,Wetland,Water,Wetland,NULL,Wetland
549,Grassland,Cropland,Wetland,Water,Wetland,NULL,Bareland
550,Grassland,Cropland,Wetland,Water,Wetland,NULL,Water
551,Grassland,Cropland,Wetland,Water,Wetland,NULL,Forest
552,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland
553,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
554,Grassland,Cropland,Bareland,Water,Non_Wetland,NULL,Grassland
555,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
556,Grassland,Cropland,Water,Non_Water,Water,NULL,Wetland
557,Grassland,Cropland,Water,Water,Water,NULL,Grassland
558,Grassland,Cropland,Water,Water,Water,NULL,Wetland
559,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
560,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland
561,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
562,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland
563,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,Wetland
564,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,Grassland
565,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,Wetland
566,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
567,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
568,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Built-up
569,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
570,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
571,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
572,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
573,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
574,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland
575,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
576,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
577,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
578,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
579,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
580,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
581,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
582,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
583,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
584,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,Wetland
585,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,Water
586,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
587,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
588,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
589,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
590,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Forest
591,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
592,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,Wetland
593,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,Water
594,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,Forest
595,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL
596,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Grassland
597,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Cropland
598,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Wetland
599,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Forest
600,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
601,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
602,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
603,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL
604,Grassland,Wetland,Wetland,Water,Wetland,NULL,Grassland
605,Grassland,Wetland,Wetland,Water,Wetland,NULL,Wetland
606,Grassland,Wetland,Wetland,Water,Wetland,NULL,Bareland
607,Grassland,Wetland,Wetland,Water,Wetland,NULL,Water
608,Grassland,Wetland,Wetland,Water,Wetland,NULL,Forest
609,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest
610,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
611,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Wetland
612,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,Grassland
613,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,Forest
614,Grassland,Wetland,Water,NULL,Water,NULL,Grassland
615,Grassland,Wetland,Water,NULL,Water,NULL,Wetland
616,Grassland,Wetland,Water,NULL,Water,NULL,Forest
617,Grassland,Wetland,Water,Non_Water,Water,NULL,Grassland
618,Grassland,Wetland,Water,Non_Water,Water,NULL,Wetland
619,Grassland,Wetland,Water,Non_Water,Water,NULL,Forest
620,Grassland,Wetland,Water,Water,Water,NULL,Grassland
621,Grassland,Wetland,Water,Water,Water,NULL,Wetland
622,Grassland,Wetland,Water,Water,Water,NULL,Water
623,Grassland,Wetland,Water,Water,Water,NULL,Forest
624,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
625,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
626,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
627,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
628,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
629,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland
630,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
631,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
632,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,Wetland
633,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,Water
634,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,Forest
635,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
636,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
637,Grassland,Bareland,Wetland,Water,Wetland,NULL,Grassland
638,Grassland,Bareland,Wetland,Water,Wetland,NULL,Wetland
639,Grassland,Bareland,Wetland,Water,Wetland,NULL,Bareland
640,Grassland,Bareland,Wetland,Water,Wetland,NULL,Water
641,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
642,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
643,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
644,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
645,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
646,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
647,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
648,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
649,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
650,Grassland,Built-up,Wetland,NULL,Wetland,NULL,Grassland
651,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
652,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
653,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Cropland
654,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
655,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
656,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
657,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
658,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
659,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
660,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Forest
661,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Grassland
662,Grassland,Water,Wetland,NULL,Wetland,NULL,Grassland
663,Grassland,Water,Wetland,NULL,Wetland,NULL,Wetland
664,Grassland,Water,Wetland,NULL,Wetland,NULL,Forest
665,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Grassland
666,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Wetland
667,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Water
668,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Forest
669,Grassland,Water,Wetland,Water,Wetland,NULL,Grassland
670,Grassland,Water,Wetland,Water,Wetland,NULL,Cropland
671,Grassland,Water,Wetland,Water,Wetland,NULL,Wetland
672,Grassland,Water,Wetland,Water,Wetland,NULL,Water
673,Grassland,Water,Wetland,Water,Wetland,NULL,Forest
674,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,Grassland
675,Grassland,Water,Built-up,NULL,Non_Wetland,NULL,Forest
676,Grassland,Water,Water,NULL,Water,NULL,Grassland
677,Grassland,Water,Water,Non_Water,Water,NULL,Forest
678,Grassland,Water,Water,Water,Water,NULL,Grassland
679,Grassland,Water,Water,Water,Water,NULL,Wetland
680,Grassland,Water,Water,Water,Water,NULL,Water
681,Grassland,Water,Water,Water,Water,NULL,Forest
682,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Grassland
683,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Forest
684,Grassland,Water,Forest,Water,Non_Wetland,NULL,Forest
685,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland
686,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL
687,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
688,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
689,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
690,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest
691,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,Grassland
692,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,Water
693,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,Forest
694,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
695,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
696,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland
697,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
698,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,Grassland
699,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest
700,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,Grassland
701,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,Wetland
702,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL
703,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
704,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland
705,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
706,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,Grassland
707,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,Forest
708,Grassland,Forest,Cropland,Water,Non_Wetland,NULL,Grassland
709,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL
710,Grassland,Forest,Wetland,NULL,Wetland,NULL,Grassland
711,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland
712,Grassland,Forest,Wetland,NULL,Wetland,NULL,Water
713,Grassland,Forest,Wetland,NULL,Wetland,NULL,Forest
714,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Grassland
715,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Wetland
716,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Forest
717,Grassland,Forest,Wetland,Water,Wetland,NULL,Grassland
718,Grassland,Forest,Wetland,Water,Wetland,NULL,Wetland
719,Grassland,Forest,Wetland,Water,Wetland,NULL,Water
720,Grassland,Forest,Wetland,Water,Wetland,NULL,Forest
721,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,Forest
722,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,Grassland
723,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,Forest
724,Grassland,Forest,Water,NULL,Water,NULL,Forest
725,Grassland,Forest,Water,Non_Water,Water,NULL,Forest
726,Grassland,Forest,Water,Water,Water,NULL,Grassland
727,Grassland,Forest,Water,Water,Water,NULL,Wetland
728,Grassland,Forest,Water,Water,Water,NULL,Forest
729,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL
730,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
731,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland
732,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
733,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland
734,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
735,Grassland,Forest,Forest,Water,Non_Wetland,NULL,Grassland
736,Grassland,Forest,Forest,Water,Non_Wetland,NULL,Wetland
737,Grassland,Forest,Forest,Water,Non_Wetland,NULL,Forest
738,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
739,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Forest
740,Cropland,NULL,NULL,Water,Non_Wetland,NULL,Grassland
741,Cropland,NULL,NULL,Water,Non_Wetland,NULL,Wetland
742,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
743,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
744,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
745,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
746,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
747,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
748,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
749,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
750,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
751,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
752,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
753,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
754,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
755,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
756,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
757,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
758,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
759,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
760,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
761,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Water
762,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
763,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
764,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
765,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
766,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
767,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
768,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
769,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,Water
