Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUA_M_R
93,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
94,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
95,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
96,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
97,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
98,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
99,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
100,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
101,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
102,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
103,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
104,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
105,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
106,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
107,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
108,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
109,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
110,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
111,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
112,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
113,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
114,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
115,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
116,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
117,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
118,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
119,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
120,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
121,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
122,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
123,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
124,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
125,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
126,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
127,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
128,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
129,Cropland,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
130,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
131,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Grassland
132,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
133,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
134,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
135,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
136,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
137,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
138,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
139,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
140,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
141,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
142,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
143,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Water,Bareland
144,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
145,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
146,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
147,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Grassland
148,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Grassland
149,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Wetland
150,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Bareland
151,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Water
152,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Bareland
153,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Water
154,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
155,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
156,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
157,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
158,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
159,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
160,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
161,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
162,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
163,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Bareland
164,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
165,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
166,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
167,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
168,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
169,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Wetland
170,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
171,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
172,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Forest
173,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
174,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
175,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
176,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
177,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
178,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
179,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
180,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
181,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
182,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Bareland
183,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
184,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
185,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
186,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
187,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
188,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
189,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
190,Wetland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
191,Wetland,Wetland,Wetland,NULL,Wetland,Forest,Water,Forest
192,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
193,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
194,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
195,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
196,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Forest
197,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
198,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
199,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
200,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Bareland
201,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
202,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
203,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
204,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
205,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
206,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
207,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
208,Wetland,Wetland,Water,NULL,Water,Water,Wetland,Wetland
209,Wetland,Wetland,Water,NULL,Water,Water,Wetland,Bareland
210,Wetland,Wetland,Water,NULL,Water,Water,Water,Grassland
211,Wetland,Wetland,Water,NULL,Water,Water,Water,Wetland
212,Wetland,Wetland,Water,NULL,Water,Water,Water,Water
213,Wetland,Wetland,Water,NULL,Water,Water,Water,Forest
214,Wetland,Wetland,Water,NULL,Water,Forest,Water,Forest
215,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Grassland
216,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Wetland
217,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
218,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Forest
219,Wetland,Wetland,Water,Non_Water,Water,Forest,Water,Forest
220,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
221,Wetland,Wetland,Water,Water,Water,Wetland,Water,Grassland
222,Wetland,Wetland,Water,Water,Water,Wetland,Water,Wetland
223,Wetland,Wetland,Water,Water,Water,Water,Wetland,Grassland
224,Wetland,Wetland,Water,Water,Water,Water,Wetland,Wetland
225,Wetland,Wetland,Water,Water,Water,Water,Wetland,Bareland
226,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
227,Wetland,Wetland,Water,Water,Water,Water,Wetland,Forest
228,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
229,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
230,Wetland,Wetland,Water,Water,Water,Water,Water,Bareland
231,Wetland,Wetland,Water,Water,Water,Water,Water,Water
232,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
233,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Water,Wetland
234,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
235,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Wetland
236,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
237,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
238,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Water
239,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Water,Wetland
240,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Water,Water
241,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Water,Forest
242,Wetland,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
243,Wetland,Water,NULL,Water,Non_Wetland,Water,Water,Bareland
244,Wetland,Water,NULL,Water,Non_Wetland,Water,Water,Water
245,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
246,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
247,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
248,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
249,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
250,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
251,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
252,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
253,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
254,Wetland,Water,Wetland,NULL,Wetland,NULL,Water,Forest
255,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
256,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
257,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
258,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
259,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Bareland
260,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Forest
261,Wetland,Water,Wetland,NULL,Wetland,Forest,Water,Forest
262,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
263,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
264,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
265,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Bareland
266,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
267,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Forest
268,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
269,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
270,Wetland,Water,Wetland,Water,Wetland,Water,Water,Bareland
271,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
272,Wetland,Water,Wetland,Water,Wetland,Water,Water,Forest
273,Wetland,Water,Water,NULL,Water,Water,Water,Grassland
274,Wetland,Water,Water,NULL,Water,Water,Water,Wetland
275,Wetland,Water,Water,NULL,Water,Water,Water,Bareland
276,Wetland,Water,Water,NULL,Water,Water,Water,Water
277,Wetland,Water,Water,NULL,Water,Water,Water,Forest
278,Wetland,Water,Water,Non_Water,Water,Water,Water,Wetland
279,Wetland,Water,Water,Non_Water,Water,Water,Water,Bareland
280,Wetland,Water,Water,Non_Water,Water,Water,Water,Water
281,Wetland,Water,Water,Water,Water,Wetland,Water,Wetland
282,Wetland,Water,Water,Water,Water,Wetland,Water,Water
283,Wetland,Water,Water,Water,Water,Water,Wetland,Bareland
284,Wetland,Water,Water,Water,Water,Water,Water,Grassland
285,Wetland,Water,Water,Water,Water,Water,Water,Wetland
286,Wetland,Water,Water,Water,Water,Water,Water,Bareland
287,Wetland,Water,Water,Water,Water,Water,Water,Water
288,Wetland,Water,Water,Water,Water,Water,Water,Forest
289,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
290,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
291,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
292,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
293,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
294,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
295,Bareland,Bareland,Shrubland,Water,Non_Wetland,Wetland,Water,Water
296,Bareland,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
297,Bareland,Bareland,Water,Water,Water,Wetland,Water,Water
298,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
299,Bareland,Bareland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
300,Bareland,Bareland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
301,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
303,Bareland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
304,Bareland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
305,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
306,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Water
307,Bareland,Water,Water,Water,Water,Wetland,Water,Water
308,Bareland,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
309,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
310,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
311,Bareland,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
312,Bareland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
313,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
314,Water,NULL,Wetland,Water,Wetland,Water,Water,Grassland
315,Water,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Bareland
316,Water,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Grassland
317,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Water
318,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Forest
319,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
320,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Grassland
321,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
322,Water,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
323,Water,Wetland,Wetland,NULL,Wetland,NULL,Water,Forest
324,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
325,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Bareland
326,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
327,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
328,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
329,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
330,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Water
331,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
332,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
333,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
334,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Bareland
335,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
336,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
337,Water,Wetland,Wetland,Water,Wetland,NULL,Water,Forest
338,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Bareland
339,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
340,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
341,Water,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
342,Water,Wetland,Wetland,Water,Wetland,Water,Water,Water
343,Water,Wetland,Wetland,Water,Wetland,Water,Water,Forest
344,Water,Wetland,Water,NULL,Water,Water,Wetland,Wetland
345,Water,Wetland,Water,NULL,Water,Water,Wetland,Forest
346,Water,Wetland,Water,NULL,Water,Water,Water,Water
347,Water,Wetland,Water,NULL,Water,Water,Water,Forest
348,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Water
349,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Forest
350,Water,Wetland,Water,Non_Water,Water,Water,Water,Water
351,Water,Wetland,Water,Non_Water,Water,Water,Water,Forest
