Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVD_M_R
117,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
118,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
119,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
120,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
121,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
122,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
123,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
124,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
125,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
126,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
127,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
128,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
129,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
130,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
131,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
132,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
133,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
134,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
135,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
136,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
137,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
138,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
139,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
140,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
141,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
142,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
143,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
144,Wetland,Wetland,Water,Water,Water,NULL,NULL,Bareland
145,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
146,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
147,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
148,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
149,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
150,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
152,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
153,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
154,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
155,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
156,Wetland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
157,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
158,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
159,Wetland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
160,Wetland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
161,Wetland,Bareland,Water,Water,Water,NULL,NULL,Grassland
162,Wetland,Bareland,Water,Water,Water,NULL,NULL,Bareland
163,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
164,Wetland,Bareland,Water,Water,Water,NULL,NULL,Forest
165,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
166,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
167,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
168,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
169,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
170,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
171,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
172,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
173,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
174,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
175,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
176,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
177,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
178,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
179,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
180,Wetland,Water,Water,NULL,Water,NULL,NULL,Grassland
181,Wetland,Water,Water,NULL,Water,NULL,NULL,Wetland
182,Wetland,Water,Water,NULL,Water,NULL,NULL,Bareland
183,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
184,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
185,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
186,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
187,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
188,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Forest
189,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
190,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
191,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
192,Wetland,Water,Water,Water,Water,NULL,NULL,Water
193,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
194,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
195,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
196,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
197,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
199,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
200,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
201,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
202,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
203,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
204,Bareland,Water,Water,Water,Water,NULL,NULL,Water
205,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
206,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
208,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
211,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
212,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
213,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
214,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
215,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
216,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
217,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
218,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
219,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
220,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
221,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
222,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
223,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
224,Water,NULL,Water,NULL,Water,NULL,NULL,Water
225,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
226,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
227,Water,NULL,Water,Non_Water,Water,NULL,NULL,Forest
228,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
229,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
230,Water,NULL,Water,Water,Water,NULL,NULL,Water
231,Water,NULL,Water,Water,Water,NULL,NULL,Forest
232,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
233,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
234,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
235,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
236,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
237,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
238,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
239,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
240,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
241,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
242,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
243,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
244,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
245,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
246,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
247,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
248,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
249,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
250,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
251,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
252,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
253,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
254,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
255,Water,Wetland,Water,NULL,Water,NULL,NULL,Grassland
256,Water,Wetland,Water,NULL,Water,NULL,NULL,Wetland
257,Water,Wetland,Water,NULL,Water,NULL,NULL,Bareland
258,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
259,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
260,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
261,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
262,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
263,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
264,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
265,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
266,Water,Wetland,Water,Water,Water,NULL,NULL,Bareland
267,Water,Wetland,Water,Water,Water,NULL,NULL,Water
268,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
269,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
270,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
271,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
272,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
273,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
274,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
275,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
276,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
277,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
278,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
279,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
280,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
281,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
282,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
283,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
284,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
285,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
286,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
287,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
288,Water,Bareland,Water,Water,Water,NULL,NULL,Grassland
289,Water,Bareland,Water,Water,Water,NULL,NULL,Water
290,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
292,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
293,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
294,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
295,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
296,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
297,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
298,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
299,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
300,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
301,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
302,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
303,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
304,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
305,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
306,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
307,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
308,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
309,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
310,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
311,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
312,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
313,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
314,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
315,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
316,Water,Water,Water,NULL,Water,NULL,NULL,Water
317,Water,Water,Water,NULL,Water,NULL,NULL,Forest
318,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
319,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
320,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
321,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
322,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
323,Water,Water,Water,Water,Water,NULL,NULL,Grassland
324,Water,Water,Water,Water,Water,NULL,NULL,Wetland
325,Water,Water,Water,Water,Water,NULL,NULL,Bareland
326,Water,Water,Water,Water,Water,NULL,NULL,Water
327,Water,Water,Water,Water,Water,NULL,NULL,Forest
328,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
329,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
330,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
331,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
332,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
333,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
334,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
335,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
336,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
337,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
338,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
339,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
340,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
341,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
342,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
343,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
344,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
345,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
346,Water,Forest,Water,Water,Water,NULL,NULL,Forest
347,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
348,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
349,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
350,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Water
351,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
352,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
353,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
354,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
355,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
356,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
357,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
358,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
359,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
360,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
361,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
362,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
363,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
364,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
