Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Bareland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Built-up
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,NULL
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Water
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Water
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Grassland
253,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
254,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Forest
255,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,NULL
256,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
257,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Forest
258,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest,Grassland
259,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
260,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
261,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
262,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
263,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
264,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,NULL
265,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
267,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
268,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
269,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
270,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
271,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
272,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
273,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Forest
274,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
275,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Wetland
276,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
277,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
278,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
279,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
280,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Water
281,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
282,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
283,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
284,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
285,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
286,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
287,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
288,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Wetland
289,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Forest
290,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
291,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
292,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
293,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
294,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
295,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
296,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
297,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Built-up,Forest
298,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
299,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
300,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Forest
301,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
302,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Grassland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
306,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
307,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
308,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
310,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
311,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
312,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
313,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,Wetland,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
317,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
