Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
64,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
67,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
68,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
70,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
71,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
73,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
74,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
75,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
76,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
77,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
78,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
147,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
148,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
149,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
150,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
152,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
153,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Forest
154,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
155,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
156,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
157,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
158,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
159,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
161,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
200,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
202,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
203,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
207,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Forest
208,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
209,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
210,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
211,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
212,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
213,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
214,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
215,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
216,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
217,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
218,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
219,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
220,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
221,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
223,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
225,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
226,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
228,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
229,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
230,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
231,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
232,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
233,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
234,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
235,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
236,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
237,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
238,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
239,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
240,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
241,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
242,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
244,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
245,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
246,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
247,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
248,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
249,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
250,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
251,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
252,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
253,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
254,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
255,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
256,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
257,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
258,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
260,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
261,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
262,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
263,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
264,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
265,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
266,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
267,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
268,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
269,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
270,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
271,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
272,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
273,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
274,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
275,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
276,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
277,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
278,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
279,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
280,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
281,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
282,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
283,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
284,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
285,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
286,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
287,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
288,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
289,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
290,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
291,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
292,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Forest
293,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
294,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
295,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
296,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
297,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
298,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
299,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
300,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
301,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
302,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
303,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
304,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
305,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
306,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Grassland,Grassland
307,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
308,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
309,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
310,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
311,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
313,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
314,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
315,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
316,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
317,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
318,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
319,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
320,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
321,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
322,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
323,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
324,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
325,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
326,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
327,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
328,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
329,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
330,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
331,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
332,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
333,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
334,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,Grassland
