Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Bareland,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
64,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
67,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
68,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
69,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
70,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
71,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Built-up,Forest
72,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
153,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
154,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
155,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Forest
156,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
157,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
158,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
159,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Forest
160,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
161,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
162,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
163,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
164,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
165,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Built-up,Grassland
166,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
167,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
168,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Bareland
169,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
170,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Built-up,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
176,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
201,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Bareland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
209,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
218,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
219,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
220,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
221,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
222,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
223,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
225,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
226,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
227,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Forest
228,NULL,NULL,Grassland,Water,Non_Wetland,Cropland,Wetland,Forest
229,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Forest
230,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
232,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
234,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
235,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
236,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
237,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
238,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
239,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,Cropland,Bareland,Grassland
241,NULL,NULL,Wetland,NULL,Wetland,Cropland,Bareland,Water
242,NULL,NULL,Wetland,NULL,Wetland,Cropland,Water,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Cropland,Water,Forest
244,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
245,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
246,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
247,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
249,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
250,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
251,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
252,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
253,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
254,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
255,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
256,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
257,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
258,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
260,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
261,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
262,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
263,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
264,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
265,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
266,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
267,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
268,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
269,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
270,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
271,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
272,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,Wetland,Grassland
273,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
274,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
275,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
276,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
277,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
278,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
279,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
280,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
281,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
282,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
283,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
284,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
285,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
286,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
287,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
288,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
290,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
291,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
292,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
293,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
294,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Forest
295,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
296,NULL,NULL,Wetland,Water,Wetland,Cropland,Wetland,Grassland
297,NULL,NULL,Wetland,Water,Wetland,Cropland,Wetland,Wetland
298,NULL,NULL,Wetland,Water,Wetland,Cropland,Wetland,Forest
299,NULL,NULL,Wetland,Water,Wetland,Cropland,Bareland,Forest
300,NULL,NULL,Wetland,Water,Wetland,Cropland,Water,Grassland
301,NULL,NULL,Wetland,Water,Wetland,Cropland,Water,Forest
302,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
303,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
304,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
305,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
306,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
307,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
308,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
309,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
310,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
311,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
312,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
313,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
314,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Forest
315,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
316,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
317,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
318,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
319,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
320,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
321,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Water
322,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
323,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
324,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
325,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
326,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
327,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Forest
328,NULL,NULL,Wetland,Water,Wetland,Forest,Water,Forest
329,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
330,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,Water,Grassland
331,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
