Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R
94,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
95,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
96,Bareland,Bareland,Water,NULL,Water,Water,Water,Forest
97,Bareland,Bareland,Water,Non_Water,Water,Water,Wetland,Grassland
98,Bareland,Bareland,Water,Non_Water,Water,Water,Wetland,Bareland
99,Bareland,Bareland,Water,Non_Water,Water,Water,Wetland,Water
100,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Grassland
101,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Bareland
102,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
103,Bareland,Bareland,Water,Water,Water,Water,Wetland,Bareland
104,Bareland,Bareland,Water,Water,Water,Water,Wetland,Water
105,Bareland,Bareland,Water,Water,Water,Water,Water,Grassland
106,Bareland,Bareland,Water,Water,Water,Water,Water,Bareland
107,Bareland,Bareland,Water,Water,Water,Water,Water,Water
108,Bareland,Bareland,Water,Water,Water,Water,Water,Forest
109,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
110,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
111,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
112,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
113,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
114,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
115,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
116,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
117,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
118,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
119,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
120,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
121,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
122,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
123,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
124,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Forest
125,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
126,Bareland,Water,Wetland,Water,Wetland,Water,Water,Bareland
127,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
128,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
129,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
130,Bareland,Water,Water,NULL,Water,Water,Wetland,Water
131,Bareland,Water,Water,NULL,Water,Water,Wetland,Forest
132,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Water
133,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
134,Bareland,Water,Water,Non_Water,Water,Water,Water,Grassland
135,Bareland,Water,Water,Water,Water,Bareland,Water,Water
136,Bareland,Water,Water,Water,Water,Bareland,Water,Forest
137,Bareland,Water,Water,Water,Water,Water,Water,Grassland
138,Bareland,Water,Water,Water,Water,Water,Water,Water
139,Bareland,Water,Water,Water,Water,Water,Water,Forest
140,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
141,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
142,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
143,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
144,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
145,Bareland,Forest,Wetland,Water,Wetland,Wetland,Water,Forest
146,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
147,Water,Bareland,Wetland,NULL,Wetland,Water,Water,Grassland
148,Water,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Water
149,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Grassland
150,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
151,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
152,Water,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
153,Water,Bareland,Wetland,Water,Wetland,Water,Wetland,Forest
154,Water,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
155,Water,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
156,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
157,Water,Bareland,Wetland,Water,Wetland,Water,Water,Forest
158,Water,Bareland,Water,Non_Water,Water,Water,Water,Water
159,Water,Bareland,Water,Water,Water,Water,Water,Grassland
160,Water,Bareland,Water,Water,Water,Water,Water,Bareland
161,Water,Bareland,Water,Water,Water,Water,Water,Water
162,Water,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
163,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
164,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
165,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
166,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
167,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
168,Water,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Water
169,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
170,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
171,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
172,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
173,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
174,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
175,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
176,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
177,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
178,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
179,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
180,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
181,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
182,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
183,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
184,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
185,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
186,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Water
187,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
188,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
189,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
190,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
191,Water,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
192,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
193,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
194,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
195,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
196,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Forest
197,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Water
198,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
199,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
200,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
201,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
202,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
203,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
204,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
205,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
206,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
207,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
208,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
209,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
210,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
211,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
212,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
213,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
214,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
215,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
216,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
217,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
218,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
219,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
220,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
221,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
222,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
223,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
224,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
225,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
226,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
227,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
228,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
229,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
230,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
231,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
232,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
233,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
234,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
235,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
236,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
237,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
238,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
239,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
240,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
241,Water,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
242,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
243,Water,Water,Wetland,Water,Wetland,Wetland,Water,Forest
244,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
245,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
246,Water,Water,Wetland,Water,Wetland,Water,Wetland,Bareland
247,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
248,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
249,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
250,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
251,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
252,Water,Water,Wetland,Water,Wetland,Water,Water,Water
253,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
254,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
255,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
256,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
257,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
258,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
259,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
260,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
261,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
262,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
263,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
264,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
265,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
266,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
267,Water,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
268,Water,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
269,Water,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
270,Water,Water,Bareland,Water,Non_Wetland,Wetland,Water,Forest
271,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
272,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
273,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
274,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
275,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
276,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
277,Water,Water,Water,NULL,Water,NULL,Wetland,Water
278,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
279,Water,Water,Water,NULL,Water,NULL,Water,Water
280,Water,Water,Water,NULL,Water,NULL,Water,Forest
281,Water,Water,Water,NULL,Water,Wetland,Wetland,Water
282,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
283,Water,Water,Water,NULL,Water,Wetland,Water,Water
284,Water,Water,Water,NULL,Water,Wetland,Water,Forest
285,Water,Water,Water,NULL,Water,Water,Wetland,Water
286,Water,Water,Water,NULL,Water,Water,Wetland,Forest
287,Water,Water,Water,NULL,Water,Water,Water,Wetland
288,Water,Water,Water,NULL,Water,Water,Water,Water
289,Water,Water,Water,NULL,Water,Water,Water,Forest
290,Water,Water,Water,NULL,Water,Water,Forest,Wetland
291,Water,Water,Water,NULL,Water,Water,Forest,Water
292,Water,Water,Water,NULL,Water,Water,Forest,Forest
293,Water,Water,Water,NULL,Water,Forest,Water,Forest
294,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
295,Water,Water,Water,Non_Water,Water,NULL,Wetland,Forest
296,Water,Water,Water,Non_Water,Water,NULL,Water,Water
297,Water,Water,Water,Non_Water,Water,Grassland,Water,Water
298,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
299,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
300,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
301,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
302,Water,Water,Water,Non_Water,Water,Water,Wetland,Grassland
303,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
304,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
305,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
306,Water,Water,Water,Non_Water,Water,Water,Water,Wetland
307,Water,Water,Water,Non_Water,Water,Water,Water,Water
308,Water,Water,Water,Non_Water,Water,Water,Water,Forest
309,Water,Water,Water,Non_Water,Water,Water,Forest,Water
310,Water,Water,Water,Water,Water,NULL,Wetland,Water
311,Water,Water,Water,Water,Water,NULL,Water,Grassland
312,Water,Water,Water,Water,Water,NULL,Water,Water
313,Water,Water,Water,Water,Water,Wetland,Wetland,Grassland
314,Water,Water,Water,Water,Water,Wetland,Wetland,Water
315,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
316,Water,Water,Water,Water,Water,Wetland,Water,Grassland
317,Water,Water,Water,Water,Water,Wetland,Water,Water
318,Water,Water,Water,Water,Water,Wetland,Water,Forest
319,Water,Water,Water,Water,Water,Water,Wetland,Grassland
320,Water,Water,Water,Water,Water,Water,Wetland,Water
321,Water,Water,Water,Water,Water,Water,Wetland,Forest
322,Water,Water,Water,Water,Water,Water,Water,Grassland
323,Water,Water,Water,Water,Water,Water,Water,Wetland
324,Water,Water,Water,Water,Water,Water,Water,Water
325,Water,Water,Water,Water,Water,Water,Water,Forest
326,Water,Water,Water,Water,Water,Water,Forest,Water
327,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
328,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
329,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
330,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
331,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
332,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
333,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
334,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
335,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
336,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
337,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
338,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
339,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
340,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
341,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
342,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
343,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
344,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
345,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
346,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
347,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
348,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
349,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
350,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
351,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
352,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
353,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
354,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
355,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
356,Water,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
357,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
358,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
359,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
360,Water,Forest,Grassland,NULL,Non_Wetland,Water,Water,Forest
361,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
362,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
363,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
364,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
365,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
366,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
367,Water,Forest,Wetland,Water,Wetland,Water,Water,Forest
368,Water,Forest,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
369,Water,Forest,Water,Non_Water,Water,Wetland,Water,Water
370,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
371,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
372,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
373,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
374,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
375,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
376,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
377,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
