Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNU_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
44,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
47,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
48,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
49,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
50,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
86,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Bareland
88,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
90,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
92,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
93,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
94,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
95,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
97,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
98,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
99,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
100,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
115,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
117,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
118,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
122,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
126,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Bareland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Water
132,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
133,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
135,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
136,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
137,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
139,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
140,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
141,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Bareland
142,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
144,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
145,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
146,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
147,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
148,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
149,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
151,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
155,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
160,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
162,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Built-up
164,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
165,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
167,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
168,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
169,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
171,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Built-up
173,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Built-up
174,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Water
175,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
176,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Bareland
177,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
178,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
179,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
180,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
181,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
183,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
185,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
186,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
187,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
189,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
190,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
191,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
192,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
193,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
194,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
195,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
197,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
198,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
199,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
200,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
201,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
202,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
203,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
204,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
205,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
207,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
208,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
209,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
210,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
211,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
212,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
213,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
214,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
215,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
216,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
217,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
218,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
219,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
220,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
221,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
222,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
223,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
224,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
225,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
226,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
227,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
228,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
229,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
230,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
231,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
232,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
233,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
234,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
235,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Built-up
237,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
238,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
239,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
241,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
242,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
243,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
244,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
245,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
246,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
248,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
249,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Water
251,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Forest
252,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,Grassland
253,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,Wetland
254,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
255,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
258,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
259,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Water
260,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
261,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
262,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
263,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
264,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
265,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
266,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
267,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
268,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
270,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
271,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
273,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
274,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
275,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
276,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
277,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
278,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
279,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
280,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
281,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
282,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
283,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Built-up
284,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
285,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
286,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Bareland
287,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Forest
288,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
289,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Water,Grassland
290,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
291,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Wetland
292,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
293,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
294,NULL,NULL,Water,NULL,Water,Grassland,Forest,Grassland
295,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
296,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Water
297,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
298,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
299,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
300,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
301,NULL,NULL,Water,Water,Water,Grassland,Water,Wetland
302,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
303,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
304,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
305,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
306,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
307,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
308,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
309,NULL,NULL,Water,Water,Water,Water,Wetland,Water
310,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
311,NULL,NULL,Water,Water,Water,Water,Water,Grassland
312,NULL,NULL,Water,Water,Water,Water,Water,Water
313,NULL,NULL,Water,Water,Water,Water,Forest,Grassland
314,NULL,NULL,Water,Water,Water,Water,Forest,Water
315,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
316,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
317,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
318,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
320,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
321,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
322,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
323,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
324,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
325,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
326,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
327,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
328,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
329,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
330,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
331,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
332,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
333,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
334,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
335,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
336,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
