Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LLQ_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Water
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
113,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Bareland,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
151,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
152,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
153,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
154,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
156,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
157,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
158,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
159,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
160,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Bareland
161,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Water
162,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
163,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
164,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Bareland
165,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Water
166,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Grassland
167,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Forest,Water
168,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
169,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Bareland
170,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Water
171,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
172,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
173,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
174,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
175,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
176,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
177,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Water
178,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Forest
179,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
180,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
181,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
182,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
183,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
184,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
185,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
186,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
187,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
188,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
189,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
190,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Bareland
191,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Water
192,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
193,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
194,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
195,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
196,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Grassland
197,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
198,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
199,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
200,NULL,NULL,NULL,Water,Non_Wetland,Water,Forest,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
323,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
324,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
325,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
326,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
