Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KDE_M_R
3714,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
3715,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
3716,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
3717,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
3718,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3719,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
3720,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3721,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
3722,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3723,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3724,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3725,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3726,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
3727,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3728,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
3729,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
3730,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Cropland
3731,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
3732,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
3733,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
3734,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
3735,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3736,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3737,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
3738,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
3739,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
3740,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
3741,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
3742,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
3743,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Water
3744,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
3745,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3746,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
3747,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
3748,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
3749,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
3750,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
3751,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
3752,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
3753,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
3754,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
3755,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
3756,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
3757,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
3758,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
3759,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
3760,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
3761,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3762,Grassland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
3763,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
3764,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
3765,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
3766,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
3767,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
3768,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
3769,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
3770,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
3771,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
3772,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
3773,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
3774,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
3775,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
3776,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
3777,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
3778,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
3779,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
3780,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
3781,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
3782,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3783,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
3784,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Wetland
3785,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland,Wetland
3786,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,NULL
3787,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Water
3788,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Grassland
3789,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Wetland
3790,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3791,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3792,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
3793,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
3794,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
3795,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3796,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3797,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,NULL
3798,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Forest,Grassland
3799,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
3800,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3801,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3802,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3803,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
3804,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3805,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
3806,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
3807,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
3808,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3809,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
3810,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3811,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
3812,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3813,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Cropland
3814,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3815,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Grassland
3816,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Water
3817,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Forest
3818,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
3819,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
3820,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3821,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
3822,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3823,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
3824,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
3825,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3826,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
3827,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3828,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3829,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3830,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
3831,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3832,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3833,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
3834,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
3835,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
3836,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3837,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
3838,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3839,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
3840,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
3841,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
3842,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3843,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
3844,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3845,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
3846,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
3847,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
3848,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
3849,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
3850,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
3851,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
3852,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
3853,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
3854,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
3855,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
3856,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
3857,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
3858,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
3859,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
3860,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
3861,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
3862,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Water
3863,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
3864,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3865,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
3866,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3867,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
3868,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
3869,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3870,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
3871,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
3872,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
3873,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
3874,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
3875,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
3876,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
3877,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
3878,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
3879,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
3880,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3881,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
3882,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,NULL
3883,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
3884,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
3885,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3886,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
3887,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
3888,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
3889,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
3890,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
3891,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
3892,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3893,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
3894,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
3895,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
3896,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
3897,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
3898,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
3899,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3900,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3901,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
3902,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
3903,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3904,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
3905,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
3906,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,Water,Water
3907,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3908,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
3909,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Water
3910,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3911,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
3912,Grassland,Cropland,NULL,Water,Non_Wetland,Bareland,Grassland,Water
3913,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3914,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3915,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3916,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
3917,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
3918,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3919,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3920,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
3921,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3922,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3923,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
3924,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
3925,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
3926,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3927,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
3928,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
3929,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
3930,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
3931,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
3932,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
3933,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
3934,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3935,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
3936,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
3937,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Water
3938,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
3939,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
3940,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3941,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
3942,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
3943,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3944,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3945,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3946,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3947,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3948,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3949,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3950,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3951,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3952,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3953,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3954,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3955,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3956,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3957,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3958,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3959,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3960,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
3961,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3962,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3963,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
3964,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3965,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3966,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
3967,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
3968,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3969,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
3970,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3971,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
3972,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
3973,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
3974,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
3975,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3976,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
3977,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3978,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3979,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
3980,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
3981,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
3982,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
3983,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
3984,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
3985,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
3986,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
3987,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
3988,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
3989,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
3990,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
3991,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3992,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
3993,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
3994,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
3995,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
3996,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3997,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
3998,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3999,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
4000,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
4001,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
4002,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
4003,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
4004,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
4005,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
4006,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4007,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
4008,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
4009,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
4010,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
4011,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
4012,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4013,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
4014,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
4015,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
4016,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4017,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4018,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
4019,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
4020,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Built-up
4021,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
4022,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
4023,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
4024,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4025,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
4026,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Bareland
4027,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
4028,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
