Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQR_M_R
4601,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
4602,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Wetland
4603,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
4604,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
4605,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
4606,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
4607,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
4608,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
4609,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Wetland
4610,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
4611,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
4612,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
4613,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
4614,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
4615,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
4616,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
4617,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4618,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland,Wetland
4619,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4620,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Wetland
4621,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
4622,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4623,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
4624,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4625,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
4626,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland,NULL,Grassland
4627,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland,NULL,Wetland
4628,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
4629,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
4630,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
4631,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,Grassland,Grassland
4632,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,Grassland,Wetland
4633,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
4634,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland,NULL,Wetland
4635,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
4636,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
4637,Grassland,Cropland,Forest,Water,Non_Wetland,Water,NULL,Water
4638,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4639,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4640,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4641,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4642,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4643,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4644,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
4645,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Water,Grassland
4646,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Water,Forest
4647,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4648,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
4649,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4650,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4651,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4652,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4653,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
4654,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
4655,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
4656,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
4657,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
4658,Grassland,Wetland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
4659,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
4660,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
4661,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
4662,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4663,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
4664,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4665,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4666,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
4667,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
4668,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
4669,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
4670,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
4671,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
4672,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
4673,Grassland,Wetland,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
4674,Grassland,Wetland,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
4675,Grassland,Wetland,NULL,Water,Non_Wetland,Bareland,Water,Grassland
4676,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4677,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
4678,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4679,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4680,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4681,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
4682,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
4683,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
4684,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
4685,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4686,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4687,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4688,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
4689,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
4690,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4691,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4692,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
4693,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
4694,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
4695,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
4696,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland,Wetland
4697,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4698,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4699,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
4700,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
4701,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4702,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4703,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4704,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4705,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
4706,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
4707,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4708,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
4709,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4710,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
4711,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4712,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4713,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4714,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4715,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
4716,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland,NULL,Wetland
4717,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
4718,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
4719,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
4720,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4721,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4722,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
4723,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
4724,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
4725,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4726,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
4727,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4728,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4729,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
4730,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4731,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
4732,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
4733,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
4734,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
4735,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland,Grassland,Wetland
4736,Grassland,Wetland,Cropland,Water,Non_Wetland,Bareland,NULL,Grassland
4737,Grassland,Wetland,Cropland,Water,Non_Wetland,Bareland,NULL,Water
4738,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
4739,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
4740,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Grassland,Grassland
4741,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,NULL,Grassland
4742,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
4743,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Grassland
4744,Grassland,Wetland,Wetland,NULL,Wetland,Bareland,NULL,Wetland
4745,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
4746,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
4747,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
4748,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
4749,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,NULL,Wetland
4750,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,NULL,Wetland
4751,Grassland,Wetland,Bareland,NULL,Non_Wetland,Bareland,NULL,Wetland
4752,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
4753,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
4754,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
4755,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
4756,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
4757,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
4758,Grassland,Wetland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
4759,Grassland,Wetland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
4760,Grassland,Wetland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
4761,Grassland,Wetland,Built-up,NULL,Non_Wetland,Bareland,NULL,Wetland
4762,Grassland,Wetland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
4763,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
4764,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4765,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Grassland,Forest,Grassland
4766,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
4767,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Wetland
4768,Grassland,Wetland,Water,NULL,Water,Bareland,Water,Water
4769,Grassland,Wetland,Water,Non_Water,Water,Bareland,NULL,Wetland
4770,Grassland,Wetland,Water,Water,Water,NULL,Water,Grassland
4771,Grassland,Wetland,Water,Water,Water,Bareland,Water,Bareland
4772,Grassland,Wetland,Water,Water,Water,Bareland,Water,Water
4773,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4774,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
4775,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4776,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4777,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4778,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
4779,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
4780,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Water,Wetland
4781,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
4782,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
4783,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4784,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
4785,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4786,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4787,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
4788,Grassland,Wetland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
4789,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
4790,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
4791,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
4792,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
4793,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
4794,Grassland,Wetland,Forest,NULL,Non_Wetland,Bareland,NULL,Wetland
4795,Grassland,Wetland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
4796,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Wetland
4797,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
4798,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
4799,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
4800,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
4801,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland,Wetland
4802,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4803,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
4804,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
4805,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
4806,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4807,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
4808,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4809,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4810,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4811,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4812,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4813,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4814,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
4815,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
4816,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4817,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4818,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4819,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
4820,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
4821,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4822,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
4823,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
4824,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4825,Grassland,Built-up,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
4826,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
4827,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
4828,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
4829,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
4830,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
4831,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
4832,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
4833,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
4834,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
4835,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
4836,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Forest
4837,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
4838,Grassland,Built-up,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4839,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4840,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
4841,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4842,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4843,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
4844,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
4845,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4846,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
4847,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
4848,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
4849,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
4850,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4851,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4852,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
4853,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4854,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4855,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4856,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4857,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4858,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Wetland
4859,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
4860,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4861,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
4862,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4863,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
4864,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
4865,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
4866,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
4867,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
4868,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
4869,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4870,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
4871,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
4872,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4873,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
4874,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
4875,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4876,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4877,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4878,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4879,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
4880,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
4881,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4882,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4883,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4884,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4885,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
4886,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
4887,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4888,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
4889,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
4890,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
4891,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
4892,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
4893,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
4894,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
4895,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
4896,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4897,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
4898,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
4899,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
4900,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4901,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4902,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4903,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
4904,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4905,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4906,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4907,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4908,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4909,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
4910,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
4911,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4912,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
4913,Grassland,Built-up,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
4914,Grassland,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
