Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQS_M_R
122,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
123,NULL,Cropland,Water,NULL,Water,Grassland
124,NULL,Cropland,Water,NULL,Water,Built-up
125,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
126,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
127,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
128,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
129,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
130,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
131,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
132,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
133,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
134,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland
135,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
136,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
137,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
138,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
139,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
140,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
141,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
142,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
143,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
144,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
145,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
146,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
147,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
148,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
149,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
150,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
151,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
152,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
153,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
154,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
155,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
156,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
157,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
158,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
159,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
160,NULL,Bareland,Cropland,Water,Non_Wetland,Water
161,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
162,NULL,Bareland,Wetland,NULL,Wetland,Grassland
163,NULL,Bareland,Wetland,NULL,Wetland,Bareland
164,NULL,Bareland,Wetland,NULL,Wetland,Water
165,NULL,Bareland,Wetland,NULL,Wetland,Forest
166,NULL,Bareland,Wetland,Water,Wetland,Bareland
167,NULL,Bareland,Wetland,Water,Wetland,Water
168,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
169,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
170,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
171,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
172,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
173,NULL,Bareland,Bareland,Water,Non_Wetland,Water
174,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
175,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
176,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
177,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
178,NULL,Bareland,Water,NULL,Water,Grassland
179,NULL,Bareland,Water,Non_Water,Water,Bareland
180,NULL,Bareland,Water,Water,Water,Water
181,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
182,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
183,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
184,NULL,Bareland,Forest,NULL,Non_Wetland,Water
185,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
186,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
187,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
188,NULL,Bareland,Forest,Water,Non_Wetland,Water
189,NULL,Bareland,Forest,Water,Non_Wetland,Forest
190,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
191,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
192,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
193,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
202,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
203,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
204,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
205,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL
206,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
207,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
208,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
209,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
210,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
211,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
212,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
213,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
214,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
215,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
216,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
217,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
218,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
219,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
220,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
221,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
222,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
223,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
224,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
225,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
226,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
227,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
228,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
229,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
230,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
231,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
232,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
233,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
234,NULL,Built-up,Wetland,NULL,Wetland,Grassland
235,NULL,Built-up,Wetland,NULL,Wetland,Bareland
236,NULL,Built-up,Wetland,NULL,Wetland,Forest
237,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
238,NULL,Built-up,Wetland,Water,Wetland,Grassland
239,NULL,Built-up,Wetland,Water,Wetland,Bareland
240,NULL,Built-up,Wetland,Water,Wetland,Built-up
241,NULL,Built-up,Wetland,Water,Wetland,Water
242,NULL,Built-up,Wetland,Water,Wetland,Forest
243,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
244,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
245,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
246,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
247,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
248,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
249,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
250,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
251,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
252,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
253,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
254,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
255,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
256,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
257,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
258,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
259,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
260,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
261,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
262,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
263,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
264,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
265,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
266,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
267,NULL,Built-up,Water,NULL,Water,Grassland
268,NULL,Built-up,Water,NULL,Water,Cropland
269,NULL,Built-up,Water,NULL,Water,Bareland
270,NULL,Built-up,Water,NULL,Water,Built-up
271,NULL,Built-up,Water,NULL,Water,Water
272,NULL,Built-up,Water,NULL,Water,Forest
273,NULL,Built-up,Water,Non_Water,Water,Grassland
274,NULL,Built-up,Water,Non_Water,Water,Water
275,NULL,Built-up,Water,Non_Water,Water,Forest
276,NULL,Built-up,Water,Water,Water,Bareland
277,NULL,Built-up,Water,Water,Water,Water
278,NULL,Built-up,Water,Water,Water,Forest
279,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
280,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
281,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
282,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
283,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
284,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
285,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
286,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
287,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
288,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
289,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
290,NULL,Built-up,Forest,Water,Non_Wetland,Forest
291,NULL,Water,NULL,NULL,Non_Wetland,Water
292,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
293,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
294,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
295,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
296,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
297,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
298,NULL,Water,Shrubland,NULL,Non_Wetland,Water
299,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
300,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
301,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
302,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
303,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
304,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
305,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
306,NULL,Water,Shrubland,Water,Non_Wetland,Water
307,NULL,Water,Shrubland,Water,Non_Wetland,Forest
308,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
309,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
310,NULL,Water,Grassland,NULL,Non_Wetland,Water
311,NULL,Water,Grassland,Water,Non_Wetland,Grassland
312,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
313,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
314,NULL,Water,Cropland,NULL,Non_Wetland,Water
315,NULL,Water,Cropland,NULL,Non_Wetland,Forest
316,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
317,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
318,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
319,NULL,Water,Cropland,Water,Non_Wetland,Grassland
320,NULL,Water,Cropland,Water,Non_Wetland,Bareland
321,NULL,Water,Cropland,Water,Non_Wetland,Water
322,NULL,Water,Cropland,Water,Non_Wetland,Forest
323,NULL,Water,Wetland,NULL,Wetland,Water
324,NULL,Water,Wetland,NULL,Wetland,Forest
325,NULL,Water,Wetland,Non_Water,Wetland,Forest
326,NULL,Water,Wetland,Water,Wetland,Grassland
327,NULL,Water,Wetland,Water,Wetland,Wetland
328,NULL,Water,Wetland,Water,Wetland,Bareland
329,NULL,Water,Wetland,Water,Wetland,Water
330,NULL,Water,Wetland,Water,Wetland,Forest
331,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
332,NULL,Water,Bareland,NULL,Non_Wetland,Forest
333,NULL,Water,Bareland,Water,Non_Wetland,Bareland
334,NULL,Water,Bareland,Water,Non_Wetland,Water
335,NULL,Water,Bareland,Water,Non_Wetland,Forest
336,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
337,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
338,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
339,NULL,Water,Water,NULL,Water,Grassland
340,NULL,Water,Water,NULL,Water,Bareland
341,NULL,Water,Water,NULL,Water,Built-up
342,NULL,Water,Water,NULL,Water,Water
343,NULL,Water,Water,NULL,Water,Forest
344,NULL,Water,Water,Water,Water,Grassland
345,NULL,Water,Water,Water,Water,Bareland
346,NULL,Water,Water,Water,Water,Built-up
347,NULL,Water,Water,Water,Water,Water
348,NULL,Water,Water,Water,Water,Forest
349,NULL,Water,Forest,NULL,Non_Wetland,Grassland
350,NULL,Water,Forest,NULL,Non_Wetland,Wetland
351,NULL,Water,Forest,NULL,Non_Wetland,Bareland
352,NULL,Water,Forest,NULL,Non_Wetland,Built-up
353,NULL,Water,Forest,NULL,Non_Wetland,Water
354,NULL,Water,Forest,NULL,Non_Wetland,Forest
355,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
356,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
357,NULL,Water,Forest,Non_Water,Non_Wetland,Water
358,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
359,NULL,Water,Forest,Water,Non_Wetland,Grassland
360,NULL,Water,Forest,Water,Non_Wetland,Bareland
361,NULL,Water,Forest,Water,Non_Wetland,Forest
362,NULL,Forest,NULL,NULL,Non_Wetland,NULL
363,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
364,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
365,NULL,Forest,NULL,NULL,Non_Wetland,Forest
366,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
367,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
368,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
369,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
370,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
371,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
372,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
373,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
374,NULL,Forest,Shrubland,Water,Non_Wetland,Water
375,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
376,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
377,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
378,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
379,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
380,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
381,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
382,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
383,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
384,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
385,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
386,NULL,Forest,Cropland,NULL,Non_Wetland,Water
387,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
388,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
389,NULL,Forest,Cropland,Water,Non_Wetland,Forest
390,NULL,Forest,Wetland,Water,Wetland,Bareland
391,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
392,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
393,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
394,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
395,NULL,Forest,Bareland,NULL,Non_Wetland,Water
396,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
397,NULL,Forest,Bareland,Water,Non_Wetland,Bareland
398,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
399,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
400,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
401,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
402,NULL,Forest,Forest,NULL,Non_Wetland,NULL
403,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
404,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
405,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
406,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
407,NULL,Forest,Forest,NULL,Non_Wetland,Water
408,NULL,Forest,Forest,NULL,Non_Wetland,Forest
409,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
410,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
411,NULL,Forest,Forest,Water,Non_Wetland,Forest
412,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
413,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
414,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
415,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
416,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
417,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
418,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
419,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
420,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
421,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
422,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
423,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
424,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
425,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
426,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
427,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
428,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
429,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
430,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
431,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
432,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
433,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
434,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
435,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
