Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
78,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
81,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Forest,Forest
84,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Bareland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Built-up
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Water
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
194,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
196,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
197,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
198,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
199,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
229,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Bareland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
234,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
239,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Cropland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Built-up
245,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Forest
246,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Cropland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Water
253,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
260,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
263,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
267,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
268,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
273,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
277,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
282,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
287,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
290,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
293,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
296,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
300,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
306,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
307,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
309,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
310,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
311,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
312,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
313,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
314,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
316,NULL,NULL,Grassland,Water,Non_Wetland,Cropland,NULL,Forest
317,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
318,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Forest
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
322,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
