Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFE_M_R
779,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
780,Grassland,Wetland,Water,Water,Water,NULL,NULL,Forest
781,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
782,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
783,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
784,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
785,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
786,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
787,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
788,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
789,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
790,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
791,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,NULL
792,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
793,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
794,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
795,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
796,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
797,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
798,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
799,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
800,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
801,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
802,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
803,Grassland,Built-up,Water,NULL,Water,NULL,NULL,Grassland
804,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
805,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
806,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
807,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
808,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
809,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
810,Grassland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
811,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
812,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
813,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
814,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
815,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
816,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
817,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
818,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
819,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
820,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
821,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
822,Grassland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
823,Grassland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
824,Grassland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
825,Grassland,Water,Water,NULL,Water,NULL,NULL,Water
826,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Forest
827,Grassland,Water,Water,Water,Water,NULL,NULL,Water
828,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
829,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
830,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
831,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
832,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
833,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
834,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
835,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
836,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
837,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
838,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
839,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
840,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
841,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
842,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
843,Grassland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
844,Grassland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
845,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
846,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
847,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
848,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
849,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
850,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
851,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
852,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
853,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
854,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
855,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
856,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
857,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
858,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
859,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
860,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
861,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
862,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
863,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
864,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
865,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
866,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
867,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
868,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
869,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
870,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
871,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
872,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
873,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
874,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
875,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
876,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
877,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
878,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
879,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
880,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
881,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
882,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
883,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
884,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
885,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
886,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
887,Grassland,Forest,Water,NULL,Water,NULL,NULL,Cropland
888,Grassland,Forest,Water,NULL,Water,NULL,NULL,Water
889,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
890,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
891,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Wetland
892,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Water
893,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
894,Grassland,Forest,Water,Water,Water,NULL,NULL,Wetland
895,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
896,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
897,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
898,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
899,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
900,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
901,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
902,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
903,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
904,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
905,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
906,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
907,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,NULL
908,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
909,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Wetland
910,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
911,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
912,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
913,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
914,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
915,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
916,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
917,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
918,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
919,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
920,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
921,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
922,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
923,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
924,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
925,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
926,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
927,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
928,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
929,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
930,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
931,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
932,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
933,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
934,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
935,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
936,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
937,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
938,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
939,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
940,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
941,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
942,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
943,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
944,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
945,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
946,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
947,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
948,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
949,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
950,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
951,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
952,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
953,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
954,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
955,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
956,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
957,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
958,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
959,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
960,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
961,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
962,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
963,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
964,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
965,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
966,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
967,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
968,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
969,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
970,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
971,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
972,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
973,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
974,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
975,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
976,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
977,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
978,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
979,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
980,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
981,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
982,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
983,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
984,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
985,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
986,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
987,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
988,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
989,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
990,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
991,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
992,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
993,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
994,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
995,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
996,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
997,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
998,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
999,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1000,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
1001,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
1002,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1003,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
1004,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1005,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1006,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1007,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
1008,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1009,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
1010,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
1011,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1012,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
1013,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
1014,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1015,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1016,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1017,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1018,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
1019,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
1020,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
1021,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
1022,Cropland,NULL,Water,NULL,Water,NULL,NULL,Bareland
1023,Cropland,NULL,Water,NULL,Water,NULL,NULL,Water
1024,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
1025,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
1026,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
1027,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
1028,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
1029,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
1030,Cropland,NULL,Water,Water,Water,NULL,NULL,Wetland
1031,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
1032,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
1033,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1034,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1035,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1036,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1037,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1038,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1039,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
1040,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1041,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
1042,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1043,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
1044,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1045,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1046,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
1047,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1048,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1049,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1050,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
1051,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
1052,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1053,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1054,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1055,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1056,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
1057,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1058,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1059,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1060,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1061,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1062,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1063,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1064,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1065,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1066,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
1067,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1068,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1069,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1070,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1071,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1072,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
1073,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
1074,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1075,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1076,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
1077,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1078,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1079,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1080,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1081,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
1082,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
1083,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
1084,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
1085,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
1086,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
1087,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1088,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
1089,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1090,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1091,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1092,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1093,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1094,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1095,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1096,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1097,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1098,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1099,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Forest
1100,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1101,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1102,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1103,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1104,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1105,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
1106,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1107,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1108,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1109,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1110,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1111,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
1112,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1113,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1114,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1115,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1116,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1117,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
1118,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1119,Cropland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1120,Cropland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
