Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
100,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
233,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Shrubland,Grassland
234,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Grassland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Bareland
247,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
248,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Built-up
290,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
300,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
303,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
304,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
305,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
306,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
308,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
309,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Built-up
310,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
313,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
314,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
315,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
316,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
318,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
319,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
320,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
321,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
322,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
323,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
