Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
74,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
75,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
77,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
79,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
92,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
94,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
95,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
99,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
102,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
103,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
105,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
113,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
115,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
116,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
117,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
118,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
119,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
120,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
123,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
124,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
125,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
126,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
127,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
128,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
129,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
130,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Bareland
132,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
133,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
134,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Bareland
135,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
136,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
137,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
138,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
139,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
140,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
141,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
142,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
143,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
144,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
145,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
146,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
147,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
148,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
149,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
150,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
152,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
153,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
154,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
155,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
156,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
157,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
158,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
160,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
161,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
162,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
163,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
165,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
166,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
167,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
168,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
169,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
170,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
171,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
172,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
173,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
174,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
175,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
176,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
177,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
178,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
179,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Grassland
180,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Forest
181,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
182,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
184,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
185,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
186,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
187,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
188,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,NULL
189,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,NULL
190,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
191,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
192,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
193,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
194,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
195,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
197,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
198,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
199,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
200,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
201,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
202,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
203,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
204,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
206,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
207,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
208,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
209,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
210,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
212,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
213,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
214,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
215,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
216,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
217,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
218,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
219,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
220,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
221,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Bareland
222,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
223,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
224,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
225,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
226,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Forest
227,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
228,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
229,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
230,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Grassland
231,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
232,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
233,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
234,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
235,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
236,NULL,NULL,Water,NULL,Water,Water,Wetland,Water
237,NULL,NULL,Water,NULL,Water,Water,Water,Water
238,NULL,NULL,Water,Water,Water,Wetland,Water,Water
239,NULL,NULL,Water,Water,Water,Water,Wetland,Water
240,NULL,NULL,Water,Water,Water,Water,Water,Grassland
241,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
242,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
243,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
244,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
245,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
246,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
247,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
250,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
251,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
255,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
256,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
257,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
258,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
259,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
260,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
261,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
262,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
263,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
264,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
265,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
266,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
267,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
268,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
270,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
271,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
273,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
274,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
276,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
277,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
279,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
280,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
281,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
282,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
283,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
284,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
285,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
286,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
287,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
288,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
289,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
290,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
291,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
292,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
293,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
294,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
295,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
296,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
297,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
298,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
299,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
300,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
302,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
303,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
304,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
305,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
306,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
307,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
308,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
310,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
311,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
312,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
313,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
314,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
315,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
316,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
317,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
319,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
320,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
321,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
322,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland,Wetland,Forest
323,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
324,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
325,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
326,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
327,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
328,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
329,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
330,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
331,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
