Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTH_M_R
184,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
185,NULL,Wetland,Wetland,Water,Wetland,NULL,Bareland
186,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
187,NULL,Wetland,Wetland,Water,Wetland,NULL,Forest
188,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
189,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Bareland
190,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Built-up
191,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
192,NULL,Wetland,Water,NULL,Water,NULL,Grassland
193,NULL,Wetland,Water,NULL,Water,NULL,Wetland
194,NULL,Wetland,Water,NULL,Water,NULL,Bareland
195,NULL,Wetland,Water,NULL,Water,NULL,Water
196,NULL,Wetland,Water,NULL,Water,NULL,Forest
197,NULL,Wetland,Water,Non_Water,Water,NULL,Grassland
198,NULL,Wetland,Water,Non_Water,Water,NULL,Bareland
199,NULL,Wetland,Water,Non_Water,Water,NULL,Water
200,NULL,Wetland,Water,Non_Water,Water,NULL,Forest
201,NULL,Wetland,Water,Water,Water,NULL,Grassland
202,NULL,Wetland,Water,Water,Water,NULL,Wetland
203,NULL,Wetland,Water,Water,Water,NULL,Bareland
204,NULL,Wetland,Water,Water,Water,NULL,Water
205,NULL,Wetland,Water,Water,Water,NULL,Forest
206,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
207,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
208,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
209,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland
210,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Water
211,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
212,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
213,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland
214,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Bareland
215,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water
216,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
217,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
218,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Bareland
219,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Water
220,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Forest
221,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Grassland
222,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Bareland
223,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Water
224,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Forest
225,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,Grassland
226,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,Bareland
227,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Bareland
228,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Water
229,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
230,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
231,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Built-up
232,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Water
233,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest
234,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
235,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
236,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Water
237,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
238,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Grassland
239,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Wetland
240,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Bareland
241,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Water
242,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Forest
243,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
244,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Bareland
245,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Forest
246,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
247,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Bareland
248,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Bareland
249,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Forest
250,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland
251,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Bareland
252,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Built-up
253,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Water
254,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Forest
255,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Bareland
256,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Grassland
257,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Bareland
258,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Water
259,NULL,Bareland,Wetland,NULL,Wetland,NULL,Water
260,NULL,Bareland,Wetland,NULL,Wetland,NULL,Forest
261,NULL,Bareland,Wetland,Water,Wetland,NULL,Wetland
262,NULL,Bareland,Wetland,Water,Wetland,NULL,Bareland
263,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
264,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland
265,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Forest
266,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,Bareland
267,NULL,Bareland,Water,NULL,Water,NULL,Bareland
268,NULL,Bareland,Water,NULL,Water,NULL,Water
269,NULL,Bareland,Water,Non_Water,Water,NULL,Water
270,NULL,Bareland,Water,Water,Water,NULL,Grassland
271,NULL,Bareland,Water,Water,Water,NULL,Wetland
272,NULL,Bareland,Water,Water,Water,NULL,Bareland
273,NULL,Bareland,Water,Water,Water,NULL,Water
274,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
275,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Bareland
276,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Water
277,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Forest
278,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,Grassland
279,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,Forest
280,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Grassland
281,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Bareland
282,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Water
283,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Forest
284,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
285,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland
286,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Water
287,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
288,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Grassland
289,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Bareland
290,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Grassland
291,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Bareland
292,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Water
293,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Forest
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
301,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
302,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
303,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Water
304,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Forest
305,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
306,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Bareland
307,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Water
308,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Forest
309,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
310,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
311,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
312,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Water
313,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
314,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Grassland
315,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Bareland
316,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Forest
317,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Grassland
318,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Bareland
319,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Water
320,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Forest
321,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
322,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Wetland
323,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
324,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up
325,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Water
326,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
327,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Grassland
328,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Bareland
329,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Water
330,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Forest
331,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Grassland
332,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Bareland
333,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Water
334,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Forest
335,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
336,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
337,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Forest
338,NULL,Built-up,Wetland,Water,Wetland,NULL,Water
339,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
340,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland
341,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
342,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
343,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Bareland
344,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Forest
345,NULL,Built-up,Water,NULL,Water,NULL,Grassland
346,NULL,Built-up,Water,NULL,Water,NULL,Bareland
347,NULL,Built-up,Water,NULL,Water,NULL,Water
348,NULL,Built-up,Water,NULL,Water,NULL,Forest
349,NULL,Built-up,Water,Non_Water,Water,NULL,Grassland
350,NULL,Built-up,Water,Non_Water,Water,NULL,Bareland
351,NULL,Built-up,Water,Non_Water,Water,NULL,Forest
352,NULL,Built-up,Water,Water,Water,NULL,Grassland
353,NULL,Built-up,Water,Water,Water,NULL,Bareland
354,NULL,Built-up,Water,Water,Water,NULL,Water
355,NULL,Built-up,Water,Water,Water,NULL,Forest
356,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL
357,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
358,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland
359,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
360,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
361,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water
362,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
363,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Grassland
364,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Bareland
365,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Water
366,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Forest
367,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Grassland
368,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Bareland
369,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Water
370,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Forest
371,NULL,Water,NULL,NULL,Non_Wetland,NULL,Grassland
372,NULL,Water,NULL,NULL,Non_Wetland,NULL,Bareland
373,NULL,Water,NULL,NULL,Non_Wetland,NULL,Water
374,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Grassland
375,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Bareland
376,NULL,Water,NULL,Water,Non_Wetland,NULL,Bareland
377,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
378,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland
379,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
380,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water
381,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
382,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
