Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R
898,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
899,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
900,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
901,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
902,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
903,NULL,Built-up,Wetland,Non_Water,Wetland,Water,NULL,Wetland
904,NULL,Built-up,Wetland,Water,Wetland,Grassland,NULL,Wetland
905,NULL,Built-up,Wetland,Water,Wetland,Water,NULL,Bareland
906,NULL,Built-up,Wetland,Water,Wetland,Water,NULL,Forest
907,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
908,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
909,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
910,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
911,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
912,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
913,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
914,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
915,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
916,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
917,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
918,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
919,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
920,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,Wetland
921,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
922,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
923,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Built-up
924,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Forest
925,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
926,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
927,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Wetland
928,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
929,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
930,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Water
931,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
932,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
933,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
934,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
935,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
936,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
937,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Wetland
938,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
939,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
940,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
941,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Wetland
942,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Bareland
943,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Built-up
944,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Forest
945,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
946,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Wetland
947,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
948,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
949,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
950,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
951,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
952,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
953,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Wetland
954,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
955,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
956,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
957,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Bareland
958,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
959,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
960,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
961,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Wetland
962,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
963,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
964,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
965,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
966,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
967,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Wetland
968,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
969,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
970,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Water
971,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
972,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,NULL,Grassland
973,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,NULL,Bareland
974,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,NULL,Built-up
975,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,NULL,NULL
976,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Grassland
977,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Wetland
978,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Built-up
979,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Forest
980,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland,NULL,Built-up
981,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Built-up
982,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Forest
983,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,NULL,Forest
984,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,NULL,Built-up
985,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,NULL,Built-up
986,NULL,Built-up,Built-up,Water,Non_Wetland,Water,NULL,Wetland
987,NULL,Built-up,Built-up,Water,Non_Wetland,Water,NULL,Forest
988,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
989,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
990,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Grassland
991,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Wetland
992,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Bareland
993,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Built-up
994,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Forest
995,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Grassland
996,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Wetland
997,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
998,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Bareland
999,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Built-up
1000,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Forest
1001,NULL,Built-up,Water,NULL,Water,Built-up,Water,Built-up
1002,NULL,Built-up,Water,NULL,Water,Water,NULL,Forest
1003,NULL,Built-up,Water,NULL,Water,Water,Grassland,Wetland
1004,NULL,Built-up,Water,Non_Water,Water,Grassland,NULL,Grassland
1005,NULL,Built-up,Water,Non_Water,Water,Grassland,NULL,Wetland
1006,NULL,Built-up,Water,Non_Water,Water,Grassland,NULL,Forest
1007,NULL,Built-up,Water,Non_Water,Water,Grassland,Grassland,Water
1008,NULL,Built-up,Water,Non_Water,Water,Grassland,Water,Grassland
1009,NULL,Built-up,Water,Non_Water,Water,Bareland,NULL,Forest
1010,NULL,Built-up,Water,Non_Water,Water,Built-up,Grassland,Forest
1011,NULL,Built-up,Water,Non_Water,Water,Water,NULL,Forest
1012,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
1013,NULL,Built-up,Water,Water,Water,Grassland,NULL,Bareland
1014,NULL,Built-up,Water,Water,Water,Grassland,NULL,Forest
1015,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1016,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1017,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1018,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1019,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1020,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1021,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1022,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
1023,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1024,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1025,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1026,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1027,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Forest
1028,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
1029,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1030,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
1031,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
1032,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
1033,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1034,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1035,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1036,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1037,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
1038,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1039,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
1040,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
1041,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1042,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1043,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
1044,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Water
1045,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1046,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
1047,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1048,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
1049,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Forest
1050,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1051,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Wetland
1052,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Built-up
1053,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1054,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
1055,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1056,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Wetland
1057,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
1058,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
1059,NULL,Built-up,Forest,NULL,Non_Wetland,Water,NULL,Wetland
1060,NULL,Built-up,Forest,NULL,Non_Wetland,Water,NULL,Forest
1061,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
1062,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Wetland
1063,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1064,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Wetland
1065,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
1066,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1067,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1068,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
1069,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1070,NULL,Built-up,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Forest
1071,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1072,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1073,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
1074,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1075,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1076,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1077,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,NULL,Forest
1078,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Grassland,Wetland
1079,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Grassland,Forest
1080,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water,NULL,Wetland
1081,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water,NULL,Forest
1082,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water,Grassland,Wetland
1083,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest,NULL,Grassland
1084,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
1085,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,NULL,Wetland
1086,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,NULL,Forest
1087,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,NULL,Wetland
1088,NULL,Built-up,Forest,Water,Non_Wetland,Water,NULL,Water
1089,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1090,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1091,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1092,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
1093,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1094,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1095,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1096,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1097,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
1098,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1099,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1100,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
1101,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1102,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,NULL,Bareland
1103,NULL,Water,Cropland,NULL,Non_Wetland,Water,NULL,Bareland
1104,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
1105,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
1106,NULL,Water,Wetland,NULL,Wetland,Grassland,NULL,Grassland
1107,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1108,NULL,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
1109,NULL,Water,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
1110,NULL,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
1111,NULL,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
1112,NULL,Water,Wetland,Non_Water,Wetland,Forest,NULL,Wetland
1113,NULL,Water,Wetland,Water,Wetland,Wetland,NULL,Wetland
1114,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1115,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
1116,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
1117,NULL,Water,Water,NULL,Water,Grassland,NULL,Grassland
1118,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
1119,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
1120,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1121,NULL,Water,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1122,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1123,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1124,NULL,Water,Forest,Non_Water,Non_Wetland,Water,NULL,Forest
1125,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1126,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1127,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
1128,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1129,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1130,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
1131,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1132,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1133,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
1134,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1135,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
1136,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1137,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
1138,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1139,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1140,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1141,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1142,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
1143,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1144,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
1145,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1146,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1147,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1148,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1149,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
1150,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1151,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1152,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1153,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1154,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
1155,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1156,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1157,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1158,NULL,Forest,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
1159,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1160,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1161,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1162,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1163,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1164,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1165,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
1166,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1167,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1168,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1169,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1170,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1171,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
1172,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
1173,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
1174,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1175,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1176,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1177,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1178,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
1179,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
1180,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1181,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1182,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
1183,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1184,NULL,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
1185,NULL,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
1186,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
1187,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
1188,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
1189,NULL,Forest,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
1190,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
1191,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
1192,NULL,Forest,Wetland,NULL,Wetland,Grassland,NULL,Wetland
1193,NULL,Forest,Wetland,NULL,Wetland,Forest,NULL,Wetland
1194,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1195,NULL,Forest,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
1196,NULL,Forest,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
1197,NULL,Forest,Wetland,Non_Water,Wetland,Shrubland,Grassland,Wetland
1198,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
1199,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
1200,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
1201,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
1202,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
1203,NULL,Forest,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
1204,NULL,Forest,Wetland,Non_Water,Wetland,Forest,NULL,Wetland
1205,NULL,Forest,Wetland,Water,Wetland,Grassland,NULL,Wetland
1206,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
1207,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1208,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1209,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1210,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1211,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
1212,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
1213,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Wetland
1214,NULL,Forest,Water,Non_Water,Water,Grassland,Grassland,Wetland
1215,NULL,Forest,Water,Water,Water,NULL,NULL,Water
1216,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1217,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1218,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1219,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1220,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1221,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1222,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1223,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
1224,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1225,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1226,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1227,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1228,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1229,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1230,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
1231,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
