Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNE_M_R
88,NULL,NULL,Water,NULL,Water,Water,Water,NULL
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
91,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
92,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
93,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
94,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
95,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
96,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
97,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
98,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
99,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
100,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
101,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
102,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
103,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
105,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,NULL
106,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,NULL
107,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
108,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
109,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
110,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
111,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
112,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
113,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
114,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
115,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
116,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
117,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
118,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
119,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
120,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,NULL
121,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
122,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
123,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
124,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Water,NULL
125,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
126,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
127,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
128,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
129,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
130,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
131,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
132,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
133,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
134,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
135,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Water,NULL
136,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
137,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
138,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
139,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
140,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
141,NULL,Wetland,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
142,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
143,NULL,Wetland,Water,NULL,Water,Wetland,Water,NULL
144,NULL,Wetland,Water,NULL,Water,Water,Wetland,NULL
145,NULL,Wetland,Water,NULL,Water,Water,Water,NULL
146,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
147,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
148,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,NULL
149,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
150,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,NULL
151,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Water,NULL
152,NULL,Bareland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
153,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
154,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
156,NULL,Bareland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
157,NULL,Bareland,Wetland,NULL,Wetland,Wetland,Water,NULL
158,NULL,Bareland,Wetland,NULL,Wetland,Water,Wetland,NULL
159,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
160,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
161,NULL,Bareland,Water,NULL,Water,Wetland,Wetland,NULL
162,NULL,Bareland,Water,NULL,Water,Wetland,Water,NULL
163,NULL,Bareland,Water,NULL,Water,Water,Wetland,NULL
164,NULL,Bareland,Water,NULL,Water,Water,Water,NULL
165,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
166,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,NULL
167,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Water,NULL
168,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
169,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
170,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
171,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
172,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,NULL
173,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
174,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Water,NULL
175,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
176,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
177,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
178,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
179,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
180,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
181,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
182,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
183,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
185,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,NULL
199,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
201,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Water,NULL
202,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
203,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,NULL
204,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,NULL
205,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,NULL
206,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,NULL
207,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Grassland,NULL
208,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,NULL
209,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,NULL
210,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Water,NULL
211,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,NULL
212,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
213,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
214,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Grassland,NULL
215,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,NULL
216,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,NULL
217,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Water,NULL
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
219,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,NULL
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
231,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
232,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Water,NULL
233,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Water,NULL
234,NULL,Built-up,Water,NULL,Water,Wetland,Water,NULL
235,NULL,Built-up,Water,NULL,Water,Built-up,Water,NULL
236,NULL,Built-up,Water,NULL,Water,Water,Water,NULL
237,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
238,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
239,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
240,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
241,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
242,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
243,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
244,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
245,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
246,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,NULL
247,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
248,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,NULL
249,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,NULL
250,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
251,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,NULL
252,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,NULL
253,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,NULL
254,NULL,Water,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
255,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
256,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
257,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
258,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,NULL
259,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
260,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
261,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
262,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
263,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
264,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
265,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
266,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
267,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
268,NULL,Water,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
269,NULL,Water,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
270,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,NULL
271,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,NULL
272,NULL,Water,Wetland,NULL,Wetland,NULL,Water,NULL
273,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,NULL
274,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,NULL
275,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
276,NULL,Water,Wetland,NULL,Wetland,Wetland,Bareland,NULL
277,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
278,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,NULL
279,NULL,Water,Wetland,NULL,Wetland,Built-up,Water,NULL
280,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
281,NULL,Water,Wetland,NULL,Wetland,Water,Water,NULL
282,NULL,Water,Wetland,NULL,Wetland,Water,Forest,NULL
283,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
284,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
285,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
286,NULL,Water,Bareland,NULL,Non_Wetland,Water,Built-up,NULL
287,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
288,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
289,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
290,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
291,NULL,Water,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
292,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,NULL
293,NULL,Water,Water,NULL,Water,Wetland,Wetland,NULL
294,NULL,Water,Water,NULL,Water,Wetland,Water,NULL
295,NULL,Water,Water,NULL,Water,Bareland,Wetland,NULL
296,NULL,Water,Water,NULL,Water,Built-up,Water,NULL
297,NULL,Water,Water,NULL,Water,Water,Wetland,NULL
298,NULL,Water,Water,NULL,Water,Water,Water,NULL
299,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
300,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
301,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,NULL
302,NULL,Water,Forest,NULL,Non_Wetland,Built-up,Water,NULL
303,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,NULL
304,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,NULL
305,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
306,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
307,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
308,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Water,NULL
309,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
310,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,NULL
311,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
312,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
313,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
314,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
315,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
316,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
317,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
318,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
319,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
320,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
321,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,NULL
322,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,NULL
323,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
324,NULL,Forest,Wetland,NULL,Wetland,Wetland,Bareland,NULL
325,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,NULL
326,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,NULL
327,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,NULL
328,NULL,Forest,Wetland,NULL,Wetland,Water,Water,NULL
329,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
330,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
331,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
332,NULL,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
333,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
334,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
335,NULL,Forest,Water,NULL,Water,Wetland,Wetland,NULL
336,NULL,Forest,Water,NULL,Water,Wetland,Water,NULL
337,NULL,Forest,Water,NULL,Water,Water,Wetland,NULL
338,NULL,Forest,Water,NULL,Water,Water,Water,NULL
339,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
340,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
341,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
