Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
129,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
130,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
131,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
132,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
133,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
134,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
135,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
136,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
137,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Water
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Wetland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Cropland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
301,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
304,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
306,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
307,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
308,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
310,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
311,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Wetland
312,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
313,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
315,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
317,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
321,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
