Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNH_M_R
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
48,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
52,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
53,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
56,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
57,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
58,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
59,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
61,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
62,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
63,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
64,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
65,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,Water,NULL,Water,Wetland,Forest,Wetland
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
71,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
78,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
82,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
83,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
88,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
89,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
91,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
92,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
93,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
94,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
95,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
96,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
97,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
98,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
99,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
100,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
101,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
102,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
105,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Wetland
106,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
107,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
108,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
109,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
114,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Bareland,Bareland
115,NULL,Built-up,Wetland,Water,Wetland,Grassland,Bareland,Forest
116,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Bareland
117,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Water
118,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
119,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
120,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
122,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
123,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
125,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
126,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
128,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Bareland,Forest
129,NULL,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
130,NULL,Water,Water,NULL,Water,Bareland,Bareland,Grassland
131,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
132,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
133,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
134,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Bareland
135,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
136,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
137,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
138,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
140,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
141,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
142,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
143,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
144,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
145,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
146,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
147,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
148,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
149,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
150,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
151,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Wetland
152,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
153,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
154,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
155,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
156,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
157,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
158,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
159,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
160,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
161,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
162,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
163,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
164,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
165,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
166,NULL,Forest,Forest,Water,Non_Wetland,Grassland,Bareland,Water
167,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
168,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
169,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
170,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
171,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
172,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
173,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
174,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
175,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
176,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
177,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
178,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
179,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
180,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
181,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
182,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
183,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
184,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
185,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
186,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
187,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
188,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
189,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
190,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
191,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
192,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
193,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
194,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
195,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
196,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
197,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
198,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
199,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
200,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
201,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
202,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
203,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
204,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
205,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
206,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
207,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
208,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
209,Cropland,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
210,Cropland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
211,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
212,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
213,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
214,Cropland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
215,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
216,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
217,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
218,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
219,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
220,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
221,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
222,Wetland,NULL,Water,NULL,Water,Wetland,Forest,Wetland
223,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
224,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
225,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
226,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
227,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
228,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
229,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
230,Wetland,Water,Water,Water,Water,Grassland,Water,Water
231,Wetland,Forest,Water,Water,Water,Grassland,Water,Grassland
232,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
233,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
234,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
235,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
236,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
237,Bareland,NULL,Water,Water,Water,Bareland,Bareland,Bareland
238,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
239,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
240,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
241,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
242,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
243,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
244,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
245,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
246,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
247,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
248,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
249,Bareland,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
250,Bareland,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
251,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
252,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
253,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
254,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
255,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
256,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
257,Bareland,Bareland,Water,Water,Water,Grassland,Water,Bareland
258,Bareland,Bareland,Water,Water,Water,Water,Water,Water
259,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
260,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
261,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
262,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
263,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
264,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
265,Bareland,Bareland,Forest,Water,Non_Wetland,Grassland,Water,Water
266,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
267,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
268,Bareland,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
269,Bareland,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Water
270,Bareland,Water,Grassland,Water,Non_Wetland,Grassland,Wetland,Water
271,Bareland,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
272,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
273,Bareland,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
274,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
275,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
276,Bareland,Water,Wetland,Water,Wetland,Grassland,Wetland,Bareland
277,Bareland,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
278,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Water
279,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
280,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
281,Bareland,Water,Water,NULL,Water,Grassland,Water,Forest
282,Bareland,Water,Water,NULL,Water,Water,Bareland,Water
283,Bareland,Water,Water,NULL,Water,Water,Water,Water
284,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
285,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
286,Bareland,Water,Water,Water,Water,Grassland,Wetland,Water
287,Bareland,Water,Water,Water,Water,Grassland,Bareland,Water
288,Bareland,Water,Water,Water,Water,Grassland,Water,Water
289,Bareland,Water,Water,Water,Water,Water,Wetland,Water
290,Bareland,Water,Water,Water,Water,Water,Water,Water
291,Bareland,Water,Water,Water,Water,Water,Water,Forest
292,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
293,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
294,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
295,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
296,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Water
297,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
298,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
299,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
300,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
301,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
302,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
303,Bareland,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
304,Bareland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
305,Bareland,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
306,Bareland,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Water
307,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
308,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
309,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
310,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
311,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
312,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
313,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
314,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
315,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
316,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
317,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
318,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
319,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
320,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
321,Bareland,Forest,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
322,Bareland,Forest,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
323,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
324,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
325,Water,NULL,Wetland,Water,Wetland,Grassland,Water,Water
326,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
327,Water,NULL,Water,Water,Water,Grassland,Water,Grassland
328,Water,NULL,Water,Water,Water,Water,Water,Water
329,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
330,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
331,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
332,Water,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
333,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
334,Water,Wetland,Water,Water,Water,Grassland,Water,Wetland
