Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R
123,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
125,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
126,NULL,Cropland,Wetland,NULL,Wetland,Bareland
127,NULL,Cropland,Wetland,NULL,Wetland,Forest
128,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
129,NULL,Cropland,Wetland,Water,Wetland,Grassland
130,NULL,Cropland,Wetland,Water,Wetland,Bareland
131,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
133,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
134,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
137,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
138,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
139,NULL,Cropland,Water,NULL,Water,Grassland
140,NULL,Cropland,Water,NULL,Water,Built-up
141,NULL,Cropland,Water,NULL,Water,Forest
142,NULL,Cropland,Water,Water,Water,Grassland
143,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
144,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
145,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
146,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
147,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
148,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
149,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
150,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
151,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
152,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
153,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
154,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
155,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
156,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
157,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
158,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
159,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
160,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
161,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
162,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
163,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
164,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
165,NULL,Wetland,Cropland,Water,Non_Wetland,Water
166,NULL,Wetland,Wetland,NULL,Wetland,Grassland
167,NULL,Wetland,Wetland,NULL,Wetland,Wetland
168,NULL,Wetland,Wetland,NULL,Wetland,Forest
169,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
170,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
171,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
172,NULL,Wetland,Wetland,Water,Wetland,Grassland
173,NULL,Wetland,Wetland,Water,Wetland,Wetland
174,NULL,Wetland,Wetland,Water,Wetland,Bareland
175,NULL,Wetland,Wetland,Water,Wetland,Forest
176,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
177,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
178,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
179,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
180,NULL,Wetland,Water,NULL,Water,Bareland
181,NULL,Wetland,Water,NULL,Water,Water
182,NULL,Wetland,Water,NULL,Water,Forest
183,NULL,Wetland,Water,Non_Water,Water,Grassland
184,NULL,Wetland,Water,Water,Water,Grassland
185,NULL,Wetland,Water,Water,Water,Wetland
186,NULL,Wetland,Water,Water,Water,Bareland
187,NULL,Wetland,Water,Water,Water,Forest
188,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
189,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
190,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
191,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up
192,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
193,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
194,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
195,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
196,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
197,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
198,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
199,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
200,NULL,Wetland,Forest,Water,Non_Wetland,Forest
201,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
202,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
203,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
204,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
205,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
206,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
207,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
208,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
209,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
210,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
211,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
212,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
213,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
214,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
215,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
216,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
217,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
218,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
219,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
220,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
221,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
222,NULL,Bareland,Water,NULL,Water,Grassland
223,NULL,Bareland,Water,NULL,Water,Bareland
224,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
225,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
226,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
227,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
228,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
229,NULL,Bareland,Forest,NULL,Non_Wetland,Water
230,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
231,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
232,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
233,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
234,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
235,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
242,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
243,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
244,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
245,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
246,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
247,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
248,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
249,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
250,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
251,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
252,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
253,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
254,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
255,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
256,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
257,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
258,NULL,Built-up,Wetland,NULL,Wetland,Built-up
259,NULL,Built-up,Wetland,NULL,Wetland,Forest
260,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
261,NULL,Built-up,Wetland,Water,Wetland,Grassland
262,NULL,Built-up,Wetland,Water,Wetland,Forest
263,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
264,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
265,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
266,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
267,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
268,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
269,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
270,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
271,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
272,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
273,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
274,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
275,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
276,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
277,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
278,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
279,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
280,NULL,Built-up,Built-up,Water,Non_Wetland,Water
281,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
282,NULL,Built-up,Water,NULL,Water,Grassland
283,NULL,Built-up,Water,NULL,Water,Bareland
284,NULL,Built-up,Water,NULL,Water,Built-up
285,NULL,Built-up,Water,NULL,Water,Forest
286,NULL,Built-up,Water,Non_Water,Water,Forest
287,NULL,Built-up,Water,Water,Water,Water
288,NULL,Built-up,Water,Water,Water,Forest
289,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
290,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
291,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
292,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
293,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
294,NULL,Built-up,Forest,NULL,Non_Wetland,Water
295,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
296,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
297,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
298,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
299,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
300,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
301,NULL,Built-up,Forest,Water,Non_Wetland,Forest
302,NULL,Water,NULL,NULL,Non_Wetland,Grassland
303,NULL,Water,NULL,NULL,Non_Wetland,Bareland
304,NULL,Water,NULL,NULL,Non_Wetland,Water
305,NULL,Water,NULL,NULL,Non_Wetland,Forest
306,NULL,Water,NULL,Water,Non_Wetland,Forest
307,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
308,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
309,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
310,NULL,Water,Shrubland,NULL,Non_Wetland,Water
311,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
312,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
313,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
314,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
315,NULL,Water,Shrubland,Water,Non_Wetland,Forest
316,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
317,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
318,NULL,Water,Grassland,NULL,Non_Wetland,Built-up
319,NULL,Water,Grassland,NULL,Non_Wetland,Water
320,NULL,Water,Grassland,NULL,Non_Wetland,Forest
321,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
322,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
323,NULL,Water,Grassland,Water,Non_Wetland,Grassland
324,NULL,Water,Grassland,Water,Non_Wetland,Bareland
325,NULL,Water,Grassland,Water,Non_Wetland,Forest
326,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
327,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
328,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
329,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
330,NULL,Water,Cropland,Water,Non_Wetland,Bareland
331,NULL,Water,Wetland,NULL,Wetland,Forest
332,NULL,Water,Wetland,Water,Wetland,Grassland
333,NULL,Water,Wetland,Water,Wetland,Bareland
334,NULL,Water,Wetland,Water,Wetland,Water
335,NULL,Water,Wetland,Water,Wetland,Forest
336,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
337,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
338,NULL,Water,Bareland,NULL,Non_Wetland,Forest
339,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
340,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
341,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
342,NULL,Water,Built-up,NULL,Non_Wetland,Forest
343,NULL,Water,Water,NULL,Water,Grassland
344,NULL,Water,Water,NULL,Water,Bareland
345,NULL,Water,Water,NULL,Water,Built-up
346,NULL,Water,Water,NULL,Water,Water
347,NULL,Water,Water,NULL,Water,Forest
348,NULL,Water,Water,Non_Water,Water,Grassland
349,NULL,Water,Water,Non_Water,Water,Bareland
350,NULL,Water,Water,Non_Water,Water,Forest
351,NULL,Water,Water,Water,Water,Grassland
352,NULL,Water,Water,Water,Water,Bareland
353,NULL,Water,Water,Water,Water,Water
354,NULL,Water,Water,Water,Water,Forest
355,NULL,Water,Forest,NULL,Non_Wetland,Grassland
356,NULL,Water,Forest,NULL,Non_Wetland,Bareland
357,NULL,Water,Forest,NULL,Non_Wetland,Water
358,NULL,Water,Forest,NULL,Non_Wetland,Forest
359,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
360,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
361,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
362,NULL,Water,Forest,Water,Non_Wetland,Grassland
363,NULL,Water,Forest,Water,Non_Wetland,Bareland
364,NULL,Water,Forest,Water,Non_Wetland,Water
365,NULL,Water,Forest,Water,Non_Wetland,Forest
366,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
367,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
368,NULL,Forest,NULL,NULL,Non_Wetland,Forest
369,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
370,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
371,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
372,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
373,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
374,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
375,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
376,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
377,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
378,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
379,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
380,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
381,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
382,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
383,NULL,Forest,Grassland,Water,Non_Wetland,Forest
384,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
385,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
386,NULL,Forest,Wetland,NULL,Wetland,Forest
387,NULL,Forest,Wetland,Water,Wetland,Forest
388,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
389,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
390,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
391,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
392,NULL,Forest,Water,NULL,Water,Grassland
393,NULL,Forest,Water,NULL,Water,Forest
394,NULL,Forest,Water,Water,Water,Forest
395,NULL,Forest,Forest,NULL,Non_Wetland,NULL
396,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
397,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
398,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
399,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
400,NULL,Forest,Forest,NULL,Non_Wetland,Forest
401,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
402,NULL,Forest,Forest,Water,Non_Wetland,Forest
403,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
404,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
405,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
406,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
407,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
408,Grassland,NULL,NULL,Water,Non_Wetland,Forest
409,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
410,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
411,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
412,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
413,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
414,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
415,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
416,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
417,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
418,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
419,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
420,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
421,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
422,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
423,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
424,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
425,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
426,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
427,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
428,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
429,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
430,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
431,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
432,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
433,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
434,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
435,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
436,Grassland,NULL,Wetland,NULL,Wetland,Grassland
437,Grassland,NULL,Wetland,NULL,Wetland,Forest
