Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R
3505,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Bareland,NULL
3506,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
3507,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3508,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
3509,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Water,Forest
3510,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
3511,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3512,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
3513,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3514,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3515,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3516,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
3517,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3518,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3519,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3520,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3521,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
3522,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3523,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3524,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3525,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3526,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3527,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3528,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3529,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
3530,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3531,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
3532,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
3533,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
3534,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3535,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
3536,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
3537,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
3538,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3539,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3540,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
3541,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
3542,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
3543,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
3544,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
3545,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3546,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3547,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
3548,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3549,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3550,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3551,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
3552,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3553,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
3554,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
3555,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
3556,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
3557,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Forest
3558,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
3559,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3560,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
3561,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
3562,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3563,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
3564,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
3565,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
3566,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
3567,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
3568,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Wetland
3569,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
3570,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
3571,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
3572,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
3573,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
3574,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
3575,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
3576,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
3577,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
3578,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
3579,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
3580,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
3581,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
3582,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
3583,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
3584,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
3585,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
3586,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
3587,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
3588,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3589,NULL,Forest,Cropland,Water,Non_Wetland,Shrubland,Shrubland,NULL
3590,NULL,Forest,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
3591,NULL,Forest,Cropland,Water,Non_Wetland,Shrubland,Grassland,NULL
3592,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
3593,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Forest,Wetland
3594,NULL,Forest,Wetland,NULL,Wetland,Shrubland,Forest,Forest
3595,NULL,Forest,Wetland,NULL,Wetland,Forest,Shrubland,Wetland
3596,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Wetland
3597,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
3598,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
3599,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,Bareland
3600,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
3601,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
3602,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
3603,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,NULL
3604,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Grassland
3605,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
3606,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
3607,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
3608,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
3609,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3610,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3611,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3612,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3613,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
3614,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
3615,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3616,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Forest,NULL
3617,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Forest,Bareland
3618,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Forest,Built-up
3619,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
3620,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
3621,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
3622,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
3623,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
3624,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3625,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
3626,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
3627,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
3628,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
3629,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
3630,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
3631,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
3632,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
3633,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
3634,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
3635,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
3636,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Shrubland,NULL
3637,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
3638,NULL,Forest,Water,NULL,Water,Shrubland,Shrubland,NULL
3639,NULL,Forest,Water,NULL,Water,Shrubland,Shrubland,Grassland
3640,NULL,Forest,Water,NULL,Water,Shrubland,Forest,Forest
3641,NULL,Forest,Water,NULL,Water,Forest,Shrubland,Grassland
3642,NULL,Forest,Water,Water,Water,Grassland,NULL,Grassland
3643,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
3644,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3645,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
3646,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
3647,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
3648,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
3649,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
3650,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
3651,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
3652,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
3653,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3654,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3655,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
3656,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Bareland
3657,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
3658,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Built-up,NULL
3659,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water,Grassland
3660,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
3661,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
3662,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Built-up
3663,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
3664,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
3665,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
3666,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
3667,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
3668,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
3669,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3670,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3671,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3672,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
3673,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3674,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3675,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
3676,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3677,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3678,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Built-up
3679,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
3680,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
3681,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
3682,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Built-up,NULL
3683,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
3684,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
3685,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
3686,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
3687,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Cropland
3688,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Wetland
3689,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Built-up
3690,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
3691,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
3692,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3693,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
3694,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3695,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
3696,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3697,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3698,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
3699,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3700,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3701,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3702,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
3703,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3704,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
3705,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,NULL
3706,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
3707,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
3708,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
3709,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3710,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3711,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
3712,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
3713,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
3714,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
3715,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
3716,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3717,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
3718,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
3719,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3720,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
3721,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
3722,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
3723,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
3724,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
3725,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
3726,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
3727,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,NULL
3728,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
3729,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
3730,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
3731,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
3732,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Wetland
3733,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
3734,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
3735,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
3736,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
3737,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
3738,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
3739,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
3740,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Wetland
3741,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
3742,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Forest
3743,NULL,Forest,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Forest
3744,NULL,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
3745,NULL,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
3746,NULL,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
3747,NULL,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
3748,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3749,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Forest
3750,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
3751,NULL,Forest,Forest,Water,Non_Wetland,Shrubland,Shrubland,NULL
3752,NULL,Forest,Forest,Water,Non_Wetland,Shrubland,Shrubland,Grassland
3753,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3754,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3755,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3756,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3757,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3758,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3759,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3760,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
3761,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
3762,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
3763,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Wetland
3764,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Built-up
3765,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
3766,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
3767,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3768,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
3769,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
3770,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3771,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
3772,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
3773,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
3774,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
3775,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
3776,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
3777,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
3778,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3779,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
3780,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
3781,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
3782,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
3783,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
3784,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
3785,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3786,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3787,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3788,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
3789,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3790,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3791,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
3792,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3793,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3794,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
3795,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
3796,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
3797,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
3798,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
3799,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3800,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
3801,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
3802,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
3803,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
3804,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
3805,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
3806,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
3807,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
3808,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3809,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
3810,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
3811,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
3812,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3813,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
3814,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3815,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3816,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
3817,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3818,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3819,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
3820,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3821,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3822,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
3823,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
3824,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
3825,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
3826,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3827,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
3828,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
3829,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
3830,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
