Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTN_M_R
3167,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Forest,NULL
3168,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
3169,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
3170,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
3171,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
3172,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
3173,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
3174,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
3175,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3176,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3177,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
3178,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
3179,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3180,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
3181,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
3182,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
3183,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
3184,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
3185,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
3186,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
3187,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
3188,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
3189,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
3190,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
3191,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
3192,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
3193,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
3194,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
3195,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
3196,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Bareland
3197,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
3198,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
3199,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Bareland
3200,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Water,Built-up
3201,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
3202,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
3203,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
3204,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
3205,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
3206,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Water
3207,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
3208,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
3209,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3210,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
3211,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3212,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
3213,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
3214,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
3215,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
3216,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
3217,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
3218,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
3219,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
3220,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
3221,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
3222,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
3223,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
3224,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
3225,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
3226,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
3227,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Water
3228,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
3229,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
3230,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
3231,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
3232,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Water
3233,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
3234,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
3235,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
3236,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Wetland
3237,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Bareland
3238,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
3239,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
3240,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,NULL
3241,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
3242,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
3243,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Forest
3244,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
3245,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
3246,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
3247,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
3248,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
3249,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
3250,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
3251,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
3252,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
3253,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
3254,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Water
3255,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
3256,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,NULL
3257,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,NULL
3258,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Bareland
3259,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Built-up
3260,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Water,NULL
3261,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Water,Built-up
3262,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
3263,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Water
3264,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
3265,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Cropland
3266,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
3267,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Forest
3268,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Bareland,Built-up
3269,NULL,Built-up,Built-up,Water,Non_Wetland,Shrubland,Bareland,Built-up
3270,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Built-up
3271,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Built-up,NULL
3272,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Built-up,Grassland
3273,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
3274,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
3275,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3276,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
3277,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
3278,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
3279,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
3280,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
3281,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Built-up
3282,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
3283,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
3284,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3285,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
3286,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Built-up
3287,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
3288,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,NULL
3289,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
3290,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
3291,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
3292,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
3293,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
3294,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3295,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3296,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3297,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3298,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
3299,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
3300,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,NULL
3301,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Forest
3302,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
3303,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
3304,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
3305,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3306,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
3307,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3308,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
3309,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
3310,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3311,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3312,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3313,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
3314,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
3315,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
3316,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
3317,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
3318,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
3319,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
3320,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
3321,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
3322,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
3323,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
3324,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3325,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
3326,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
3327,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,NULL
3328,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
3329,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
3330,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
3331,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,NULL
3332,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Cropland
3333,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
3334,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,NULL
3335,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
3336,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Cropland
3337,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
3338,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
3339,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
3340,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Cropland
3341,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Bareland
3342,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
3343,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
3344,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
3345,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
3346,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
3347,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
3348,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
3349,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
3350,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
3351,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
3352,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3353,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3354,NULL,Water,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
3355,NULL,Water,NULL,NULL,Non_Wetland,NULL,Water,Grassland
3356,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3357,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3358,NULL,Water,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
3359,NULL,Water,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
3360,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
3361,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3362,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3363,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
3364,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3365,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
3366,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
3367,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
3368,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3369,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3370,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
3371,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3372,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3373,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
3374,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
3375,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
3376,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3377,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
3378,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
3379,NULL,Water,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
3380,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
3381,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,NULL
3382,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Cropland
3383,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,NULL
3384,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Shrubland,NULL
3385,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
3386,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3387,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3388,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
3389,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
3390,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3391,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3392,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3393,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3394,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
3395,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
3396,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
3397,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
3398,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
3399,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
3400,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Water,Water
3401,NULL,Water,Wetland,Non_Water,Wetland,Water,Shrubland,Grassland
3402,NULL,Water,Wetland,Non_Water,Wetland,Forest,Shrubland,Wetland
3403,NULL,Water,Wetland,Water,Wetland,Water,Shrubland,Wetland
3404,NULL,Water,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3405,NULL,Water,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3406,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
3407,NULL,Water,Water,NULL,Water,Shrubland,Water,Wetland
3408,NULL,Water,Water,Non_Water,Water,Water,Shrubland,Wetland
3409,NULL,Water,Water,Water,Water,Water,Water,Wetland
3410,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
3411,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
3412,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
3413,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3414,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3415,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
3416,NULL,Water,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
3417,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
3418,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
3419,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Wetland
3420,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Wetland
3421,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Shrubland,NULL
3422,NULL,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Wetland
3423,NULL,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
3424,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
3425,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
3426,NULL,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
3427,NULL,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3428,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3429,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3430,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3431,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3432,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3433,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3434,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
3435,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
3436,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
3437,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Bareland
3438,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Built-up
3439,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
3440,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
3441,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3442,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3443,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
3444,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
3445,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
3446,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
3447,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,NULL
3448,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
3449,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
3450,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
3451,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
3452,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
3453,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
3454,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3455,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3456,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3457,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
3458,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3459,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3460,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
3461,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3462,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3463,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
3464,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
3465,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3466,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
3467,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
3468,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
3469,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
3470,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
3471,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3472,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
3473,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3474,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
3475,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3476,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3477,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3478,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3479,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
3480,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3481,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3482,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
3483,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3484,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
3485,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
3486,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
3487,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3488,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3489,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
3490,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
