Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R
48,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
51,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
52,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
53,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
54,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
55,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
56,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
57,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
58,NULL,Bareland,Water,NULL,Water,Bareland,Built-up,Grassland
59,NULL,Bareland,Water,NULL,Water,Bareland,Built-up,Bareland
60,NULL,Bareland,Water,NULL,Water,Bareland,Built-up,Built-up
61,NULL,Bareland,Water,Water,Water,Water,Water,Water
62,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
63,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
64,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
65,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
66,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
74,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
75,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
76,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
77,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
78,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Forest
79,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Forest
80,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Bareland,Forest
81,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Built-up
82,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Forest
83,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,Built-up,Forest
84,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
85,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
86,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
88,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
89,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
90,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
91,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
92,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Forest
93,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Grassland
94,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Built-up
95,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Forest
96,NULL,Built-up,Water,NULL,Water,Bareland,Wetland,Grassland
97,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Grassland
98,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Bareland
99,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Forest
100,NULL,Built-up,Water,Water,Water,Built-up,Bareland,Forest
101,NULL,Built-up,Water,Water,Water,Built-up,Water,Water
102,NULL,Built-up,Water,Water,Water,Water,Built-up,Water
103,NULL,Built-up,Water,Water,Water,Water,Water,Forest
104,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
105,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
106,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
107,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
108,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Built-up
109,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Forest
110,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
111,NULL,Water,Wetland,Water,Wetland,Built-up,Water,Water
112,NULL,Water,Wetland,Water,Wetland,Water,NULL,Water
113,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
114,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
115,NULL,Water,Water,Water,Water,Built-up,Built-up,Grassland
116,NULL,Water,Water,Water,Water,Built-up,Water,Water
117,NULL,Water,Water,Water,Water,Water,NULL,Water
118,NULL,Water,Water,Water,Water,Water,Water,Water
119,NULL,Water,Water,Water,Water,Water,Water,Forest
120,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Water
121,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
122,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
123,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
124,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
125,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Built-up,Forest
126,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
127,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
128,NULL,Forest,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
129,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
130,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
131,NULL,Forest,Wetland,Water,Wetland,Water,NULL,Water
132,NULL,Forest,Wetland,Water,Wetland,Water,Water,Grassland
133,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
134,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
135,NULL,Forest,Water,Water,Water,Water,Water,Water
136,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
137,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
138,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
139,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
140,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
141,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
142,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
143,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
144,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
145,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Water,Water
146,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Water
147,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
148,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
149,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
150,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
151,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
152,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
153,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
154,Grassland,NULL,Water,NULL,Water,Water,Wetland,Grassland
155,Grassland,NULL,Water,Non_Water,Water,Bareland,Water,Water
156,Grassland,NULL,Water,Water,Water,Bareland,Water,Grassland
157,Grassland,NULL,Water,Water,Water,Bareland,Water,Water
158,Grassland,NULL,Water,Water,Water,Water,Wetland,Grassland
159,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
160,Grassland,NULL,Water,Water,Water,Water,Water,Water
161,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
162,Grassland,Water,Wetland,NULL,Wetland,Bareland,Water,Water
163,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Water
164,Grassland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
165,Grassland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
166,Grassland,Water,Wetland,Water,Wetland,Water,NULL,Grassland
167,Grassland,Water,Wetland,Water,Wetland,Water,NULL,Water
168,Grassland,Water,Wetland,Water,Wetland,Water,Water,Grassland
169,Grassland,Water,Wetland,Water,Wetland,Water,Water,Wetland
170,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
171,Grassland,Water,Water,NULL,Water,Water,Water,Water
172,Grassland,Water,Water,Non_Water,Water,Water,Water,Water
173,Grassland,Water,Water,Water,Water,Water,Water,Water
174,Grassland,Water,Forest,Water,Non_Wetland,Water,Water,Water
175,Grassland,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
176,Grassland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
177,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
178,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Water,Water
179,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
180,Cropland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
181,Cropland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
182,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
183,Cropland,NULL,Water,Water,Water,Bareland,Water,Grassland
184,Cropland,NULL,Water,Water,Water,Bareland,Water,Water
185,Cropland,NULL,Water,Water,Water,Water,Water,Water
186,Cropland,NULL,Forest,Water,Non_Wetland,Water,Wetland,Water
187,Cropland,Water,Wetland,NULL,Wetland,Water,Water,Water
188,Cropland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
189,Cropland,Water,Wetland,Water,Wetland,Water,NULL,Water
190,Cropland,Water,Wetland,Water,Wetland,Water,Water,Grassland
191,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
192,Cropland,Water,Water,Non_Water,Water,Water,Water,Water
193,Cropland,Water,Water,Water,Water,Bareland,Water,Grassland
194,Cropland,Water,Water,Water,Water,Water,Water,Water
195,Cropland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
196,Cropland,Water,Forest,Water,Non_Wetland,Water,Water,Water
197,Cropland,Forest,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
198,Wetland,Water,Water,Water,Water,Water,Water,Water
199,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
200,Bareland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
201,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Grassland,Grassland
202,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
203,Bareland,NULL,Water,NULL,Water,Bareland,Built-up,Grassland
204,Bareland,NULL,Water,NULL,Water,Bareland,Built-up,Bareland
205,Bareland,NULL,Water,NULL,Water,Bareland,Built-up,Built-up
206,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
207,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
208,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
209,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
210,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
211,Bareland,Bareland,Grassland,Water,Non_Wetland,Grassland,Water,Water
212,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Water,Water
213,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Water
214,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
215,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
216,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,NULL,Water
217,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Grassland
218,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
219,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
220,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
221,Bareland,Bareland,Wetland,Water,Wetland,Water,NULL,Water
222,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
223,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
224,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
225,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
226,Bareland,Bareland,Water,Non_Water,Water,Bareland,Water,Water
227,Bareland,Bareland,Water,Non_Water,Water,Water,NULL,Water
228,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
229,Bareland,Bareland,Water,Water,Water,Grassland,Water,Water
230,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
231,Bareland,Bareland,Water,Water,Water,Water,NULL,Water
232,Bareland,Bareland,Water,Water,Water,Water,Water,Water
233,Bareland,Bareland,Water,Water,Water,Water,Forest,Water
234,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
235,Bareland,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
236,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
237,Bareland,Built-up,Water,NULL,Water,Bareland,Built-up,Bareland
238,Bareland,Built-up,Water,NULL,Water,Bareland,Built-up,Built-up
239,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
240,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
241,Bareland,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
242,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
243,Bareland,Water,Wetland,NULL,Wetland,Bareland,NULL,Water
244,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Water
245,Bareland,Water,Wetland,NULL,Wetland,Water,NULL,Water
246,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
247,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
248,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
249,Bareland,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
250,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
251,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Water
252,Bareland,Water,Wetland,Water,Wetland,Bareland,NULL,Water
253,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
254,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
255,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
256,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Forest
257,Bareland,Water,Wetland,Water,Wetland,Water,NULL,Grassland
258,Bareland,Water,Wetland,Water,Wetland,Water,NULL,Water
259,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
260,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
261,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
262,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
263,Bareland,Water,Wetland,Water,Wetland,Water,Forest,Water
264,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
265,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
266,Bareland,Water,Bareland,Water,Non_Wetland,Water,NULL,Water
267,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
268,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water,NULL,Water
269,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
270,Bareland,Water,Water,NULL,Water,Water,NULL,Water
271,Bareland,Water,Water,NULL,Water,Water,Water,Water
272,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Water
273,Bareland,Water,Water,Non_Water,Water,Water,NULL,Water
274,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
275,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
276,Bareland,Water,Water,Water,Water,Grassland,Water,Water
277,Bareland,Water,Water,Water,Water,Bareland,NULL,Water
278,Bareland,Water,Water,Water,Water,Bareland,Water,Water
279,Bareland,Water,Water,Water,Water,Water,NULL,Water
280,Bareland,Water,Water,Water,Water,Water,NULL,Forest
281,Bareland,Water,Water,Water,Water,Water,Wetland,Water
282,Bareland,Water,Water,Water,Water,Water,Water,Grassland
283,Bareland,Water,Water,Water,Water,Water,Water,Water
284,Bareland,Water,Water,Water,Water,Water,Water,Forest
285,Bareland,Water,Water,Water,Water,Water,Forest,Water
286,Bareland,Water,Forest,NULL,Non_Wetland,Water,NULL,Water
287,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
288,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
289,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
290,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
291,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
292,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Forest
293,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
294,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
295,Bareland,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
296,Bareland,Forest,Grassland,Water,Non_Wetland,Bareland,Water,Water
297,Bareland,Forest,Wetland,NULL,Wetland,Bareland,NULL,Water
298,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Water
299,Bareland,Forest,Wetland,Non_Water,Wetland,Water,NULL,Water
300,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
301,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
302,Bareland,Forest,Wetland,Water,Wetland,Water,NULL,Water
303,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
304,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
305,Bareland,Forest,Wetland,Water,Wetland,Water,Forest,Water
306,Bareland,Forest,Water,NULL,Water,Bareland,Built-up,Bareland
307,Bareland,Forest,Water,Non_Water,Water,Water,Water,Water
308,Bareland,Forest,Water,Water,Water,Bareland,Water,Water
309,Bareland,Forest,Water,Water,Water,Water,NULL,Water
310,Bareland,Forest,Water,Water,Water,Water,Water,Water
311,Bareland,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
312,Bareland,Forest,Forest,Water,Non_Wetland,Bareland,Water,Water
313,Water,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
314,Water,NULL,Wetland,Water,Wetland,Bareland,Water,Water
315,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
316,Water,NULL,Wetland,Water,Wetland,Water,Forest,Grassland
317,Water,NULL,Water,Non_Water,Water,Bareland,Water,Water
318,Water,NULL,Water,Water,Water,Bareland,Water,Grassland
319,Water,NULL,Water,Water,Water,Bareland,Water,Water
320,Water,NULL,Water,Water,Water,Water,Water,Water
321,Water,NULL,Water,Water,Water,Water,Forest,Water
322,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
323,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
324,Water,Bareland,Wetland,Water,Wetland,Water,NULL,Water
325,Water,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
326,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
327,Water,Bareland,Wetland,Water,Wetland,Water,Water,Forest
328,Water,Bareland,Water,Non_Water,Water,Water,Water,Water
329,Water,Bareland,Water,Water,Water,Bareland,Water,Water
330,Water,Bareland,Water,Water,Water,Water,NULL,Water
331,Water,Bareland,Water,Water,Water,Water,Water,Water
332,Water,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
333,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Water
334,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
335,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
336,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
337,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
338,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
339,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
340,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
341,Water,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Water
342,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
343,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
344,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
345,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
346,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
347,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
348,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Water
349,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Forest
350,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
351,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
352,Water,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
353,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
354,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
355,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
356,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
357,Water,Water,NULL,Water,Non_Wetland,Forest,NULL,Water
358,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Water
359,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
360,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
361,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
362,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
363,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
364,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
365,Water,Water,Shrubland,Water,Non_Wetland,Water,NULL,Water
366,Water,Water,Shrubland,Water,Non_Wetland,Water,NULL,Forest
367,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
