Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R
4377,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
4378,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
4379,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
4380,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Bareland
4381,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Forest
4382,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
4383,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
4384,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4385,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4386,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4387,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
4388,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
4389,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Grassland
4390,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Water,Built-up
4391,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
4392,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Built-up
4393,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
4394,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
4395,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4396,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
4397,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
4398,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
4399,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
4400,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4401,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
4402,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
4403,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4404,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
4405,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
4406,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4407,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
4408,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
4409,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Cropland
4410,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Built-up
4411,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
4412,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
4413,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
4414,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
4415,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
4416,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
4417,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
4418,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Built-up,Grassland
4419,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Forest,Bareland
4420,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
4421,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
4422,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
4423,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
4424,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
4425,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
4426,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Bareland
4427,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Built-up
4428,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
4429,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
4430,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
4431,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
4432,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
4433,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Cropland
4434,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
4435,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
4436,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
4437,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,Water
4438,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,Forest
4439,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
4440,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
4441,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
4442,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Built-up
4443,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
4444,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
4445,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
4446,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Cropland
4447,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
4448,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
4449,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Built-up
4450,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,NULL
4451,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
4452,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Built-up
4453,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
4454,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
4455,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
4456,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
4457,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
4458,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Built-up
4459,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,NULL
4460,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Built-up
4461,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
4462,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
4463,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
4464,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
4465,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4466,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
4467,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
4468,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4469,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4470,NULL,Water,NULL,NULL,Non_Wetland,NULL,Shrubland,Water
4471,NULL,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4472,NULL,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
4473,NULL,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
4474,NULL,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4475,NULL,Water,NULL,NULL,Non_Wetland,NULL,Water,Grassland
4476,NULL,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
4477,NULL,Water,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
4478,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
4479,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
4480,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4481,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4482,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
4483,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
4484,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4485,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
4486,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
4487,NULL,Water,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4488,NULL,Water,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
4489,NULL,Water,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4490,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
4491,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4492,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4493,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4494,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
4495,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,Water
4496,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4497,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
4498,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
4499,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
4500,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
4501,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
4502,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
4503,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
4504,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
4505,NULL,Water,NULL,NULL,Non_Wetland,Water,NULL,NULL
4506,NULL,Water,NULL,NULL,Non_Wetland,Water,NULL,Grassland
4507,NULL,Water,NULL,NULL,Non_Wetland,Water,NULL,Water
4508,NULL,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
4509,NULL,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
4510,NULL,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Water
4511,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
4512,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Water
4513,NULL,Water,NULL,NULL,Non_Wetland,Water,Forest,Grassland
4514,NULL,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
4515,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
4516,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
4517,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
4518,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4519,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
4520,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
4521,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
4522,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
4523,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
4524,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
4525,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
4526,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
4527,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
4528,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
4529,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
4530,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
4531,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Water
4532,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
4533,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
4534,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
4535,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Cropland
4536,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4537,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4538,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4539,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Water
4540,NULL,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
4541,NULL,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
4542,NULL,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
4543,NULL,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Water
4544,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
4545,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
4546,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
4547,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Bareland,Water
4548,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,NULL
4549,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
4550,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
4551,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
4552,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
4553,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
4554,NULL,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
4555,NULL,Water,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
4556,NULL,Water,NULL,Water,Non_Wetland,NULL,Water,Grassland
4557,NULL,Water,NULL,Water,Non_Wetland,NULL,Water,Cropland
4558,NULL,Water,NULL,Water,Non_Wetland,NULL,Water,Bareland
4559,NULL,Water,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
4560,NULL,Water,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
4561,NULL,Water,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
4562,NULL,Water,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
4563,NULL,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
4564,NULL,Water,NULL,Water,Non_Wetland,Bareland,Water,Wetland
4565,NULL,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
4566,NULL,Water,NULL,Water,Non_Wetland,Water,NULL,Wetland
4567,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
4568,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Cropland
4569,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Water
4570,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4571,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4572,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
4573,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4574,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
4575,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4576,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
4577,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4578,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
4579,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
4580,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4581,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
4582,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
4583,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
4584,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
4585,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
4586,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
4587,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
4588,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
4589,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Water
4590,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
4591,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
4592,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
4593,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,Water
4594,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
4595,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
4596,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4597,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
4598,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4599,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4600,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
4601,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
4602,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4603,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4604,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4605,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
4606,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
4607,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4608,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
4609,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4610,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
4611,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
4612,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
4613,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
4614,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Water
4615,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
4616,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
4617,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
4618,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
4619,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
4620,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
4621,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
4622,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
4623,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
4624,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4625,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
4626,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4627,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4628,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
4629,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4630,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4631,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4632,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
4633,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4634,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
4635,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
4636,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
4637,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4638,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4639,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
4640,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
4641,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4642,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
4643,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4644,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
4645,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
4646,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
4647,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
4648,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
4649,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4650,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
4651,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
4652,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
4653,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
4654,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4655,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
4656,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
4657,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4658,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
4659,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
4660,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
4661,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
4662,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4663,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
4664,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
4665,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
4666,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
4667,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
4668,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
4669,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
4670,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
4671,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Water
4672,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
4673,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
4674,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
4675,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Water
4676,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
4677,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
4678,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
4679,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Bareland
4680,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Water
4681,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
4682,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
4683,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
4684,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
4685,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
4686,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
4687,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Bareland
4688,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
4689,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
4690,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
4691,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Cropland
4692,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
4693,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
4694,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
4695,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
4696,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
4697,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
4698,NULL,Water,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Water
4699,NULL,Water,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
4700,NULL,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
4701,NULL,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
4702,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
4703,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4704,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
4705,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
4706,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
4707,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
4708,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
