Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LXR_M_R
49,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
52,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
55,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
56,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
57,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
58,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
59,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
60,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
61,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
62,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
63,NULL,NULL,Water,Water,Water,NULL,NULL,Water
64,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
76,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
85,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
86,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
87,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
88,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
89,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
91,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
92,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
93,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
94,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
95,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
96,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
98,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
99,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
101,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
113,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
115,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
116,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
118,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
124,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
125,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
126,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
128,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
129,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
130,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
135,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
136,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
137,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
139,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
140,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
141,NULL,Built-up,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
142,NULL,Built-up,NULL,Water,Non_Wetland,Water,Grassland,Bareland
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
147,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
149,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
151,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
160,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
162,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
163,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
166,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
167,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
176,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
177,NULL,Built-up,Water,NULL,Water,Grassland,Water,Grassland
178,NULL,Built-up,Water,NULL,Water,Bareland,Grassland,Forest
179,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
185,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
186,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
187,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
188,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
189,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
190,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
191,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
192,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Bareland
193,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
194,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
198,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
199,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
201,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
204,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
205,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
206,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
207,NULL,Water,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
208,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
209,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
210,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
212,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
213,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
215,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
216,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
217,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
220,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
222,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
223,NULL,Water,Water,NULL,Water,NULL,NULL,Built-up
224,NULL,Water,Water,NULL,Water,NULL,NULL,Water
225,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
226,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
227,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
228,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
229,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
230,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
231,NULL,Water,Water,Water,Water,NULL,NULL,Water
232,NULL,Water,Water,Water,Water,NULL,NULL,Forest
233,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
234,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
235,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
236,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
239,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Bareland
240,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
241,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
243,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Bareland
244,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
247,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
248,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
249,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
250,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
251,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
252,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
255,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
256,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
257,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
259,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
260,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
261,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
263,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
264,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
265,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
266,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
267,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
268,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
269,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
270,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
271,NULL,Forest,Water,Water,Water,NULL,NULL,Water
272,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
273,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
275,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
277,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
280,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
281,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
282,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
283,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Forest
284,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
285,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
286,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
287,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
288,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
289,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
290,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
291,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
292,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
293,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
294,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
295,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
296,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
297,NULL,Forest,Forest,Water,Non_Wetland,Bareland,Water,Forest
298,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
299,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
300,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
301,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
302,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
303,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
304,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
305,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
307,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
309,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
310,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
312,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
314,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
315,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
317,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
319,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
320,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
321,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
322,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
323,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
324,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
325,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
326,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
327,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
328,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
330,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
331,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
333,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
334,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
335,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
336,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
337,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
338,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
339,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
340,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
341,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
