Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYB_M_R
50,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
56,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
58,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
59,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
60,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
61,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
62,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
63,NULL,NULL,Water,Water,Water,NULL,NULL,Water
64,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
68,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
72,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
73,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
74,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
75,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
76,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
78,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
79,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
80,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
81,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
83,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
85,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
86,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
87,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
88,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
89,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
91,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
92,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
93,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
94,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
96,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
98,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
99,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
100,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
104,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
113,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
114,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
116,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
118,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
119,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
120,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
124,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
126,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
130,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
131,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
132,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
133,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
134,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
135,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
136,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
137,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
140,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
142,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
144,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
147,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
148,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
149,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
150,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
151,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
152,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
153,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
154,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
155,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
156,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
157,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
158,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
159,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
160,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
161,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
162,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
163,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
166,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
167,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
170,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
172,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
174,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
176,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
179,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
180,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
182,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
185,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
186,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
187,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
188,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
189,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
190,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
191,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
192,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
193,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
194,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
195,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
197,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
199,NULL,Water,Water,NULL,Water,NULL,NULL,Water
200,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
201,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
202,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
203,NULL,Water,Water,Water,Water,NULL,NULL,Water
204,NULL,Water,Water,Water,Water,NULL,NULL,Forest
205,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
207,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
209,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
210,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
211,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
214,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
216,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
217,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
219,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
220,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
221,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
222,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
223,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
227,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
229,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
230,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
231,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
232,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
233,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
234,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
235,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
236,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
237,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
238,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
240,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
242,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Water
243,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
244,NULL,Forest,Water,Water,Water,NULL,NULL,Water
245,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
247,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
249,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
250,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
251,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
252,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
253,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
254,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
256,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
257,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
258,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
259,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
261,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
262,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
264,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
265,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
266,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
267,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
268,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
269,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
270,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
271,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
272,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
274,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
275,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
276,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
277,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
278,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
280,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
281,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
282,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
283,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
284,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
285,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
286,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
287,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
288,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
289,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
290,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
291,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
292,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
293,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
294,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
295,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
296,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
297,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
298,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
299,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
300,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
301,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
302,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
303,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
305,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
306,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
307,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
308,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
309,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
310,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
311,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
312,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
313,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
314,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
315,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
316,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
317,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
318,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
320,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
321,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
322,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
323,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
324,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
325,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
326,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
327,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
328,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
329,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
330,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
331,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
332,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Water
333,Grassland,Cropland,Water,Water,Water,NULL,NULL,Grassland
334,Grassland,Cropland,Water,Water,Water,NULL,NULL,Water
335,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
336,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
337,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
338,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
339,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
340,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
341,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
342,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
343,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
344,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
345,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
346,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
