Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNS_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
73,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
75,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
77,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
78,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
81,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Bareland
82,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
144,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
147,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
148,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
149,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
150,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
152,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
153,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
154,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
155,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
178,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
181,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
189,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
194,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
196,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
198,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
204,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Bareland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
215,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Built-up
219,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
220,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
221,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
222,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
223,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
224,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
225,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
226,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
227,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
229,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
230,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
232,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
233,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
234,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
237,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
240,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
241,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
242,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Built-up
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
245,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
248,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
251,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
253,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
255,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
257,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
261,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
262,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Bareland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Built-up
265,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
267,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Built-up
271,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
273,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Built-up
275,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
276,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
278,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
279,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
280,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
281,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
282,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
284,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Bareland
285,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Bareland
286,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
287,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
288,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
289,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
290,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
291,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
294,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
295,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
296,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
297,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
298,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
299,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
300,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
301,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
302,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
303,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
304,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
305,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
306,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
307,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
308,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
309,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
310,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
311,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
312,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
313,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
314,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
315,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
316,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
317,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
318,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
319,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
320,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
321,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
322,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Grassland
323,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
324,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
325,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
326,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
