Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LMD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LMD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LMD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LMD_M_R
3417,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
3418,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
3419,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3420,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3421,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3422,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
3423,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
3424,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
3425,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
3426,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
3427,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
3428,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
3429,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3430,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
3431,Grassland,Cropland,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
3432,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3433,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3434,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3435,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
3436,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
3437,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
3438,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3439,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3440,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3441,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
3442,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
3443,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
3444,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3445,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3446,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
3447,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
3448,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3449,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3450,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3451,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
3452,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
3453,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3454,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
3455,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3456,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3457,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3458,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3459,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3460,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3461,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3462,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3463,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3464,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
3465,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3466,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3467,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3468,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3469,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
3470,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3471,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3472,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3473,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3474,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3475,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3476,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3477,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3478,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3479,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3480,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
3481,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
3482,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3483,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
3484,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
3485,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
3486,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
3487,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
3488,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3489,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3490,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
3491,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3492,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3493,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
3494,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
3495,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
3496,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3497,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3498,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
3499,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3500,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
3501,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3502,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
3503,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3504,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3505,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3506,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
3507,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3508,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
3509,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3510,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
3511,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
3512,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
3513,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3514,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3515,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
3516,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
3517,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3518,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
3519,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3520,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
3521,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
3522,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
3523,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
3524,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3525,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3526,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
3527,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3528,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
3529,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
3530,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
3531,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
3532,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3533,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
3534,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
3535,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3536,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3537,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3538,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3539,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3540,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3541,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3542,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3543,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Cropland
3544,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
3545,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3546,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3547,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3548,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
3549,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
3550,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
3551,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3552,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3553,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3554,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3555,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3556,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3557,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3558,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3559,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3560,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3561,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3562,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
3563,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3564,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
3565,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
3566,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3567,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
3568,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
3569,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3570,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3571,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
3572,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
3573,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3574,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3575,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
3576,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3577,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3578,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
3579,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
3580,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
3581,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
3582,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
3583,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3584,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
3585,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3586,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3587,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
3588,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3589,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
3590,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
3591,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
3592,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3593,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
3594,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
3595,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
3596,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
3597,Grassland,Cropland,Cropland,Water,Non_Wetland,Shrubland,NULL,Grassland
3598,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
3599,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
3600,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3601,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
3602,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3603,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
3604,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
3605,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
3606,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
3607,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
3608,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
3609,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
3610,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3611,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
3612,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3613,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
3614,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
3615,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
3616,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
3617,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3618,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3619,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
3620,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3621,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3622,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
3623,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
3624,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
3625,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3626,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
3627,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3628,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
3629,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3630,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3631,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3632,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3633,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
3634,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3635,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
3636,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
3637,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
3638,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3639,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
3640,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,NULL
3641,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
3642,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3643,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3644,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3645,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3646,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3647,Grassland,Water,Water,NULL,Water,Wetland,Water,Water
3648,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3649,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
3650,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
3651,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
3652,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Forest,NULL
3653,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3654,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3655,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3656,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
3657,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
3658,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3659,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
3660,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3661,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3662,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3663,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3664,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
3665,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3666,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
3667,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3668,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3669,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3670,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3671,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3672,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
3673,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3674,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
3675,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
3676,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3677,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3678,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3679,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3680,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3681,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3682,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3683,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
3684,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
3685,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3686,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3687,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3688,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3689,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
3690,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3691,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
3692,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3693,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3694,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3695,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3696,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3697,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3698,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3699,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3700,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3701,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3702,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3703,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3704,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3705,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3706,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3707,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3708,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
3709,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
3710,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3711,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
3712,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
3713,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
3714,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
3715,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3716,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3717,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3718,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
3719,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
3720,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
3721,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3722,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3723,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3724,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3725,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3726,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
