Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWD_M_R
39,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
40,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
42,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
44,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
45,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
46,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
49,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
52,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
53,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
54,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
55,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
59,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
60,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
63,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
64,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
65,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
66,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
67,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
69,NULL,Water,Water,Water,Water,NULL,NULL,Water
70,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
75,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
76,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
77,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
78,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
82,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
83,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
84,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
85,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
86,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
87,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
88,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
89,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
90,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
91,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
92,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
93,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
94,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
95,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
96,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
97,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
98,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
99,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
100,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
101,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
102,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
103,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
104,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
105,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
106,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
107,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
108,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
109,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
110,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
111,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
112,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
114,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
115,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
116,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
117,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
118,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
119,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
120,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
121,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
122,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
123,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
124,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
125,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
126,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
127,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
128,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
129,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
130,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Water
131,Grassland,Water,Water,Water,Water,NULL,NULL,Water
132,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
133,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
134,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
135,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
136,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
137,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
138,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
140,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
141,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
142,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
143,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
144,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
145,Grassland,Forest,Water,NULL,Water,NULL,NULL,Grassland
146,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
147,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
148,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
149,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
150,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
151,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
152,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
153,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
154,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
155,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
156,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
157,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
158,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
159,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
160,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
161,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
162,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
163,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
164,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
166,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
167,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
168,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
169,Cropland,Water,Water,Water,Water,NULL,NULL,Water
170,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
171,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
172,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
173,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
174,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
175,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
176,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
177,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
179,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
180,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
181,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
182,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
183,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
184,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
185,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
186,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
187,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
188,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
189,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
190,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
191,Wetland,Water,Water,Water,Water,NULL,NULL,Water
192,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
193,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
194,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
195,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
196,Wetland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
197,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
198,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
199,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
200,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
201,Wetland,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
202,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
203,Wetland,Forest,Water,Water,Water,NULL,NULL,Water
204,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
205,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
206,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
207,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
208,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
209,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
210,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
211,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
212,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
213,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
214,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
215,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
216,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
217,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
218,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
219,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
220,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
221,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
222,Bareland,Bareland,Water,Water,Water,NULL,NULL,Forest
223,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
224,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
225,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
226,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
227,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
228,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
229,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
230,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
231,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
232,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
233,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
234,Bareland,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
235,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
236,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
237,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
238,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
239,Bareland,Water,Water,Water,Water,NULL,NULL,Water
240,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
241,Bareland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
242,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
243,Bareland,Forest,Water,Non_Water,Water,NULL,NULL,Water
244,Bareland,Forest,Water,Water,Water,NULL,NULL,Water
245,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
246,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
247,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
248,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
249,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
250,Water,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
251,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
252,Water,NULL,Water,Water,Water,NULL,NULL,Water
253,Water,NULL,Water,Water,Water,NULL,NULL,Forest
254,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
255,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
256,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
257,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
258,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
259,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
260,Water,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
261,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
262,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
263,Water,Wetland,Water,Water,Water,NULL,NULL,Water
264,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
265,Water,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,Water,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
267,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
268,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
269,Water,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
270,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
271,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
272,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
273,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
274,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
275,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
276,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
277,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
278,Water,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
279,Water,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
280,Water,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
281,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
282,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
283,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
284,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
285,Water,Bareland,Water,Water,Water,NULL,NULL,Grassland
286,Water,Bareland,Water,Water,Water,NULL,NULL,Water
287,Water,Bareland,Water,Water,Water,NULL,NULL,Forest
288,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
289,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
290,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
292,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
293,Water,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
294,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
295,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
296,Water,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
297,Water,Built-up,Water,NULL,Water,NULL,NULL,Forest
298,Water,Built-up,Water,Water,Water,NULL,NULL,Water
299,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
300,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
301,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
302,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
303,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
304,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
306,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
307,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
308,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
309,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
310,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
312,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
313,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
314,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
315,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
316,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
317,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
318,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
319,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
320,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
322,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
323,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
324,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
326,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
327,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
328,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
329,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
330,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
331,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
332,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
333,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
334,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
335,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
336,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
337,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
338,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
339,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
340,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
341,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,NULL
342,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
343,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
344,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
345,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
346,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
347,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
348,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
349,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
350,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
351,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
352,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
353,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
354,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
355,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
356,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
