Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R
914,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
915,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Cropland
916,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
917,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
918,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
919,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
920,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
921,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
922,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
923,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
924,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
925,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
926,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
927,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
928,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Cropland
929,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
930,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
931,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
932,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
933,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
934,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
935,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
936,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
937,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Wetland
938,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
939,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
940,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
941,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
942,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
943,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
944,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
945,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
946,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
947,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
948,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Bareland
949,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
950,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
951,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
952,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Cropland
953,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
954,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
955,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
956,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,NULL
957,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
958,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Bareland
959,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
960,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
961,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
962,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
963,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
964,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
965,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
966,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
967,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
968,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
969,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
970,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,NULL
971,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Wetland
972,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
973,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
974,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Water
975,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
976,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
977,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
978,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
979,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
980,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
981,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
982,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
983,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
984,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
985,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
986,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
987,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
988,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
989,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
990,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
991,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Bareland
992,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
993,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
994,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
995,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
996,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
997,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
998,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
999,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1000,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland,Grassland
1001,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,NULL
1002,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
1003,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,NULL
1004,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1005,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Wetland
1006,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1007,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1008,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1009,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,NULL
1010,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1011,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1012,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1013,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,NULL
1014,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,NULL
1015,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
1016,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Wetland
1017,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
1018,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,NULL
1019,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Wetland
1020,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
1021,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1022,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1023,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
1024,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1025,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Bareland,Forest
1026,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
1027,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1028,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,NULL
1029,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1030,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,NULL
1031,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1032,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Bareland
1033,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
1034,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Wetland
1035,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,NULL
1036,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1037,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1038,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
1039,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Grassland
1040,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Wetland
1041,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,NULL
1042,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1043,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
1044,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1045,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Wetland
1046,NULL,NULL,Forest,Water,Non_Wetland,Wetland,NULL,Wetland
1047,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,NULL
1048,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
1049,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Water,Grassland
1050,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Wetland
1051,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Water
1052,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Wetland
1053,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1054,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1055,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1056,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
1057,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1058,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1059,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
1060,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1061,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1062,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1063,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
1064,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
1065,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1066,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1067,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Cropland
1068,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1069,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
1070,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
1071,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
1072,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
1073,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
1074,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
1075,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1076,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
1077,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1078,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1079,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1080,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1081,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
1082,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
1083,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1084,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1085,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1086,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1087,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
1088,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1089,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1090,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1091,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
1092,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
1093,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Water
1094,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Forest
1095,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1096,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
1097,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1098,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1099,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1100,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1101,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
1102,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
1103,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
1104,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1105,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1106,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
1107,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1108,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
1109,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1110,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1111,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1112,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
1113,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
1114,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
1115,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
1116,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1117,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1118,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1119,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1120,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
1121,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
1122,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
1123,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
1124,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
1125,NULL,Cropland,NULL,NULL,Non_Wetland,Water,NULL,Water
1126,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Water,Wetland
1127,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Water,Water
1128,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
1129,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
1130,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1131,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
1132,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1133,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1134,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
1135,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
1136,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
1137,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
1138,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1139,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
1140,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1141,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
1142,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1143,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
1144,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1145,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
1146,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1147,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
1148,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1149,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1150,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1151,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1152,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,NULL,Water
1153,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
1154,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
1155,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
1156,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
1157,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,Water,Wetland
1158,NULL,Cropland,NULL,Water,Non_Wetland,Water,NULL,Forest
1159,NULL,Cropland,NULL,Water,Non_Wetland,Water,Water,Wetland
1160,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1161,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1162,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1163,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1164,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1165,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1166,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
1167,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1168,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
1169,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
1170,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1171,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
1172,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
1173,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
1174,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1175,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
1176,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
1177,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
1178,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1179,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
1180,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
1181,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
1182,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
1183,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
1184,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1185,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
1186,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
1187,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1188,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1189,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
1190,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
1191,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1192,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1193,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1194,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1195,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1196,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1197,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1198,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1199,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
1200,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1201,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1202,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1203,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1204,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1205,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1206,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
1207,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
1208,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1209,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
1210,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1211,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1212,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1213,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1214,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1215,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1216,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
1217,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
1218,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1219,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1220,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
1221,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1222,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
1223,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1224,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1225,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
1226,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1227,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
1228,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1229,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
1230,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1231,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1232,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1233,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1234,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1235,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1236,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1237,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1238,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1239,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1240,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
1241,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
