Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PPQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PPQ_M_R
227,NULL,Water,Water,NULL,Water,Wetland
228,NULL,Water,Water,NULL,Water,Built-up
229,NULL,Water,Water,NULL,Water,Water
230,NULL,Water,Water,NULL,Water,Forest
231,NULL,Water,Water,Non_Water,Water,Wetland
232,NULL,Water,Water,Non_Water,Water,Water
233,NULL,Water,Water,Non_Water,Water,Forest
234,NULL,Water,Water,Water,Water,Wetland
235,NULL,Water,Water,Water,Water,Water
236,NULL,Water,Water,Water,Water,Forest
237,NULL,Water,Forest,NULL,Non_Wetland,Grassland
238,NULL,Water,Forest,NULL,Non_Wetland,Water
239,NULL,Water,Forest,NULL,Non_Wetland,Forest
240,NULL,Water,Forest,Non_Water,Non_Wetland,Water
241,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
242,NULL,Water,Forest,Water,Non_Wetland,Grassland
243,NULL,Water,Forest,Water,Non_Wetland,Water
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
246,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
247,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
248,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
249,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
250,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water
251,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
252,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
253,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
254,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
255,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
256,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
257,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
258,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
259,NULL,Forest,Wetland,NULL,Wetland,NULL
260,NULL,Forest,Wetland,NULL,Wetland,Grassland
261,NULL,Forest,Wetland,NULL,Wetland,Wetland
262,NULL,Forest,Wetland,NULL,Wetland,Built-up
263,NULL,Forest,Wetland,NULL,Wetland,Forest
264,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
265,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
266,NULL,Forest,Wetland,Non_Water,Wetland,Forest
267,NULL,Forest,Wetland,Water,Wetland,Grassland
268,NULL,Forest,Wetland,Water,Wetland,Wetland
269,NULL,Forest,Wetland,Water,Wetland,Forest
270,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
271,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
272,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
273,NULL,Forest,Built-up,Water,Non_Wetland,Built-up
274,NULL,Forest,Water,NULL,Water,Grassland
275,NULL,Forest,Water,NULL,Water,Forest
276,NULL,Forest,Water,Water,Water,Grassland
277,NULL,Forest,Water,Water,Water,Wetland
278,NULL,Forest,Water,Water,Water,Water
279,NULL,Forest,Water,Water,Water,Forest
280,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
281,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
282,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
283,NULL,Forest,Forest,NULL,Non_Wetland,Water
284,NULL,Forest,Forest,NULL,Non_Wetland,Forest
285,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
286,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
287,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
288,NULL,Forest,Forest,Water,Non_Wetland,Grassland
289,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
290,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
291,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
292,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
293,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
294,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
295,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
296,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
297,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
298,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
299,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
300,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
301,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
302,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
303,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
304,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
305,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
306,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
307,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
308,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
309,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
310,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
311,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
312,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
313,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
314,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
315,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
316,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
317,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
318,Grassland,NULL,Wetland,NULL,Wetland,NULL
319,Grassland,NULL,Wetland,NULL,Wetland,Grassland
320,Grassland,NULL,Wetland,NULL,Wetland,Cropland
321,Grassland,NULL,Wetland,NULL,Wetland,Wetland
322,Grassland,NULL,Wetland,NULL,Wetland,Built-up
323,Grassland,NULL,Wetland,NULL,Wetland,Water
324,Grassland,NULL,Wetland,NULL,Wetland,Forest
325,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
326,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
327,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
328,Grassland,NULL,Wetland,Non_Water,Wetland,Water
329,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
330,Grassland,NULL,Wetland,Water,Wetland,NULL
331,Grassland,NULL,Wetland,Water,Wetland,Grassland
332,Grassland,NULL,Wetland,Water,Wetland,Cropland
333,Grassland,NULL,Wetland,Water,Wetland,Wetland
334,Grassland,NULL,Wetland,Water,Wetland,Water
335,Grassland,NULL,Wetland,Water,Wetland,Forest
336,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
337,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
338,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
339,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
340,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
341,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
342,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
343,Grassland,NULL,Water,NULL,Water,Grassland
344,Grassland,NULL,Water,NULL,Water,Wetland
345,Grassland,NULL,Water,Non_Water,Water,Grassland
346,Grassland,NULL,Water,Non_Water,Water,Wetland
347,Grassland,NULL,Water,Non_Water,Water,Water
348,Grassland,NULL,Water,Non_Water,Water,Forest
349,Grassland,NULL,Water,Water,Water,Grassland
350,Grassland,NULL,Water,Water,Water,Wetland
351,Grassland,NULL,Water,Water,Water,Water
352,Grassland,NULL,Water,Water,Water,Forest
353,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
354,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
355,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
356,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
357,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
358,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
359,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
360,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
361,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
362,Grassland,NULL,Forest,Water,Non_Wetland,Water
363,Grassland,NULL,Forest,Water,Non_Wetland,Forest
364,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
365,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
366,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
367,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
368,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
369,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
370,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
371,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland
372,Grassland,Cropland,Grassland,Water,Non_Wetland,Wetland
373,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
374,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
375,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
376,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
377,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
378,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
379,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
380,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
381,Grassland,Cropland,Wetland,NULL,Wetland,Forest
382,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
383,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
384,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
385,Grassland,Cropland,Wetland,Water,Wetland,Grassland
386,Grassland,Cropland,Wetland,Water,Wetland,Wetland
387,Grassland,Cropland,Wetland,Water,Wetland,Water
388,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
389,Grassland,Cropland,Water,NULL,Water,Grassland
390,Grassland,Cropland,Water,NULL,Water,Wetland
391,Grassland,Cropland,Water,Water,Water,Grassland
392,Grassland,Cropland,Water,Water,Water,Wetland
393,Grassland,Cropland,Water,Water,Water,Water
394,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
395,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
396,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
397,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
398,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
399,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
400,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
401,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
402,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
403,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
404,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
405,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
406,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
407,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
408,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
409,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
410,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
411,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
412,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
413,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest
414,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
415,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
416,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest
417,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland
418,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
419,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
420,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
421,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
422,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
423,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
424,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland
425,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
426,Grassland,Wetland,Cropland,Water,Non_Wetland,Forest
427,Grassland,Wetland,Wetland,NULL,Wetland,NULL
428,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
429,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
430,Grassland,Wetland,Wetland,NULL,Wetland,Water
431,Grassland,Wetland,Wetland,NULL,Wetland,Forest
432,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL
433,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
