Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBB_M_R
868,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
869,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
870,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
871,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
872,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
873,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
874,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
875,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
876,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
877,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
878,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
879,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
880,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
881,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
882,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
883,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
884,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
885,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Grassland
886,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,NULL
887,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
888,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
889,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
890,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
891,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
892,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
893,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
894,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
895,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
896,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
897,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
898,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
899,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
900,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
901,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,NULL
902,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
903,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
904,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
905,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
906,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
907,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
908,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
909,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
910,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
911,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
912,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Bareland,Grassland
913,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,NULL,Bareland
914,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
915,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
916,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
917,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Bareland
918,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Grassland
919,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,NULL
920,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
921,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
922,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
923,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
924,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
925,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
926,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
927,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
928,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
929,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
930,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
931,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,NULL
932,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
933,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Water
934,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
935,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,NULL
936,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
937,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
938,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
939,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
940,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
941,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
942,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
943,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
944,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
945,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
946,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
947,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
948,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
949,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
950,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
951,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
952,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
953,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
954,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
955,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,Built-up
956,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
957,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
958,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Cropland
959,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
960,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
961,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
962,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
963,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
964,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
965,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
966,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest,Bareland
967,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest,Built-up
968,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Forest
969,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Forest
970,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
971,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
972,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
973,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
974,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
975,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
976,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
977,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
978,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
979,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
980,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
981,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
982,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
983,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
984,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
985,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
986,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
987,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
988,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
989,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
990,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
991,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
992,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
993,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
994,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
995,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
996,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
997,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
998,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
999,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1000,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Cropland
1001,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Bareland
1002,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
1003,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
1004,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Bareland
1005,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
1006,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Cropland
1007,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Bareland
1008,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Built-up
1009,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Bareland,Built-up
1010,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Forest,Built-up
1011,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,NULL
1012,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
1013,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
1014,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Wetland
1015,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
1016,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
1017,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
1018,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
1019,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1020,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
1021,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1022,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1023,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Water
1024,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1025,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
1026,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1027,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1028,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
1029,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1030,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
1031,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1032,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1033,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1034,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
1035,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1036,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
1037,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
1038,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Water
1039,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
1040,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1041,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
1042,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1043,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1044,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
1045,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1046,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1047,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1048,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
1049,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1050,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
1051,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
1052,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1053,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
1054,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
1055,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Bareland
1056,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
1057,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1058,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
1059,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
1060,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1061,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
1062,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1063,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1064,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1065,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
1066,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
1067,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
1068,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
1069,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland,Bareland
1070,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Water,Bareland
1071,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,NULL,NULL
1072,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1073,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1074,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1075,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1076,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,NULL
1077,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1078,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Bareland
1079,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1080,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,NULL
1081,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
1082,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
1083,NULL,NULL,Water,NULL,Water,NULL,Wetland,Wetland
1084,NULL,NULL,Water,NULL,Water,NULL,Built-up,Cropland
1085,NULL,NULL,Water,NULL,Water,NULL,Water,Grassland
1086,NULL,NULL,Water,NULL,Water,NULL,Water,Forest
1087,NULL,NULL,Water,NULL,Water,Grassland,NULL,Wetland
1088,NULL,NULL,Water,NULL,Water,Grassland,NULL,Water
1089,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
1090,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Water
1091,NULL,NULL,Water,NULL,Water,Grassland,Wetland,NULL
1092,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Bareland
1093,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
1094,NULL,NULL,Water,NULL,Water,Grassland,Water,Wetland
1095,NULL,NULL,Water,NULL,Water,Grassland,Water,Water
1096,NULL,NULL,Water,NULL,Water,Wetland,NULL,NULL
1097,NULL,NULL,Water,NULL,Water,Wetland,NULL,Bareland
1098,NULL,NULL,Water,NULL,Water,Wetland,NULL,Forest
1099,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
1100,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
1101,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
1102,NULL,NULL,Water,NULL,Water,Wetland,Bareland,NULL
1103,NULL,NULL,Water,NULL,Water,Wetland,Bareland,Bareland
1104,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
1105,NULL,NULL,Water,NULL,Water,Wetland,Water,Bareland
1106,NULL,NULL,Water,NULL,Water,Wetland,Water,Water
1107,NULL,NULL,Water,NULL,Water,Wetland,Water,Forest
1108,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Bareland
1109,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Water
1110,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
1111,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Water
1112,NULL,NULL,Water,NULL,Water,Bareland,Water,Water
1113,NULL,NULL,Water,NULL,Water,Water,Water,Water
1114,NULL,NULL,Water,Non_Water,Water,NULL,Grassland,NULL
1115,NULL,NULL,Water,Non_Water,Water,NULL,Grassland,Forest
1116,NULL,NULL,Water,Non_Water,Water,NULL,Bareland,NULL
1117,NULL,NULL,Water,Non_Water,Water,NULL,Bareland,Bareland
1118,NULL,NULL,Water,Non_Water,Water,NULL,Water,Grassland
1119,NULL,NULL,Water,Non_Water,Water,Shrubland,Water,Forest
1120,NULL,NULL,Water,Non_Water,Water,Grassland,Water,NULL
1121,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Wetland
1122,NULL,NULL,Water,Non_Water,Water,Wetland,NULL,Wetland
1123,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
1124,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Water
1125,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
1126,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Bareland
1127,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Bareland
1128,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Water
1129,NULL,NULL,Water,Non_Water,Water,Water,NULL,Wetland
1130,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
1131,NULL,NULL,Water,Non_Water,Water,Water,Water,Forest
1132,NULL,NULL,Water,Water,Water,NULL,Grassland,Wetland
1133,NULL,NULL,Water,Water,Water,Grassland,NULL,Water
1134,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
1135,NULL,NULL,Water,Water,Water,Grassland,Water,Wetland
1136,NULL,NULL,Water,Water,Water,Wetland,NULL,Water
1137,NULL,NULL,Water,Water,Water,Wetland,Grassland,Wetland
1138,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1139,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
1140,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
1141,NULL,NULL,Water,Water,Water,Wetland,Water,Water
1142,NULL,NULL,Water,Water,Water,Water,NULL,Water
1143,NULL,NULL,Water,Water,Water,Water,Wetland,Water
1144,NULL,NULL,Water,Water,Water,Water,Water,Wetland
1145,NULL,NULL,Water,Water,Water,Water,Water,Water
1146,NULL,NULL,Water,Water,Water,Water,Water,Forest
1147,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1148,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1149,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1150,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
1153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
1155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
1156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Water
1157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
1158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
1159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
1161,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Wetland
1162,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Water
1163,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1164,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
1165,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1166,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
1167,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1168,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Water
1169,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
1170,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Grassland
1171,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Wetland
1172,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
1173,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
1174,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1175,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
1176,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Bareland
1177,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1178,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
1179,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
1180,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
1181,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1182,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1183,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1184,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1185,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1186,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
1187,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1188,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1189,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1190,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
1191,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1192,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
1193,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
1194,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1195,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1196,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
1197,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1198,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1199,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
1200,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Water
1201,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1202,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
1203,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1204,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1205,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Wetland
1206,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Water
1207,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1208,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1209,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1210,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1211,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
1212,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
