Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NFD_M_R
349,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
350,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
351,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
352,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
353,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
354,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
355,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
356,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
357,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
358,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
359,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
360,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
361,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
362,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
363,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
364,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
365,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
366,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
367,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
368,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
369,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
370,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
371,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
372,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
373,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
374,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
375,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
376,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
377,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
378,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
379,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
380,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
381,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
382,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
383,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
384,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
385,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
386,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
387,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
388,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
389,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
390,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
391,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
392,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
393,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
394,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
395,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
396,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
397,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
398,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
399,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
400,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
401,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
402,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
403,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
404,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
405,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
406,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
407,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
408,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
409,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
410,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
411,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
412,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
413,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
414,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
415,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
416,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
417,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
418,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
419,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
420,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
421,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
422,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
423,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
424,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
425,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
426,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
427,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
428,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
429,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
430,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
431,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
432,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
433,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
434,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
435,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
436,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
437,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
438,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
439,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
440,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
441,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
442,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
443,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
444,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
445,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
446,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
447,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
448,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
449,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
450,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
451,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
452,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
453,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
454,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
455,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
456,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
457,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
458,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
459,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
460,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
461,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
462,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
463,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
464,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
465,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
466,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
467,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
468,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
469,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
470,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
471,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
472,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
473,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
474,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
475,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
476,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
477,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
478,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
479,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
480,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
481,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
482,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
483,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
484,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
485,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
486,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
487,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
488,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
489,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
490,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
491,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
492,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
493,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
494,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
495,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
496,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
497,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
498,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
499,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
500,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
501,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
502,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
503,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
504,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
505,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
506,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
507,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
508,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
509,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
510,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
511,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
512,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
513,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
514,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
515,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
516,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
517,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
518,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
519,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
520,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
521,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
522,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
523,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
524,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
525,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
526,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
527,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
528,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
529,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
530,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
531,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
532,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
533,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
534,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
535,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
536,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
537,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
538,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
539,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
540,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
541,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
542,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
543,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
544,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
545,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
546,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
547,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
548,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
549,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
550,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
551,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
552,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
553,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
554,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
555,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
556,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
557,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
558,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
559,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
560,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
561,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
562,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
563,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
564,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
565,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
566,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
567,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
568,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
569,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
570,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
571,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
572,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
573,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
574,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Wetland
575,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
576,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Forest
577,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
578,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
579,Wetland,Water,Water,Water,Water,NULL,NULL,Water
580,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
581,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
582,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
583,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
584,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
585,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
586,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
587,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
588,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
589,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
590,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
591,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
592,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
593,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
594,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
595,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
596,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
597,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
598,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
599,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
600,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
601,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
602,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
603,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
604,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
605,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
606,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
607,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
608,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
609,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
610,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
611,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
612,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
613,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
614,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
615,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
616,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
617,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
618,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
619,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
620,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
621,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
622,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
623,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
624,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
625,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
626,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
627,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
628,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
629,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
630,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
631,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
632,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
633,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
634,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
635,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
636,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
637,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
638,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
639,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
640,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
641,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
642,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
643,Bareland,NULL,Water,Water,Water,NULL,NULL,Wetland
644,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
645,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
646,Bareland,NULL,Water,Water,Water,NULL,NULL,Forest
647,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
648,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
649,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
650,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
651,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
652,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
653,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
654,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
655,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
656,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
657,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
658,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
659,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
660,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
661,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
662,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
663,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
664,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
665,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
666,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
667,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
668,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
669,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
670,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
671,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
672,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
673,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
674,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
675,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
676,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
677,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
678,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
679,Bareland,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
680,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
681,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
682,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
683,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Water
684,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
685,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
686,Bareland,Wetland,Water,Water,Water,NULL,NULL,Grassland
687,Bareland,Wetland,Water,Water,Water,NULL,NULL,Wetland
688,Bareland,Wetland,Water,Water,Water,NULL,NULL,Bareland
689,Bareland,Wetland,Water,Water,Water,NULL,NULL,Water
690,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
691,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
692,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
693,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
694,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
695,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
696,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
697,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
698,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
699,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
