Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMQ_M_R
4618,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
4619,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
4620,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
4621,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
4622,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4623,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4624,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
4625,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4626,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
4627,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4628,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4629,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
4630,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4631,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4632,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4633,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4634,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
4635,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4636,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
4637,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
4638,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
4639,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
4640,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
4641,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
4642,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4643,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4644,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
4645,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
4646,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
4647,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
4648,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
4649,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
4650,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Water,Cropland
4651,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
4652,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
4653,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
4654,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
4655,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
4656,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
4657,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
4658,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4659,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
4660,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
4661,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
4662,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4663,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4664,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
4665,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4666,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
4667,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4668,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
4669,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
4670,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
4671,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
4672,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
4673,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
4674,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
4675,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
4676,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4677,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
4678,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
4679,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4680,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
4681,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
4682,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,NULL,Water
4683,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
4684,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
4685,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
4686,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4687,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
4688,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
4689,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
4690,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
4691,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4692,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
4693,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4694,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
4695,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4696,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4697,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4698,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
4699,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
4700,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Forest
4701,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
4702,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
4703,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4704,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4705,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4706,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
4707,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Built-up,Forest
4708,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4709,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
4710,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
4711,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
4712,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
4713,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
4714,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
4715,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
4716,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
4717,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
4718,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
4719,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
4720,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
4721,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4722,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4723,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
4724,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
4725,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4726,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4727,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
4728,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
4729,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4730,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4731,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4732,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4733,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
4734,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
4735,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4736,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
4737,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4738,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
4739,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4740,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4741,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
4742,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
4743,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
4744,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
4745,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4746,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
4747,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
4748,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
4749,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
4750,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
4751,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
4752,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
4753,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
4754,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
4755,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
4756,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Water,Cropland
4757,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
4758,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Water,Built-up
4759,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Water,Water
4760,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Water,Forest
4761,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
4762,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
4763,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
4764,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4765,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
4766,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
4767,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
4768,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4769,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
4770,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4771,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4772,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
4773,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4774,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4775,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
4776,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4777,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4778,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4779,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
4780,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
4781,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4782,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
4783,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
4784,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
4785,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
4786,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
4787,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4788,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
4789,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
4790,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
4791,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
4792,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
4793,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Wetland
4794,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
4795,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
4796,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Water
4797,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
4798,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
4799,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4800,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4801,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Wetland
4802,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
4803,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
4804,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Water
4805,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
4806,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
4807,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
4808,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
4809,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
4810,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
4811,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
4812,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
4813,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Built-up
4814,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Water
4815,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Forest
4816,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Water,Grassland
4817,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Water,Cropland
4818,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
4819,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
4820,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
4821,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
4822,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
4823,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4824,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
4825,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4826,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
4827,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
4828,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
4829,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4830,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
4831,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
4832,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
4833,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
4834,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
4835,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Water,Built-up
4836,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
4837,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
4838,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Bareland
4839,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
4840,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
4841,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4842,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
4843,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
4844,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
4845,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
4846,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
4847,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4848,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
4849,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
4850,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
4851,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
4852,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Forest,Cropland
4853,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Water
4854,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Forest
4855,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,Forest,Water
4856,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
4857,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
4858,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
4859,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
4860,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
4861,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Bareland
4862,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
4863,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Built-up,Grassland
4864,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
4865,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
4866,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Bareland
4867,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
4868,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4869,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
4870,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
4871,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
4872,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
4873,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4874,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
4875,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Water
4876,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Forest
4877,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4878,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
4879,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4880,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
4881,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
4882,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4883,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
4884,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Water
4885,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4886,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
4887,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Cropland
4888,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
4889,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
4890,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
4891,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
4892,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Built-up
4893,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Water
4894,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Forest
4895,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
4896,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
4897,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Forest
4898,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
4899,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Wetland,Cropland
4900,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Built-up,Cropland
4901,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4902,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Forest
4903,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4904,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4905,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Water,Forest,Forest
4906,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
4907,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
4908,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
4909,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
4910,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland,Cropland
4911,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland,Water
4912,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,Water,Grassland
4913,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,Water,Water
4914,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
4915,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,NULL,Cropland
4916,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
4917,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,Grassland,Cropland
4918,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
4919,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland,NULL,Grassland
4920,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland,NULL,Cropland
4921,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland,NULL,Bareland
4922,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland,Grassland,Grassland
4923,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland,Grassland,Cropland
4924,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland,Grassland,Forest
