Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MRQ_M_R
4813,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
4814,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
4815,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
4816,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
4817,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
4818,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
4819,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
4820,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
4821,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
4822,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
4823,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
4824,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
4825,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
4826,Grassland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
4827,Grassland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
4828,Grassland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
4829,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4830,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4831,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
4832,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4833,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
4834,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
4835,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
4836,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Cropland
4837,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4838,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
4839,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
4840,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4841,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
4842,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
4843,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Built-up
4844,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
4845,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Wetland
4846,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
4847,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
4848,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
4849,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
4850,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
4851,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
4852,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Cropland
4853,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
4854,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
4855,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
4856,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
4857,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Cropland
4858,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
4859,Grassland,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
4860,Grassland,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
4861,Grassland,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
4862,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4863,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4864,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4865,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
4866,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4867,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
4868,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
4869,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4870,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
4871,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
4872,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
4873,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
4874,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4875,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4876,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4877,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
4878,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4879,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4880,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4881,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4882,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4883,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
4884,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4885,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
4886,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
4887,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
4888,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
4889,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
4890,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4891,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4892,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4893,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4894,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4895,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4896,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
4897,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
4898,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4899,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4900,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
4901,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4902,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4903,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4904,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
4905,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4906,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4907,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
4908,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4909,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4910,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
4911,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4912,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4913,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
4914,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
4915,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
4916,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
4917,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4918,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
4919,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
4920,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4921,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
4922,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
4923,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4924,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
4925,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
4926,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
4927,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
4928,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
4929,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
4930,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Cropland
4931,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
4932,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
4933,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4934,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4935,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
4936,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4937,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
4938,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4939,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
4940,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4941,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
4942,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
4943,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
4944,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
4945,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4946,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
4947,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4948,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4949,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
4950,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4951,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
4952,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
4953,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
4954,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
4955,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Forest
4956,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
4957,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
4958,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
4959,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Cropland
4960,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
4961,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
4962,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Built-up
4963,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Shrubland,Grassland
4964,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
4965,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
4966,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
4967,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
4968,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
4969,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
4970,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
4971,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
4972,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
4973,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
4974,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
4975,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
4976,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4977,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Cropland
4978,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
4979,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
4980,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
4981,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
4982,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
4983,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4984,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4985,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4986,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
4987,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
4988,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4989,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4990,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4991,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4992,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4993,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
4994,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
4995,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
4996,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
4997,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
4998,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
4999,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
5000,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5001,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5002,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5003,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
5004,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
5005,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5006,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5007,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
5008,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
5009,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
5010,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
5011,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
5012,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
5013,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
5014,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
5015,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
5016,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
5017,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
5018,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
5019,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
5020,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
5021,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
5022,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
5023,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
5024,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
5025,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
5026,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
5027,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5028,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5029,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
5030,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
5031,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
5032,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5033,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
5034,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
5035,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
5036,Grassland,NULL,Grassland,Water,Non_Wetland,Shrubland,Shrubland,Forest
5037,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
5038,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
5039,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
5040,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
5041,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
5042,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5043,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
5044,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
5045,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
5046,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
5047,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
5048,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
5049,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
5050,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
5051,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
5052,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5053,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
5054,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5055,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5056,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5057,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5058,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
5059,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5060,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5061,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5062,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
5063,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
5064,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
5065,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
5066,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5067,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5068,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5069,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
5070,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5071,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5072,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
5073,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
5074,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
5075,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
5076,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
5077,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
5078,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5079,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
5080,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
5081,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
5082,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
5083,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
5084,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
5085,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
5086,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Cropland
5087,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
5088,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
5089,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
5090,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
5091,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
5092,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Cropland
5093,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
5094,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
5095,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
5096,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
5097,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
5098,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
5099,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5100,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
5101,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
5102,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5103,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5104,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
5105,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
5106,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
5107,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
5108,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
5109,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5110,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
5111,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
5112,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
5113,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
5114,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
5115,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
5116,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5117,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
5118,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
5119,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
5120,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
5121,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
5122,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
5123,Grassland,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Grassland
