Value,AFRICA_2024_DynamicWorld_2024_37PHT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHT_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHT_M_R,AFRICA_2024_GSW_Yearly_2021_37PHT_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHT_M_R,AFRICA_2024_WorldCover_2021_37PHT_M_R
29,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
30,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
31,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
32,Grassland,NULL,Wetland,NULL,Wetland,Wetland
33,Grassland,NULL,Wetland,Water,Wetland,Wetland
34,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
35,Grassland,Forest,Wetland,NULL,Wetland,Wetland
36,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
37,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
38,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
39,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
40,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
41,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
42,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
43,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
44,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
45,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
46,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
47,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
48,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
49,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
50,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
51,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
52,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
53,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
54,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
55,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
56,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
57,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
58,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
59,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
60,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
61,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
62,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
63,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
64,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
65,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
66,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
67,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
68,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
69,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
70,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
71,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
72,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
73,Wetland,NULL,Cropland,NULL,Non_Wetland,Water
74,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
75,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
76,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
77,Wetland,NULL,Cropland,Water,Non_Wetland,NULL
78,Wetland,NULL,Cropland,Water,Non_Wetland,Wetland
79,Wetland,NULL,Wetland,NULL,NULL,Wetland
80,Wetland,NULL,Wetland,NULL,Wetland,NULL
81,Wetland,NULL,Wetland,NULL,Wetland,Grassland
82,Wetland,NULL,Wetland,NULL,Wetland,Cropland
83,Wetland,NULL,Wetland,NULL,Wetland,Wetland
84,Wetland,NULL,Wetland,NULL,Wetland,Bareland
85,Wetland,NULL,Wetland,NULL,Wetland,Water
86,Wetland,NULL,Wetland,NULL,Wetland,Forest
87,Wetland,NULL,Wetland,Non_Water,NULL,Wetland
88,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
89,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
90,Wetland,NULL,Wetland,Non_Water,Wetland,Water
91,Wetland,NULL,Wetland,Water,NULL,Wetland
92,Wetland,NULL,Wetland,Water,NULL,Water
93,Wetland,NULL,Wetland,Water,Wetland,NULL
94,Wetland,NULL,Wetland,Water,Wetland,Cropland
95,Wetland,NULL,Wetland,Water,Wetland,Wetland
96,Wetland,NULL,Wetland,Water,Wetland,Bareland
97,Wetland,NULL,Wetland,Water,Wetland,Water
98,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
99,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
100,Wetland,NULL,Bareland,NULL,Non_Wetland,Cropland
101,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
102,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
103,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
104,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
105,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
106,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
107,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water
108,Wetland,NULL,Bareland,Water,Non_Wetland,Cropland
109,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
110,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
111,Wetland,NULL,Bareland,Water,Non_Wetland,Water
112,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
113,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
114,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
115,Wetland,NULL,Water,Water,NULL,Wetland
116,Wetland,Cropland,Wetland,NULL,Wetland,Wetland
117,Wetland,Wetland,Grassland,NULL,Non_Wetland,Cropland
118,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
119,Wetland,Wetland,Wetland,NULL,Wetland,NULL
120,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
121,Wetland,Wetland,Wetland,NULL,Wetland,Cropland
122,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
123,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
124,Wetland,Wetland,Wetland,NULL,Wetland,Water
125,Wetland,Wetland,Wetland,Non_Water,Wetland,Cropland
126,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
127,Wetland,Wetland,Wetland,Non_Water,Wetland,Bareland
128,Wetland,Wetland,Wetland,Water,NULL,Water
129,Wetland,Wetland,Wetland,Water,Wetland,NULL
130,Wetland,Wetland,Wetland,Water,Wetland,Cropland
131,Wetland,Wetland,Wetland,Water,Wetland,Wetland
132,Wetland,Wetland,Wetland,Water,Wetland,Bareland
133,Wetland,Wetland,Wetland,Water,Wetland,Water
134,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
135,Wetland,Wetland,Bareland,NULL,Non_Wetland,Cropland
136,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
137,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland
138,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
139,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland
140,Wetland,Wetland,Bareland,Water,Non_Wetland,Bareland
141,Wetland,Bareland,Wetland,NULL,Wetland,Cropland
142,Wetland,Bareland,Wetland,NULL,Wetland,Wetland
143,Wetland,Bareland,Wetland,NULL,Wetland,Bareland
144,Wetland,Bareland,Wetland,NULL,Wetland,Water
145,Wetland,Bareland,Wetland,Water,Wetland,Bareland
146,Wetland,Bareland,Bareland,NULL,Non_Wetland,Cropland
147,Wetland,Bareland,Bareland,NULL,Non_Wetland,Wetland
148,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland
149,Wetland,Bareland,Bareland,Water,Non_Wetland,Wetland
150,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland
151,Wetland,Built-up,Cropland,NULL,Non_Wetland,Wetland
152,Wetland,Built-up,Wetland,NULL,Wetland,Wetland
153,Wetland,Built-up,Wetland,Water,Wetland,Wetland
154,Wetland,Built-up,Bareland,NULL,Non_Wetland,Bareland
155,Wetland,Water,Cropland,NULL,Non_Wetland,NULL
156,Wetland,Water,Cropland,NULL,Non_Wetland,Wetland
157,Wetland,Water,Cropland,NULL,Non_Wetland,Water
158,Wetland,Water,Cropland,NULL,Non_Wetland,Forest
159,Wetland,Water,Cropland,Non_Water,Non_Wetland,NULL
160,Wetland,Water,Cropland,Water,Non_Wetland,Wetland
161,Wetland,Water,Wetland,NULL,NULL,Wetland
162,Wetland,Water,Wetland,NULL,Wetland,NULL
163,Wetland,Water,Wetland,NULL,Wetland,Grassland
164,Wetland,Water,Wetland,NULL,Wetland,Cropland
165,Wetland,Water,Wetland,NULL,Wetland,Wetland
166,Wetland,Water,Wetland,NULL,Wetland,Bareland
167,Wetland,Water,Wetland,NULL,Wetland,Water
168,Wetland,Water,Wetland,NULL,Wetland,Forest
169,Wetland,Water,Wetland,Non_Water,NULL,Wetland
170,Wetland,Water,Wetland,Non_Water,Wetland,NULL
171,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
172,Wetland,Water,Wetland,Non_Water,Wetland,Cropland
173,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
174,Wetland,Water,Wetland,Non_Water,Wetland,Bareland
175,Wetland,Water,Wetland,Non_Water,Wetland,Water
176,Wetland,Water,Wetland,Non_Water,Wetland,Forest
177,Wetland,Water,Wetland,Water,NULL,Wetland
178,Wetland,Water,Wetland,Water,NULL,Water
179,Wetland,Water,Wetland,Water,Wetland,NULL
180,Wetland,Water,Wetland,Water,Wetland,Grassland
181,Wetland,Water,Wetland,Water,Wetland,Cropland
182,Wetland,Water,Wetland,Water,Wetland,Wetland
183,Wetland,Water,Wetland,Water,Wetland,Bareland
184,Wetland,Water,Wetland,Water,Wetland,Water
185,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
186,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
187,Wetland,Water,Bareland,NULL,Non_Wetland,Cropland
188,Wetland,Water,Bareland,NULL,Non_Wetland,Wetland
189,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland
190,Wetland,Water,Bareland,NULL,Non_Wetland,Water
191,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL
192,Wetland,Water,Bareland,Non_Water,Non_Wetland,Cropland
193,Wetland,Water,Bareland,Non_Water,Non_Wetland,Wetland
194,Wetland,Water,Bareland,Non_Water,Non_Wetland,Water
195,Wetland,Water,Bareland,Water,Non_Wetland,NULL
196,Wetland,Water,Bareland,Water,Non_Wetland,Grassland
197,Wetland,Water,Bareland,Water,Non_Wetland,Cropland
198,Wetland,Water,Bareland,Water,Non_Wetland,Wetland
199,Wetland,Water,Bareland,Water,Non_Wetland,Bareland
200,Wetland,Water,Built-up,NULL,Non_Wetland,Wetland
201,Wetland,Water,Water,Non_Water,NULL,Wetland
202,Wetland,Water,Water,Water,NULL,Wetland
203,Wetland,Water,Water,Water,NULL,Water
204,Wetland,Forest,Cropland,NULL,Non_Wetland,Wetland
205,Wetland,Forest,Wetland,NULL,Wetland,NULL
206,Wetland,Forest,Wetland,NULL,Wetland,Wetland
207,Wetland,Forest,Wetland,NULL,Wetland,Bareland
208,Wetland,Forest,Wetland,NULL,Wetland,Forest
209,Wetland,Forest,Wetland,Non_Water,NULL,Cropland
210,Wetland,Forest,Wetland,Non_Water,NULL,Wetland
211,Wetland,Forest,Wetland,Non_Water,NULL,Bareland
212,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
213,Wetland,Forest,Wetland,Non_Water,Wetland,Bareland
214,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
215,Wetland,Forest,Wetland,Water,NULL,Wetland
216,Wetland,Forest,Wetland,Water,NULL,Bareland
217,Wetland,Forest,Wetland,Water,Wetland,Cropland
218,Wetland,Forest,Wetland,Water,Wetland,Wetland
219,Wetland,Forest,Wetland,Water,Wetland,Water
220,Wetland,Forest,Bareland,NULL,Non_Wetland,Wetland
221,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
222,Wetland,Forest,Water,Water,NULL,Wetland
223,Wetland,Forest,Water,Water,NULL,Bareland
224,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
225,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
226,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
227,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
228,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
229,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
230,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
231,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
232,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
233,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
234,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
235,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
236,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
237,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
238,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
239,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
240,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
241,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
242,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
243,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
244,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
245,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
246,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
247,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
248,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
249,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
250,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
251,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
252,Bareland,NULL,Cropland,Water,Non_Wetland,Wetland
253,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
254,Bareland,NULL,Cropland,Water,Non_Wetland,Water
255,Bareland,NULL,Wetland,NULL,NULL,NULL
256,Bareland,NULL,Wetland,NULL,NULL,Wetland
257,Bareland,NULL,Wetland,NULL,NULL,Bareland
258,Bareland,NULL,Wetland,NULL,Wetland,NULL
259,Bareland,NULL,Wetland,NULL,Wetland,Grassland
260,Bareland,NULL,Wetland,NULL,Wetland,Cropland
261,Bareland,NULL,Wetland,NULL,Wetland,Wetland
262,Bareland,NULL,Wetland,NULL,Wetland,Bareland
263,Bareland,NULL,Wetland,NULL,Wetland,Water
264,Bareland,NULL,Wetland,Non_Water,NULL,Wetland
265,Bareland,NULL,Wetland,Non_Water,Wetland,NULL
266,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland
267,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
268,Bareland,NULL,Wetland,Water,NULL,Wetland
269,Bareland,NULL,Wetland,Water,NULL,Bareland
270,Bareland,NULL,Wetland,Water,NULL,Water
271,Bareland,NULL,Wetland,Water,Wetland,NULL
272,Bareland,NULL,Wetland,Water,Wetland,Grassland
273,Bareland,NULL,Wetland,Water,Wetland,Cropland
274,Bareland,NULL,Wetland,Water,Wetland,Wetland
275,Bareland,NULL,Wetland,Water,Wetland,Bareland
276,Bareland,NULL,Wetland,Water,Wetland,Water
277,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
278,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
279,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
280,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
281,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
282,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
283,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
284,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
285,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
286,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
287,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
288,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
289,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
290,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
291,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
292,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
293,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
294,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
295,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
296,Bareland,NULL,Bareland,Water,Non_Wetland,Water
297,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
298,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland
299,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
300,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
301,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
302,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
303,Bareland,NULL,Water,Water,NULL,Bareland
304,Bareland,NULL,Water,Water,Water,Bareland
305,Bareland,NULL,Water,Water,Water,Water
306,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
307,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland
308,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
309,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
310,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
311,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
312,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
313,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
314,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
315,Bareland,Cropland,Cropland,NULL,Non_Wetland,Wetland
316,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
317,Bareland,Cropland,Cropland,NULL,Non_Wetland,Built-up
318,Bareland,Cropland,Wetland,NULL,Wetland,Wetland
319,Bareland,Cropland,Wetland,NULL,Wetland,Bareland
320,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
321,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
322,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
323,Bareland,Cropland,Bareland,NULL,Non_Wetland,Wetland
324,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
325,Bareland,Cropland,Bareland,Water,Non_Wetland,Wetland
326,Bareland,Cropland,Built-up,NULL,Non_Wetland,Cropland
327,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
328,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL
329,Bareland,Wetland,Cropland,NULL,Non_Wetland,Bareland
330,Bareland,Wetland,Wetland,NULL,Wetland,Cropland
331,Bareland,Wetland,Wetland,NULL,Wetland,Wetland
332,Bareland,Wetland,Wetland,NULL,Wetland,Bareland
333,Bareland,Wetland,Wetland,Water,Wetland,Wetland
334,Bareland,Wetland,Wetland,Water,Wetland,Bareland
335,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL
336,Bareland,Wetland,Bareland,NULL,Non_Wetland,Grassland
337,Bareland,Wetland,Bareland,NULL,Non_Wetland,Cropland
338,Bareland,Wetland,Bareland,NULL,Non_Wetland,Wetland
339,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland
340,Bareland,Wetland,Bareland,Water,Non_Wetland,Bareland
341,Bareland,Bareland,NULL,NULL,Non_Wetland,Cropland
342,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
343,Bareland,Bareland,NULL,NULL,Non_Wetland,Built-up
344,Bareland,Bareland,NULL,NULL,Non_Wetland,Water
345,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Bareland
346,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland
347,Bareland,Bareland,NULL,Water,Non_Wetland,Water
348,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
349,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
350,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Built-up
351,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
352,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
353,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
354,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
355,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
356,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
357,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
358,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
359,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
360,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
361,Bareland,Bareland,Cropland,NULL,Non_Wetland,Wetland
362,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
363,Bareland,Bareland,Cropland,NULL,Non_Wetland,Built-up
364,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water
365,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL
366,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
367,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water
368,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL
369,Bareland,Bareland,Cropland,Water,Non_Wetland,Grassland
370,Bareland,Bareland,Cropland,Water,Non_Wetland,Cropland
371,Bareland,Bareland,Cropland,Water,Non_Wetland,Wetland
372,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
373,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
374,Bareland,Bareland,Wetland,NULL,NULL,Wetland
375,Bareland,Bareland,Wetland,NULL,NULL,Bareland
376,Bareland,Bareland,Wetland,NULL,NULL,Water
377,Bareland,Bareland,Wetland,NULL,Wetland,NULL
378,Bareland,Bareland,Wetland,NULL,Wetland,Grassland
379,Bareland,Bareland,Wetland,NULL,Wetland,Cropland
380,Bareland,Bareland,Wetland,NULL,Wetland,Wetland
381,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
382,Bareland,Bareland,Wetland,NULL,Wetland,Water
383,Bareland,Bareland,Wetland,NULL,Wetland,Forest
384,Bareland,Bareland,Wetland,Non_Water,NULL,Bareland
385,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL
386,Bareland,Bareland,Wetland,Non_Water,Wetland,Wetland
387,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
388,Bareland,Bareland,Wetland,Water,NULL,Cropland
389,Bareland,Bareland,Wetland,Water,NULL,Wetland
390,Bareland,Bareland,Wetland,Water,NULL,Bareland
391,Bareland,Bareland,Wetland,Water,NULL,Built-up
392,Bareland,Bareland,Wetland,Water,NULL,Water
393,Bareland,Bareland,Wetland,Water,Wetland,NULL
394,Bareland,Bareland,Wetland,Water,Wetland,Grassland
395,Bareland,Bareland,Wetland,Water,Wetland,Cropland
396,Bareland,Bareland,Wetland,Water,Wetland,Wetland
397,Bareland,Bareland,Wetland,Water,Wetland,Bareland
398,Bareland,Bareland,Wetland,Water,Wetland,Water
399,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
400,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
401,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
402,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
403,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
404,Bareland,Bareland,Bareland,NULL,Non_Wetland,Wetland
405,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
406,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up
407,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
408,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
409,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
410,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
411,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
412,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL
413,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
414,Bareland,Bareland,Bareland,Water,Non_Wetland,Cropland
415,Bareland,Bareland,Bareland,Water,Non_Wetland,Wetland
416,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
417,Bareland,Bareland,Bareland,Water,Non_Wetland,Built-up
418,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
419,Bareland,Bareland,Built-up,NULL,Non_Wetland,Cropland
420,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
421,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
422,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water
423,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
424,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Water
425,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
426,Bareland,Bareland,Built-up,Water,Non_Wetland,Built-up
427,Bareland,Bareland,Built-up,Water,Non_Wetland,Water
428,Bareland,Bareland,Water,NULL,NULL,Bareland
