Value,AFRICA_2024_DynamicWorld_2024_37PBP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBP_M_R,AFRICA_2024_GSW_Yearly_2021_37PBP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBP_M_R,AFRICA_2024_WorldCover_2021_37PBP_M_R
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
124,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
125,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
126,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
127,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
128,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
129,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
130,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
131,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
134,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
137,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
138,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
139,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
140,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
141,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
142,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
143,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
144,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
145,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
146,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
147,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
148,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
149,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
150,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
151,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
152,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
153,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
154,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
155,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
156,NULL,Cropland,Wetland,NULL,Wetland,NULL
157,NULL,Cropland,Wetland,NULL,Wetland,Grassland
158,NULL,Cropland,Wetland,NULL,Wetland,Cropland
159,NULL,Cropland,Wetland,NULL,Wetland,Wetland
160,NULL,Cropland,Wetland,NULL,Wetland,Built-up
161,NULL,Cropland,Wetland,NULL,Wetland,Forest
162,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
163,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
164,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
165,NULL,Cropland,Wetland,Water,Wetland,Grassland
166,NULL,Cropland,Wetland,Water,Wetland,Cropland
167,NULL,Cropland,Wetland,Water,Wetland,Wetland
168,NULL,Cropland,Wetland,Water,Wetland,Water
169,NULL,Cropland,Wetland,Water,Wetland,Forest
170,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
171,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
172,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
173,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
174,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
175,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
176,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
177,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
178,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
179,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
180,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
181,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
182,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
183,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
184,NULL,Cropland,Bareland,Water,Non_Wetland,Water
185,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
186,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
187,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
188,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
189,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
190,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
191,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
192,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Forest
193,NULL,Cropland,Built-up,Water,Non_Wetland,Forest
194,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
195,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
196,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
197,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
198,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
199,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
200,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
201,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
202,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
203,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
204,NULL,Cropland,Forest,Water,Non_Wetland,NULL
205,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
206,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
207,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
208,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
209,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
210,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
211,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
212,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
213,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
214,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
215,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
216,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
217,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
218,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
219,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
220,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
221,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
222,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
223,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
224,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
225,NULL,Wetland,Wetland,NULL,Wetland,Cropland
226,NULL,Wetland,Wetland,NULL,Wetland,Wetland
227,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
228,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland
229,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
230,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
231,NULL,Wetland,Wetland,Water,Wetland,Cropland
232,NULL,Wetland,Wetland,Water,Wetland,Wetland
233,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
234,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
235,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
236,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
237,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
238,NULL,Wetland,Forest,Water,Non_Wetland,Cropland
239,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
240,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
241,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
242,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
243,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
244,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
245,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
246,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
247,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
248,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
249,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
250,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
251,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
252,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
253,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
260,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
261,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
262,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
263,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
264,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
265,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
266,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
267,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
268,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
269,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
270,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
271,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
272,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
273,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
274,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
275,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
276,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
277,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
278,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
279,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
280,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
281,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
282,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
283,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
284,NULL,Built-up,Wetland,NULL,Wetland,NULL
285,NULL,Built-up,Wetland,NULL,Wetland,Grassland
286,NULL,Built-up,Wetland,NULL,Wetland,Cropland
287,NULL,Built-up,Wetland,NULL,Wetland,Wetland
288,NULL,Built-up,Wetland,NULL,Wetland,Built-up
289,NULL,Built-up,Wetland,NULL,Wetland,Forest
290,NULL,Built-up,Wetland,Non_Water,Wetland,Cropland
291,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
292,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
293,NULL,Built-up,Wetland,Water,Wetland,Cropland
294,NULL,Built-up,Wetland,Water,Wetland,Wetland
295,NULL,Built-up,Wetland,Water,Wetland,Forest
296,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
297,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
298,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
299,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
300,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
301,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
302,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
303,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
304,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
305,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
306,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
307,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
308,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
309,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
310,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
311,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
312,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
313,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
314,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
315,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
316,NULL,Built-up,Built-up,Water,Non_Wetland,Cropland
317,NULL,Built-up,Water,NULL,Water,Bareland
318,NULL,Built-up,Water,NULL,Water,Water
319,NULL,Built-up,Water,Non_Water,Water,Forest
320,NULL,Built-up,Water,Water,Water,Water
321,NULL,Built-up,Water,Water,Water,Forest
322,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
323,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
324,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
325,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
326,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
327,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
328,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
329,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
330,NULL,Built-up,Forest,Water,Non_Wetland,Cropland
331,NULL,Water,NULL,NULL,Non_Wetland,Grassland
332,NULL,Water,NULL,NULL,Non_Wetland,Cropland
333,NULL,Water,NULL,NULL,Non_Wetland,Forest
334,NULL,Water,NULL,Water,Non_Wetland,Grassland
335,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
336,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
337,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
338,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
339,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
340,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
341,NULL,Water,Shrubland,Non_Water,Non_Wetland,Cropland
342,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
343,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
344,NULL,Water,Shrubland,Water,Non_Wetland,Forest
345,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
346,NULL,Water,Grassland,NULL,Non_Wetland,Forest
347,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
348,NULL,Water,Grassland,Water,Non_Wetland,Grassland
349,NULL,Water,Cropland,NULL,Non_Wetland,NULL
350,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
351,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
352,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
353,NULL,Water,Cropland,NULL,Non_Wetland,Forest
354,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
355,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
356,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
357,NULL,Water,Cropland,Water,Non_Wetland,NULL
358,NULL,Water,Cropland,Water,Non_Wetland,Grassland
359,NULL,Water,Cropland,Water,Non_Wetland,Cropland
360,NULL,Water,Wetland,NULL,Wetland,NULL
361,NULL,Water,Wetland,NULL,Wetland,Forest
362,NULL,Water,Wetland,Water,Wetland,Cropland
363,NULL,Water,Wetland,Water,Wetland,Water
364,NULL,Water,Bareland,NULL,Non_Wetland,NULL
365,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
366,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
367,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
368,NULL,Water,Bareland,NULL,Non_Wetland,Forest
369,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
370,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
371,NULL,Water,Bareland,Water,Non_Wetland,NULL
372,NULL,Water,Bareland,Water,Non_Wetland,Bareland
373,NULL,Water,Bareland,Water,Non_Wetland,Forest
374,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
375,NULL,Water,Water,Water,Water,Cropland
376,NULL,Water,Forest,NULL,Non_Wetland,NULL
377,NULL,Water,Forest,NULL,Non_Wetland,Grassland
378,NULL,Water,Forest,NULL,Non_Wetland,Cropland
379,NULL,Water,Forest,NULL,Non_Wetland,Wetland
380,NULL,Water,Forest,NULL,Non_Wetland,Water
381,NULL,Water,Forest,NULL,Non_Wetland,Forest
382,NULL,Water,Forest,Non_Water,Non_Wetland,Cropland
383,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
384,NULL,Water,Forest,Water,Non_Wetland,Grassland
385,NULL,Water,Forest,Water,Non_Wetland,Cropland
386,NULL,Water,Forest,Water,Non_Wetland,Forest
387,NULL,Forest,NULL,NULL,Non_Wetland,NULL
388,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
389,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
390,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
391,NULL,Forest,NULL,NULL,Non_Wetland,Forest
392,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
393,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
394,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
395,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
396,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
397,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
398,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
399,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
400,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
401,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
402,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
403,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
404,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
405,NULL,Forest,Wetland,NULL,Wetland,Forest
406,NULL,Forest,Wetland,Non_Water,Wetland,Forest
407,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
408,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
409,NULL,Forest,Water,NULL,Water,Grassland
410,NULL,Forest,Forest,NULL,Non_Wetland,NULL
411,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
412,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
413,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
414,NULL,Forest,Forest,NULL,Non_Wetland,Forest
415,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
416,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
417,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
418,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
419,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
420,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
421,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
422,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
423,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
424,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
425,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
426,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
427,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
