Value,AFRICA_2024_DynamicWorld_2024_37NHJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHJ_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHJ_M_R,AFRICA_2024_GSW_Yearly_2021_37NHJ_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHJ_M_R,AFRICA_2024_WorldCover_2021_37NHJ_M_R
120,NULL,Water,Shrubland,Water,Non_Wetland,NULL
121,NULL,Water,Grassland,NULL,Non_Wetland,NULL
122,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
123,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
124,NULL,Water,Grassland,NULL,Non_Wetland,Forest
125,NULL,Water,Cropland,NULL,Non_Wetland,NULL
126,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
127,NULL,Water,Cropland,NULL,Non_Wetland,Forest
128,NULL,Water,Cropland,Water,Non_Wetland,Grassland
129,NULL,Water,Bareland,NULL,Non_Wetland,NULL
130,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
131,NULL,Water,Bareland,NULL,Non_Wetland,Forest
132,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
133,NULL,Water,Water,NULL,Water,NULL
134,NULL,Water,Forest,NULL,Non_Wetland,NULL
135,NULL,Water,Forest,NULL,Non_Wetland,Grassland
136,NULL,Water,Forest,NULL,Non_Wetland,Water
137,NULL,Water,Forest,NULL,Non_Wetland,Forest
138,NULL,Water,Forest,Water,Non_Wetland,NULL
139,NULL,Forest,NULL,NULL,Non_Wetland,NULL
140,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
141,NULL,Forest,NULL,NULL,Non_Wetland,Forest
142,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
143,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
144,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
145,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
146,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
147,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
148,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
149,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
150,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
151,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
152,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
153,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
154,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
155,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
156,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
157,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
158,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
159,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
160,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
161,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
162,NULL,Forest,Forest,NULL,Non_Wetland,NULL
163,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
164,NULL,Forest,Forest,NULL,Non_Wetland,Forest
165,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
166,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
167,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
168,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
169,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
170,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
171,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
172,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
173,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
174,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
175,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
176,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
177,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
178,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
179,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
180,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
181,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
182,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
183,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
184,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
185,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
186,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
187,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
188,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
189,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
190,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
191,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
192,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
193,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
194,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
195,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
196,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
197,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
198,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
199,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
200,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
201,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
202,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
203,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
204,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
205,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
206,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
207,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
208,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
209,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
210,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
211,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
212,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
213,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
214,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
215,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
216,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
217,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
218,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
219,Cropland,NULL,Grassland,Water,Non_Wetland,Water
220,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
221,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
222,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
223,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
224,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
225,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
226,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
227,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
228,Cropland,NULL,Wetland,NULL,Wetland,Grassland
229,Cropland,NULL,Wetland,Water,Wetland,Bareland
230,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
231,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
232,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
233,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
234,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
235,Cropland,NULL,Bareland,Water,Non_Wetland,Water
236,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
237,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
238,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
239,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
240,Cropland,NULL,Water,NULL,Water,Grassland
241,Cropland,NULL,Water,Non_Water,Water,Grassland
242,Cropland,NULL,Water,Water,Water,Bareland
243,Cropland,NULL,Water,Water,Water,Water
244,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
245,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
246,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
247,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
248,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
249,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
250,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
251,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
252,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
253,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
254,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
255,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
256,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
257,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
258,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
259,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
260,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
261,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
262,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
263,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
264,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
265,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
266,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL
267,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
268,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
269,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
270,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
271,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
272,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
273,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
274,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
275,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
276,Cropland,Water,NULL,NULL,Non_Wetland,Forest
277,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
278,Cropland,Water,Grassland,NULL,Non_Wetland,NULL
279,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
280,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
281,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
282,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
283,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
284,Cropland,Water,Cropland,Non_Water,Non_Wetland,Grassland
285,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
286,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
287,Cropland,Water,Bareland,NULL,Non_Wetland,Forest
288,Cropland,Water,Water,NULL,Water,Forest
289,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
290,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
291,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
292,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
293,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
294,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
295,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
296,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
297,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
298,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
299,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
300,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
301,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
302,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
303,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
304,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
305,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
306,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
307,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
308,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
309,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
310,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
311,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
312,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
313,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
314,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
315,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Forest
316,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
317,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
318,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
319,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
320,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
321,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Forest
322,Wetland,NULL,Cropland,Water,Non_Wetland,NULL
323,Wetland,NULL,Wetland,NULL,Wetland,Forest
324,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
325,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
326,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
327,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
328,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL
329,Wetland,NULL,Bareland,Water,Non_Wetland,NULL
330,Wetland,NULL,Water,NULL,Water,Grassland
331,Wetland,NULL,Water,NULL,Water,Forest
332,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
333,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
334,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
335,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
336,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
337,Wetland,Water,NULL,NULL,Non_Wetland,NULL
338,Wetland,Water,NULL,NULL,Non_Wetland,Grassland
339,Wetland,Water,NULL,NULL,Non_Wetland,Forest
340,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
341,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
342,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
343,Wetland,Water,Shrubland,Water,Non_Wetland,NULL
344,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
345,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
346,Wetland,Water,Grassland,NULL,Non_Wetland,Grassland
347,Wetland,Water,Grassland,NULL,Non_Wetland,Water
348,Wetland,Water,Grassland,NULL,Non_Wetland,Forest
349,Wetland,Water,Grassland,Water,Non_Wetland,Forest
350,Wetland,Water,Cropland,NULL,Non_Wetland,NULL
351,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland
352,Wetland,Water,Cropland,NULL,Non_Wetland,Water
353,Wetland,Water,Cropland,NULL,Non_Wetland,Forest
354,Wetland,Water,Cropland,Non_Water,Non_Wetland,NULL
355,Wetland,Water,Cropland,Non_Water,Non_Wetland,Grassland
356,Wetland,Water,Cropland,Non_Water,Non_Wetland,Forest
357,Wetland,Water,Cropland,Water,Non_Wetland,NULL
358,Wetland,Water,Cropland,Water,Non_Wetland,Forest
359,Wetland,Water,Wetland,NULL,Wetland,Forest
360,Wetland,Water,Wetland,Water,Wetland,Forest
361,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
362,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
363,Wetland,Water,Bareland,NULL,Non_Wetland,Water
364,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
365,Wetland,Water,Bareland,Water,Non_Wetland,NULL
366,Wetland,Water,Built-up,NULL,Non_Wetland,NULL
367,Wetland,Water,Built-up,NULL,Non_Wetland,Forest
368,Wetland,Water,Water,NULL,Water,NULL
369,Wetland,Water,Water,NULL,Water,Grassland
370,Wetland,Water,Water,NULL,Water,Water
371,Wetland,Water,Water,NULL,Water,Forest
372,Wetland,Water,Forest,NULL,Non_Wetland,NULL
373,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
374,Wetland,Water,Forest,NULL,Non_Wetland,Forest
375,Wetland,Water,Forest,Water,Non_Wetland,NULL
376,Wetland,Water,Forest,Water,Non_Wetland,Forest
377,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
378,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
379,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
380,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
381,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
382,Wetland,Forest,Grassland,NULL,Non_Wetland,Grassland
383,Wetland,Forest,Grassland,NULL,Non_Wetland,Forest
384,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
385,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland
386,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
387,Wetland,Forest,Wetland,NULL,Wetland,Forest
388,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
389,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
390,Wetland,Forest,Water,NULL,Water,Forest
391,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
392,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
393,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
394,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
395,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
396,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
397,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
398,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
399,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
400,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
401,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
402,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
403,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
404,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
405,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
406,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
407,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
408,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
409,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
410,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
411,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
412,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
413,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
414,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Forest
415,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
416,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
417,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
418,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
419,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
420,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
421,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL
422,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
423,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
424,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
425,Bareland,NULL,Wetland,NULL,Wetland,Grassland
426,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
