Value,AFRICA_2024_DynamicWorld_2024_36PXV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXV_M_R,AFRICA_2024_GSW_Yearly_2021_36PXV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXV_M_R,AFRICA_2024_WorldCover_2021_36PXV_M_R
123,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
124,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
125,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
126,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
127,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
128,NULL,NULL,Forest,Water,Non_Wetland,NULL
129,NULL,NULL,Forest,Water,Non_Wetland,Grassland
130,NULL,NULL,Forest,Water,Non_Wetland,Cropland
131,NULL,NULL,Forest,Water,Non_Wetland,Wetland
132,NULL,NULL,Forest,Water,Non_Wetland,Forest
133,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
134,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
135,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
136,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
137,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
138,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
139,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
140,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
141,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
142,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
143,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
144,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
145,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
146,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
147,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
148,NULL,Cropland,NULL,Water,Non_Wetland,Forest
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
156,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
157,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
158,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
159,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
160,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
161,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
162,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
163,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
164,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
165,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
166,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
167,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
168,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
169,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
170,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
171,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
172,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
173,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
174,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
175,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
176,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
177,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
178,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
179,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
180,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
181,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
182,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
183,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
184,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
185,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
186,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
187,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
188,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
189,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
190,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
191,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
192,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
193,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
194,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
195,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
196,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
197,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
198,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
199,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
200,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
201,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
202,NULL,Cropland,Cropland,Water,Non_Wetland,Water
203,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
204,NULL,Cropland,Wetland,NULL,Wetland,NULL
205,NULL,Cropland,Wetland,NULL,Wetland,Grassland
206,NULL,Cropland,Wetland,NULL,Wetland,Cropland
207,NULL,Cropland,Wetland,NULL,Wetland,Wetland
208,NULL,Cropland,Wetland,NULL,Wetland,Forest
209,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
210,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
211,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
212,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
213,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
214,NULL,Cropland,Wetland,Water,Wetland,Grassland
215,NULL,Cropland,Wetland,Water,Wetland,Cropland
216,NULL,Cropland,Wetland,Water,Wetland,Wetland
217,NULL,Cropland,Wetland,Water,Wetland,Water
218,NULL,Cropland,Wetland,Water,Wetland,Forest
219,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
220,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
221,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
222,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
223,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
224,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
225,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
226,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
227,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
228,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
229,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
230,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
231,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
232,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
233,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
234,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
235,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
236,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
237,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
238,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
239,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
240,NULL,Cropland,Water,NULL,Water,Cropland
241,NULL,Cropland,Water,Non_Water,Water,Grassland
242,NULL,Cropland,Water,Non_Water,Water,Cropland
243,NULL,Cropland,Water,Water,Water,Grassland
244,NULL,Cropland,Water,Water,Water,Cropland
245,NULL,Cropland,Water,Water,Water,Wetland
246,NULL,Cropland,Water,Water,Water,Bareland
247,NULL,Cropland,Water,Water,Water,Forest
248,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
249,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
250,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
251,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
252,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
253,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
254,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
255,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
256,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
257,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
258,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
259,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
260,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
261,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
262,NULL,Cropland,Forest,Water,Non_Wetland,Water
263,NULL,Cropland,Forest,Water,Non_Wetland,Forest
264,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
265,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
266,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
267,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
268,NULL,Wetland,NULL,Non_Water,Non_Wetland,Cropland
269,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
270,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
271,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
272,NULL,Wetland,NULL,Water,Non_Wetland,Cropland
273,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
274,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
275,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
276,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
277,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
278,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
279,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
280,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
281,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
282,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
283,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
284,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
285,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
286,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
287,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
288,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
289,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
290,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
291,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
292,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
293,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
294,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
295,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
296,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
297,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
298,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
299,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
300,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
301,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
302,NULL,Wetland,Cropland,Water,Non_Wetland,Forest
303,NULL,Wetland,Wetland,NULL,Wetland,NULL
304,NULL,Wetland,Wetland,NULL,Wetland,Grassland
305,NULL,Wetland,Wetland,NULL,Wetland,Forest
306,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
307,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
308,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
309,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
310,NULL,Wetland,Wetland,Water,Wetland,Grassland
311,NULL,Wetland,Wetland,Water,Wetland,Cropland
312,NULL,Wetland,Wetland,Water,Wetland,Wetland
313,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
314,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
315,NULL,Wetland,Water,NULL,Water,Wetland
316,NULL,Wetland,Water,Water,Water,Wetland
317,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
318,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
319,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
320,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
321,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
322,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
323,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
324,NULL,Wetland,Forest,Non_Water,Non_Wetland,Cropland
325,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
326,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
327,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
328,NULL,Wetland,Forest,Water,Non_Wetland,Cropland
329,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
330,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
331,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
332,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
333,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
334,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
335,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
336,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
337,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
338,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
339,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
340,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
341,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
342,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
343,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
344,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
345,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
346,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
347,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
348,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
349,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
350,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
351,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
352,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
353,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
354,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
355,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
356,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
357,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
358,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
359,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
360,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
361,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
362,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
363,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
364,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
365,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
366,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
367,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
368,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
369,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
370,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
371,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
372,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
373,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
374,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
375,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
376,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
377,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
378,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
379,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
380,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
381,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
382,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
383,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
384,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
385,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
386,NULL,Built-up,Cropland,Water,Non_Wetland,Water
387,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
388,NULL,Built-up,Wetland,NULL,Wetland,Grassland
389,NULL,Built-up,Wetland,NULL,Wetland,Cropland
390,NULL,Built-up,Wetland,NULL,Wetland,Bareland
391,NULL,Built-up,Wetland,NULL,Wetland,Forest
392,NULL,Built-up,Wetland,Water,Wetland,Grassland
393,NULL,Built-up,Wetland,Water,Wetland,Forest
394,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
395,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
396,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
397,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
398,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
399,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
400,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
401,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
402,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
403,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
404,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
405,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
406,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
407,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
408,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
409,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
410,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
411,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
412,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
413,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
414,NULL,Built-up,Water,NULL,Water,Grassland
415,NULL,Built-up,Water,NULL,Water,Bareland
416,NULL,Built-up,Water,NULL,Water,Forest
417,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
418,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
419,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
420,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
421,NULL,Water,NULL,NULL,Non_Wetland,NULL
422,NULL,Water,NULL,NULL,Non_Wetland,Grassland
423,NULL,Water,NULL,NULL,Non_Wetland,Cropland
424,NULL,Water,NULL,NULL,Non_Wetland,Forest
425,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
426,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
