Value,AFRICA_2024_DynamicWorld_2024_37PGK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGK_M_R,AFRICA_2024_GSW_Yearly_2021_37PGK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGK_M_R,AFRICA_2024_WorldCover_2021_37PGK_M_R
118,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
119,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
126,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
129,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
130,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
131,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
132,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
133,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
134,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
135,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
136,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
137,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
138,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
139,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
140,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
141,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
142,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
143,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
144,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
147,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
148,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
149,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
150,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
151,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
152,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
153,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
154,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
155,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
156,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
157,NULL,Water,NULL,NULL,Non_Wetland,NULL
158,NULL,Water,NULL,NULL,Non_Wetland,Forest
159,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
160,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
161,NULL,Water,Grassland,NULL,Non_Wetland,NULL
162,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
163,NULL,Water,Grassland,NULL,Non_Wetland,Forest
164,NULL,Water,Cropland,NULL,Non_Wetland,NULL
165,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
166,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
167,NULL,Water,Cropland,NULL,Non_Wetland,Forest
168,NULL,Water,Bareland,NULL,Non_Wetland,NULL
169,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
170,NULL,Water,Forest,NULL,Non_Wetland,NULL
171,NULL,Water,Forest,NULL,Non_Wetland,Grassland
172,NULL,Water,Forest,NULL,Non_Wetland,Forest
173,NULL,Forest,NULL,NULL,Non_Wetland,NULL
174,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
175,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
176,NULL,Forest,NULL,NULL,Non_Wetland,Forest
177,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
178,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
179,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
180,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
181,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
182,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
183,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
184,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
185,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
186,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
187,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
188,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
189,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
190,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
191,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
192,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
193,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
194,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
195,NULL,Forest,Forest,NULL,Non_Wetland,NULL
196,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
197,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
198,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
199,NULL,Forest,Forest,NULL,Non_Wetland,Forest
200,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
201,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
202,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
203,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
204,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
205,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
206,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
207,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
208,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
209,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
210,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
211,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
212,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
214,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
215,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
216,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
217,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
218,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
219,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
220,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
221,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
222,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
223,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
224,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
225,Grassland,NULL,Bareland,NULL,Non_Wetland,Water
226,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
227,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
228,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
229,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
230,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
231,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
232,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
233,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
234,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
235,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
236,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
237,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
238,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
239,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
240,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
241,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
242,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
243,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
244,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
245,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
246,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
247,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
248,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
249,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
250,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
251,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
252,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
253,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
254,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
255,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
256,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
257,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
258,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
259,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
260,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
261,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
262,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
263,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
264,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
265,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
266,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
267,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
268,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
269,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
270,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
271,Grassland,Water,Cropland,Water,Non_Wetland,Wetland
272,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
273,Grassland,Water,Water,NULL,Water,Wetland
274,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
275,Grassland,Water,Forest,Water,Non_Wetland,Wetland
276,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
277,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
278,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
279,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
280,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
281,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
282,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
283,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
284,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
285,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
286,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
287,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
288,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
289,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
290,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
291,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
292,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
293,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
294,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
295,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
296,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
297,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
298,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
299,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
300,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
301,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
302,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
303,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
304,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
305,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
306,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
307,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
308,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
309,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
310,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
311,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
312,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
313,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
314,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
315,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
316,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
317,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
318,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
319,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
320,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
321,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
322,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
323,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
324,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
325,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
326,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
327,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
328,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
329,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
330,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
331,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
332,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
333,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
334,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
335,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
336,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
337,Cropland,NULL,Wetland,NULL,Wetland,Wetland
338,Cropland,NULL,Wetland,Water,Wetland,Water
339,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
340,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
341,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
342,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
343,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
344,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
345,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
346,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
347,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
348,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
349,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
350,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
351,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
352,Cropland,NULL,Bareland,Water,Non_Wetland,Water
353,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
354,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
355,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
356,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
357,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
358,Cropland,NULL,Water,NULL,Water,Grassland
359,Cropland,NULL,Water,NULL,Water,Cropland
360,Cropland,NULL,Water,NULL,Water,Forest
361,Cropland,NULL,Water,Water,Water,Grassland
362,Cropland,NULL,Water,Water,Water,Cropland
363,Cropland,NULL,Water,Water,Water,Water
364,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
365,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
366,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
367,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
368,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
369,Cropland,NULL,Forest,NULL,Non_Wetland,Water
370,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
371,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
372,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
373,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
374,Cropland,NULL,Forest,Water,Non_Wetland,NULL
375,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
376,Cropland,NULL,Forest,Water,Non_Wetland,Forest
377,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
378,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
379,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
380,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
381,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
382,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
383,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
384,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
385,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
386,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
387,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
388,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
389,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
390,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
391,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
392,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
393,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
394,Cropland,Cropland,Shrubland,Water,Non_Wetland,Water
395,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
396,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
397,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
398,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
399,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
400,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
401,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
402,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
403,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
404,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
405,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
406,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
407,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
408,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
409,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
410,Cropland,Cropland,Wetland,Water,Wetland,Grassland
411,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
412,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
413,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
414,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
415,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
416,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
417,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
