Value,AFRICA_2024_DynamicWorld_2024_36PYR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYR_M_R,AFRICA_2024_GSW_Yearly_2021_36PYR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYR_M_R,AFRICA_2024_WorldCover_2021_36PYR_M_R
123,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland
124,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
132,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
134,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
135,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
136,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
137,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
138,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
142,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
143,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
144,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
145,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
146,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
147,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
148,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
149,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
150,NULL,Cropland,Wetland,NULL,Wetland,Grassland
151,NULL,Cropland,Wetland,NULL,Wetland,Cropland
152,NULL,Cropland,Wetland,NULL,Wetland,Wetland
153,NULL,Cropland,Wetland,NULL,Wetland,Forest
154,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
156,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
157,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
158,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
159,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
160,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
161,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
162,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
163,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
164,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
165,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
166,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
167,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
168,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
169,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
170,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
171,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
172,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
173,NULL,Cropland,Water,NULL,Water,Cropland
174,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
175,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
176,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
177,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
178,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
179,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
180,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
181,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
182,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
183,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
184,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
185,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
186,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
187,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
188,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
189,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
190,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
191,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
192,NULL,Wetland,NULL,Non_Water,Non_Wetland,Cropland
193,NULL,Wetland,NULL,Water,Non_Wetland,Cropland
194,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
196,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
197,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
198,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
199,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
200,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
201,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
202,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
203,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
204,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
205,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
206,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
207,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
208,NULL,Wetland,Wetland,NULL,Wetland,Cropland
209,NULL,Wetland,Wetland,NULL,Wetland,Forest
210,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
211,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
212,NULL,Wetland,Water,NULL,Water,Water
213,NULL,Wetland,Water,Non_Water,Water,Grassland
214,NULL,Wetland,Water,Water,Water,Water
215,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
216,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
217,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
218,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
219,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
220,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
221,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
222,NULL,Wetland,Forest,Non_Water,Non_Wetland,Cropland
223,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
224,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
225,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
226,NULL,Bareland,Wetland,Water,Wetland,Water
227,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
228,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
229,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
230,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
231,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
232,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
239,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
240,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
241,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
242,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
243,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
244,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
245,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
246,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
247,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
248,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
249,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
250,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
251,NULL,Built-up,Wetland,NULL,Wetland,Built-up
252,NULL,Built-up,Wetland,NULL,Wetland,Forest
253,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
254,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
255,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
256,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
257,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
258,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
259,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
260,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
261,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
262,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
263,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
264,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
265,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
266,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
267,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
268,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
269,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
270,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
271,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
272,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
273,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
274,NULL,Water,NULL,NULL,Non_Wetland,Grassland
275,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
276,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
277,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
278,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
279,NULL,Water,Shrubland,NULL,Non_Wetland,Water
280,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
281,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
282,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
283,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
284,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
285,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
286,NULL,Water,Cropland,NULL,Non_Wetland,Forest
287,NULL,Water,Wetland,NULL,Wetland,Forest
288,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
289,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
290,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
291,NULL,Water,Bareland,NULL,Non_Wetland,Forest
292,NULL,Water,Bareland,Water,Non_Wetland,Cropland
293,NULL,Water,Forest,NULL,Non_Wetland,NULL
294,NULL,Water,Forest,NULL,Non_Wetland,Grassland
295,NULL,Water,Forest,NULL,Non_Wetland,Cropland
296,NULL,Water,Forest,NULL,Non_Wetland,Bareland
297,NULL,Water,Forest,NULL,Non_Wetland,Forest
298,NULL,Forest,NULL,NULL,Non_Wetland,NULL
299,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
300,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
301,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
302,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
303,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
304,NULL,Forest,NULL,NULL,Non_Wetland,Forest
305,NULL,Forest,NULL,Water,Non_Wetland,Grassland
306,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
307,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
308,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
309,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
310,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
311,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
312,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
313,NULL,Forest,Shrubland,Water,Non_Wetland,Cropland
314,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
315,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
316,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
317,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
318,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
319,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
320,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
321,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
322,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
323,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
324,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
325,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
326,NULL,Forest,Wetland,NULL,Wetland,Forest
327,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
328,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
329,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
330,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
331,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
332,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
333,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
334,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
335,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
336,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
337,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
338,NULL,Forest,Forest,NULL,Non_Wetland,NULL
339,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
340,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
341,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
342,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
343,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
344,NULL,Forest,Forest,NULL,Non_Wetland,Forest
345,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
346,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
347,NULL,Forest,Forest,Non_Water,Non_Wetland,Cropland
348,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
349,NULL,Forest,Forest,Water,Non_Wetland,NULL
350,NULL,Forest,Forest,Water,Non_Wetland,Cropland
351,NULL,Forest,Forest,Water,Non_Wetland,Forest
352,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
353,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
354,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
355,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
356,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
357,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
358,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
359,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
360,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
361,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
362,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
363,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
364,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
365,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
366,Grassland,NULL,NULL,Water,Non_Wetland,Bareland
367,Grassland,NULL,NULL,Water,Non_Wetland,Forest
368,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
369,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
370,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
371,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
372,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
373,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
374,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
375,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
376,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
377,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
378,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
379,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
380,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
381,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
382,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
383,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
384,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
385,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
386,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
387,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
388,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
389,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
390,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
391,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
392,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
393,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
394,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
395,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
396,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
397,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
398,Grassland,NULL,Wetland,NULL,Wetland,NULL
399,Grassland,NULL,Wetland,NULL,Wetland,Grassland
400,Grassland,NULL,Wetland,NULL,Wetland,Cropland
401,Grassland,NULL,Wetland,NULL,Wetland,Wetland
402,Grassland,NULL,Wetland,NULL,Wetland,Forest
403,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
404,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland
405,Grassland,NULL,Wetland,Water,Wetland,Grassland
406,Grassland,NULL,Wetland,Water,Wetland,Cropland
407,Grassland,NULL,Wetland,Water,Wetland,Wetland
408,Grassland,NULL,Wetland,Water,Wetland,Bareland
409,Grassland,NULL,Wetland,Water,Wetland,Water
410,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
411,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
412,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
413,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
414,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
415,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
416,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
417,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
418,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland
419,Grassland,NULL,Bareland,Water,Non_Wetland,Water
420,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
421,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
422,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
423,Grassland,NULL,Water,NULL,Water,Cropland
424,Grassland,NULL,Water,NULL,Water,Wetland
425,Grassland,NULL,Water,NULL,Water,Bareland
426,Grassland,NULL,Water,Non_Water,Water,Grassland
427,Grassland,NULL,Water,Water,Water,Grassland
