Value,AFRICA_2024_DynamicWorld_2024_37NDG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NDG_M_R,AFRICA_2024_GLC_FCS30D_2022_37NDG_M_R,AFRICA_2024_GSW_Yearly_2021_37NDG_M_R,AFRICA_2024_GWL_FCS30D_2022_37NDG_M_R,AFRICA_2024_WorldCover_2021_37NDG_M_R
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
122,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
123,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
124,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
125,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
126,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
127,NULL,Cropland,Wetland,NULL,Wetland,Grassland
128,NULL,Cropland,Wetland,NULL,Wetland,Forest
129,NULL,Cropland,Wetland,Water,Wetland,Water
130,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
131,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
134,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
135,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
136,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
138,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
139,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
140,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
141,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
142,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
143,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
144,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
145,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
146,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
147,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
148,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
149,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
150,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
151,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
152,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
153,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
154,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
155,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
156,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
157,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
158,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
159,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
160,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
161,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
162,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
163,NULL,Bareland,NULL,Non_Water,Non_Wetland,Forest
164,NULL,Bareland,NULL,Water,Non_Wetland,Forest
165,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
166,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
167,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
168,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
169,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
170,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
171,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
172,NULL,Bareland,Wetland,Water,Wetland,Grassland
173,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
174,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
175,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
176,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
177,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
178,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
179,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
180,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
181,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
182,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
183,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
184,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
185,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
186,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
187,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL
188,NULL,Built-up,NULL,Water,Non_Wetland,NULL
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
196,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
197,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
198,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
199,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
201,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
202,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
203,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
205,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
206,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
207,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
208,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
209,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
210,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
211,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
212,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
213,NULL,Built-up,Wetland,NULL,Wetland,Forest
214,NULL,Built-up,Wetland,Water,Wetland,Grassland
215,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
216,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
217,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
218,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
219,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
220,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
221,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
222,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
223,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
224,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
225,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
226,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
227,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
228,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
229,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
230,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
231,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
232,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
233,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
234,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
235,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
236,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
238,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
239,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
240,NULL,Built-up,Water,NULL,Water,Grassland
241,NULL,Built-up,Water,Non_Water,Water,Forest
242,NULL,Built-up,Water,Water,Water,Grassland
243,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
244,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
245,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
246,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
247,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
248,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
249,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
250,NULL,Water,NULL,NULL,Non_Wetland,Grassland
251,NULL,Water,NULL,NULL,Non_Wetland,Cropland
252,NULL,Water,NULL,NULL,Non_Wetland,Forest
253,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
254,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
255,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
256,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
257,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
258,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
259,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
260,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
261,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
262,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
263,NULL,Water,Bareland,NULL,Non_Wetland,Water
264,NULL,Water,Bareland,NULL,Non_Wetland,Forest
265,NULL,Water,Bareland,Water,Non_Wetland,Cropland
266,NULL,Water,Water,NULL,Water,Grassland
267,NULL,Water,Forest,NULL,Non_Wetland,NULL
268,NULL,Water,Forest,NULL,Non_Wetland,Grassland
269,NULL,Water,Forest,NULL,Non_Wetland,Cropland
270,NULL,Water,Forest,NULL,Non_Wetland,Bareland
271,NULL,Water,Forest,NULL,Non_Wetland,Forest
272,NULL,Forest,NULL,NULL,Non_Wetland,NULL
273,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
274,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
275,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
276,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
277,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
278,NULL,Forest,NULL,NULL,Non_Wetland,Forest
279,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
280,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
281,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
282,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
283,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
284,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
285,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
286,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
287,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
288,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
289,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
290,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
291,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
292,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
293,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
294,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
295,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
296,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
297,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
298,NULL,Forest,Cropland,NULL,Non_Wetland,Water
299,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
300,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
301,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
302,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
303,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
304,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
305,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
306,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
307,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
308,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
309,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
310,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
311,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
312,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
313,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
314,NULL,Forest,Forest,NULL,Non_Wetland,NULL
315,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
316,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
317,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
318,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
319,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
320,NULL,Forest,Forest,NULL,Non_Wetland,Forest
321,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
322,NULL,Forest,Forest,Non_Water,Non_Wetland,Cropland
323,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
324,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
325,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
326,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
327,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
328,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
329,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
330,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
331,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
332,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
333,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
334,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
335,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
336,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
337,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
338,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
339,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
340,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
341,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
342,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
343,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
344,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
345,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
346,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
347,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
348,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
349,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
350,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
351,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
352,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
353,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
354,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
355,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
356,Grassland,NULL,Wetland,NULL,Wetland,NULL
357,Grassland,NULL,Wetland,NULL,Wetland,Grassland
358,Grassland,NULL,Wetland,NULL,Wetland,Cropland
359,Grassland,NULL,Wetland,NULL,Wetland,Wetland
360,Grassland,NULL,Wetland,NULL,Wetland,Forest
361,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
362,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
363,Grassland,NULL,Wetland,Non_Water,Wetland,Water
364,Grassland,NULL,Wetland,Water,Wetland,Cropland
365,Grassland,NULL,Wetland,Water,Wetland,Water
366,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
367,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
368,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
369,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
370,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
371,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
372,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
373,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
374,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
375,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water
376,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
377,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
378,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
379,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
380,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
381,Grassland,NULL,Water,NULL,Water,Wetland
382,Grassland,NULL,Water,Non_Water,Water,Grassland
383,Grassland,NULL,Water,Non_Water,Water,Water
384,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
385,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
386,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
387,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
388,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
389,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
390,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
391,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
392,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
393,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
394,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
395,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
396,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
397,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
398,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
399,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
400,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
401,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
402,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
403,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
404,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
405,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Forest
406,Grassland,Cropland,NULL,Water,Non_Wetland,Cropland
407,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
408,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
409,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
410,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
411,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
412,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
413,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
414,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
415,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
416,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
417,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
418,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
419,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
