Value,AFRICA_2024_DynamicWorld_2024_37QHU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37QHU_M_R,AFRICA_2024_GLC_FCS30D_2022_37QHU_M_R,AFRICA_2024_GSW_Yearly_2021_37QHU_M_R,AFRICA_2024_GWL_FCS30D_2022_37QHU_M_R,AFRICA_2024_WorldCover_2021_37QHU_M_R
123,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
124,NULL,NULL,Built-up,NULL,Non_Wetland,Water
125,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
126,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
127,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
128,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
129,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
130,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
131,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
132,NULL,NULL,Built-up,Water,Non_Wetland,Water
133,NULL,NULL,Water,Non_Water,NULL,Built-up
134,NULL,NULL,Water,Water,NULL,Bareland
135,NULL,NULL,Water,Water,NULL,Water
136,NULL,NULL,Water,Water,Water,Wetland
137,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
138,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
139,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
145,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
146,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
147,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
148,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
149,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
150,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
151,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
152,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
153,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
154,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
155,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
156,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
157,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
158,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
159,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
160,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
161,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
162,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
163,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
164,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
165,NULL,Cropland,Wetland,NULL,NULL,Bareland
166,NULL,Cropland,Wetland,NULL,Wetland,Bareland
167,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
168,NULL,Cropland,Wetland,Non_Water,Wetland,Bareland
169,NULL,Cropland,Wetland,Non_Water,Wetland,Built-up
170,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
171,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
172,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
173,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
174,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
175,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
176,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
177,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
178,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
179,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
180,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
181,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
182,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
183,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
184,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
185,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
186,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
187,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
188,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
189,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
190,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Built-up
191,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
192,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
193,NULL,Wetland,Wetland,NULL,NULL,NULL
194,NULL,Wetland,Wetland,NULL,NULL,Grassland
195,NULL,Wetland,Wetland,NULL,NULL,Wetland
196,NULL,Wetland,Wetland,NULL,NULL,Bareland
197,NULL,Wetland,Wetland,NULL,Wetland,Wetland
198,NULL,Wetland,Wetland,NULL,Wetland,Bareland
199,NULL,Wetland,Wetland,NULL,Wetland,Water
200,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
201,NULL,Wetland,Wetland,Non_Water,NULL,Water
202,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
203,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland
204,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
205,NULL,Wetland,Wetland,Non_Water,Wetland,Water
206,NULL,Wetland,Wetland,Water,NULL,Cropland
207,NULL,Wetland,Wetland,Water,NULL,Wetland
208,NULL,Wetland,Wetland,Water,NULL,Bareland
209,NULL,Wetland,Wetland,Water,NULL,Water
210,NULL,Wetland,Wetland,Water,Wetland,NULL
211,NULL,Wetland,Wetland,Water,Wetland,Cropland
212,NULL,Wetland,Wetland,Water,Wetland,Wetland
213,NULL,Wetland,Wetland,Water,Wetland,Bareland
214,NULL,Wetland,Wetland,Water,Wetland,Water
215,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
216,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
217,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
218,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
219,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
220,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
221,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
222,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
223,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
224,NULL,Wetland,Bareland,Water,Non_Wetland,NULL
225,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
226,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
227,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
228,NULL,Wetland,Bareland,Water,Non_Wetland,Water
229,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
230,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
231,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
232,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
233,NULL,Bareland,NULL,NULL,Non_Wetland,Built-up
234,NULL,Bareland,NULL,NULL,Non_Wetland,Water
235,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland
236,NULL,Bareland,NULL,Water,Non_Wetland,Bareland
237,NULL,Bareland,NULL,Water,Non_Wetland,Water
238,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
239,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
240,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
241,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
242,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
243,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
244,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
245,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
246,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
247,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
248,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
249,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
250,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
251,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
252,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
253,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
254,NULL,Bareland,Cropland,NULL,Non_Wetland,Wetland
255,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
256,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
257,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
258,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
259,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL
260,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
261,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
262,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
263,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Built-up
264,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
265,NULL,Bareland,Cropland,Water,Non_Wetland,NULL
266,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
267,NULL,Bareland,Cropland,Water,Non_Wetland,Cropland
268,NULL,Bareland,Cropland,Water,Non_Wetland,Wetland
269,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
270,NULL,Bareland,Cropland,Water,Non_Wetland,Water
271,NULL,Bareland,Wetland,NULL,NULL,Grassland
272,NULL,Bareland,Wetland,NULL,NULL,Wetland
273,NULL,Bareland,Wetland,NULL,NULL,Bareland
274,NULL,Bareland,Wetland,NULL,NULL,Built-up
275,NULL,Bareland,Wetland,NULL,NULL,Water
276,NULL,Bareland,Wetland,NULL,NULL,Forest
277,NULL,Bareland,Wetland,NULL,Wetland,NULL
278,NULL,Bareland,Wetland,NULL,Wetland,Grassland
279,NULL,Bareland,Wetland,NULL,Wetland,Wetland
280,NULL,Bareland,Wetland,NULL,Wetland,Bareland
281,NULL,Bareland,Wetland,NULL,Wetland,Water
282,NULL,Bareland,Wetland,Non_Water,NULL,Grassland
283,NULL,Bareland,Wetland,Non_Water,NULL,Cropland
284,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
285,NULL,Bareland,Wetland,Non_Water,NULL,Built-up
286,NULL,Bareland,Wetland,Non_Water,NULL,Water
287,NULL,Bareland,Wetland,Non_Water,Wetland,NULL
288,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
289,NULL,Bareland,Wetland,Non_Water,Wetland,Cropland
290,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
291,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
292,NULL,Bareland,Wetland,Non_Water,Wetland,Built-up
293,NULL,Bareland,Wetland,Non_Water,Wetland,Water
294,NULL,Bareland,Wetland,Water,NULL,NULL
295,NULL,Bareland,Wetland,Water,NULL,Grassland
296,NULL,Bareland,Wetland,Water,NULL,Wetland
297,NULL,Bareland,Wetland,Water,NULL,Bareland
298,NULL,Bareland,Wetland,Water,NULL,Built-up
299,NULL,Bareland,Wetland,Water,NULL,Water
300,NULL,Bareland,Wetland,Water,Wetland,NULL
301,NULL,Bareland,Wetland,Water,Wetland,Grassland
302,NULL,Bareland,Wetland,Water,Wetland,Wetland
303,NULL,Bareland,Wetland,Water,Wetland,Bareland
304,NULL,Bareland,Wetland,Water,Wetland,Built-up
305,NULL,Bareland,Wetland,Water,Wetland,Water
306,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
307,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
308,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
309,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
310,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
311,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
312,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
313,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
314,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
315,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
316,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
317,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
318,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
319,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
320,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
321,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
322,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
323,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
324,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
325,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
326,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
327,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
328,NULL,Bareland,Bareland,Water,Non_Wetland,Water
329,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
330,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
331,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
332,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
333,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
334,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
335,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
336,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
337,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
338,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
339,NULL,Bareland,Built-up,Water,Non_Wetland,Water
340,NULL,Bareland,Water,NULL,NULL,Bareland
341,NULL,Bareland,Water,NULL,NULL,Water
342,NULL,Bareland,Water,NULL,Water,Bareland
343,NULL,Bareland,Water,NULL,Water,Water
344,NULL,Bareland,Water,Non_Water,NULL,Bareland
345,NULL,Bareland,Water,Non_Water,Water,Bareland
346,NULL,Bareland,Water,Water,NULL,Bareland
347,NULL,Bareland,Water,Water,NULL,Water
348,NULL,Bareland,Water,Water,Water,Grassland
349,NULL,Bareland,Water,Water,Water,Wetland
350,NULL,Bareland,Water,Water,Water,Bareland
351,NULL,Bareland,Water,Water,Water,Water
352,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
353,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
354,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
355,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
356,NULL,Built-up,NULL,Water,Non_Wetland,NULL
357,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
358,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
359,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
360,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
361,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
362,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
363,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
364,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
365,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
366,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
367,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
368,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
369,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
370,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
371,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
372,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
373,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
374,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
375,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
376,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
377,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
378,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
379,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
380,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
381,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
382,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
383,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
384,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
385,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
386,NULL,Built-up,Cropland,Water,Non_Wetland,NULL
387,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
388,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
389,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
390,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
391,NULL,Built-up,Cropland,Water,Non_Wetland,Water
392,NULL,Built-up,Wetland,NULL,NULL,Grassland
393,NULL,Built-up,Wetland,NULL,NULL,Water
394,NULL,Built-up,Wetland,NULL,Wetland,Cropland
395,NULL,Built-up,Wetland,NULL,Wetland,Bareland
396,NULL,Built-up,Wetland,NULL,Wetland,Built-up
397,NULL,Built-up,Wetland,NULL,Wetland,Water
398,NULL,Built-up,Wetland,NULL,Wetland,Forest
399,NULL,Built-up,Wetland,Non_Water,NULL,Grassland
400,NULL,Built-up,Wetland,Non_Water,NULL,Cropland
401,NULL,Built-up,Wetland,Non_Water,NULL,Wetland
402,NULL,Built-up,Wetland,Non_Water,NULL,Bareland
403,NULL,Built-up,Wetland,Non_Water,NULL,Built-up
404,NULL,Built-up,Wetland,Non_Water,Wetland,NULL
405,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
406,NULL,Built-up,Wetland,Non_Water,Wetland,Cropland
407,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
408,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
409,NULL,Built-up,Wetland,Non_Water,Wetland,Water
410,NULL,Built-up,Wetland,Water,NULL,Grassland
411,NULL,Built-up,Wetland,Water,NULL,Cropland
412,NULL,Built-up,Wetland,Water,NULL,Wetland
413,NULL,Built-up,Wetland,Water,NULL,Bareland
414,NULL,Built-up,Wetland,Water,NULL,Built-up
415,NULL,Built-up,Wetland,Water,NULL,Water
416,NULL,Built-up,Wetland,Water,Wetland,NULL
417,NULL,Built-up,Wetland,Water,Wetland,Grassland
418,NULL,Built-up,Wetland,Water,Wetland,Bareland
419,NULL,Built-up,Wetland,Water,Wetland,Built-up
420,NULL,Built-up,Wetland,Water,Wetland,Water
421,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
422,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
423,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
424,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
425,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
426,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
427,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
428,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
429,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
430,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
431,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
