Value,AFRICA_2024_DynamicWorld_2024_35NPD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPD_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPD_M_R,AFRICA_2024_GSW_Yearly_2021_35NPD_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPD_M_R,AFRICA_2024_WorldCover_2021_35NPD_M_R
123,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
125,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
126,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
127,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
128,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
129,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
130,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
132,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
133,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
134,NULL,Water,NULL,NULL,Non_Wetland,NULL
135,NULL,Water,NULL,NULL,Non_Wetland,Water
136,NULL,Water,NULL,NULL,Non_Wetland,Forest
137,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
138,NULL,Water,NULL,Water,Non_Wetland,NULL
139,NULL,Water,NULL,Water,Non_Wetland,Water
140,NULL,Water,NULL,Water,Non_Wetland,Forest
141,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
142,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
143,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
144,NULL,Water,Shrubland,NULL,Non_Wetland,Water
145,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Water,Shrubland,Water,Non_Wetland,NULL
147,NULL,Water,Grassland,NULL,Non_Wetland,NULL
148,NULL,Water,Grassland,NULL,Non_Wetland,Water
149,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL
150,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
151,NULL,Water,Grassland,Water,Non_Wetland,NULL
152,NULL,Water,Grassland,Water,Non_Wetland,Water
153,NULL,Water,Grassland,Water,Non_Wetland,Forest
154,NULL,Water,Cropland,NULL,Non_Wetland,NULL
155,NULL,Water,Cropland,NULL,Non_Wetland,Water
156,NULL,Water,Cropland,NULL,Non_Wetland,Forest
157,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
158,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
159,NULL,Water,Cropland,Water,Non_Wetland,NULL
160,NULL,Water,Wetland,NULL,Wetland,NULL
161,NULL,Water,Wetland,NULL,Wetland,Grassland
162,NULL,Water,Wetland,NULL,Wetland,Wetland
163,NULL,Water,Wetland,NULL,Wetland,Bareland
164,NULL,Water,Wetland,NULL,Wetland,Water
165,NULL,Water,Wetland,NULL,Wetland,Forest
166,NULL,Water,Wetland,Non_Water,Wetland,NULL
167,NULL,Water,Wetland,Non_Water,Wetland,Water
168,NULL,Water,Wetland,Non_Water,Wetland,Forest
169,NULL,Water,Wetland,Water,Wetland,NULL
170,NULL,Water,Wetland,Water,Wetland,Bareland
171,NULL,Water,Wetland,Water,Wetland,Water
172,NULL,Water,Wetland,Water,Wetland,Forest
173,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
174,NULL,Water,Bareland,NULL,Non_Wetland,NULL
175,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
176,NULL,Water,Bareland,NULL,Non_Wetland,Water
177,NULL,Water,Bareland,NULL,Non_Wetland,Forest
178,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
179,NULL,Water,Bareland,Water,Non_Wetland,NULL
180,NULL,Water,Bareland,Water,Non_Wetland,Water
181,NULL,Water,Built-up,NULL,Non_Wetland,NULL
182,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
183,NULL,Water,Built-up,NULL,Non_Wetland,Water
184,NULL,Water,Built-up,NULL,Non_Wetland,Forest
185,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
186,NULL,Water,Built-up,Water,Non_Wetland,NULL
187,NULL,Water,Water,NULL,Water,NULL
188,NULL,Water,Water,NULL,Water,Bareland
189,NULL,Water,Water,NULL,Water,Water
190,NULL,Water,Water,NULL,Water,Forest
191,NULL,Water,Water,Non_Water,Water,NULL
192,NULL,Water,Water,Non_Water,Water,Bareland
193,NULL,Water,Water,Non_Water,Water,Water
194,NULL,Water,Water,Non_Water,Water,Forest
195,NULL,Water,Water,Water,Water,NULL
196,NULL,Water,Water,Water,Water,Grassland
197,NULL,Water,Water,Water,Water,Wetland
198,NULL,Water,Water,Water,Water,Bareland
199,NULL,Water,Water,Water,Water,Water
200,NULL,Water,Water,Water,Water,Forest
201,NULL,Water,Forest,NULL,Non_Wetland,NULL
202,NULL,Water,Forest,NULL,Non_Wetland,Grassland
203,NULL,Water,Forest,NULL,Non_Wetland,Wetland
204,NULL,Water,Forest,NULL,Non_Wetland,Bareland
205,NULL,Water,Forest,NULL,Non_Wetland,Water
206,NULL,Water,Forest,NULL,Non_Wetland,Forest
207,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
208,NULL,Water,Forest,Non_Water,Non_Wetland,Water
209,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
210,NULL,Water,Forest,Water,Non_Wetland,NULL
211,NULL,Water,Forest,Water,Non_Wetland,Water
212,NULL,Water,Forest,Water,Non_Wetland,Forest
213,NULL,Forest,NULL,NULL,Non_Wetland,NULL
214,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
215,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
216,NULL,Forest,NULL,NULL,Non_Wetland,Forest
217,NULL,Forest,NULL,Water,Non_Wetland,Forest
218,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
219,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
220,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
221,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
222,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
223,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
224,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
225,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
226,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
227,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
228,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
229,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
230,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
231,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
232,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
233,NULL,Forest,Cropland,Water,Non_Wetland,NULL
234,NULL,Forest,Wetland,NULL,Wetland,NULL
235,NULL,Forest,Wetland,NULL,Wetland,Grassland
236,NULL,Forest,Wetland,NULL,Wetland,Water
237,NULL,Forest,Wetland,NULL,Wetland,Forest
238,NULL,Forest,Wetland,Non_Water,Wetland,NULL
239,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
240,NULL,Forest,Wetland,Non_Water,Wetland,Forest
241,NULL,Forest,Wetland,Water,Wetland,NULL
242,NULL,Forest,Wetland,Water,Wetland,Grassland
243,NULL,Forest,Wetland,Water,Wetland,Water
244,NULL,Forest,Wetland,Water,Wetland,Forest
245,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
246,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
247,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
248,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
249,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
250,NULL,Forest,Bareland,Water,Non_Wetland,NULL
251,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
252,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
253,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
254,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
255,NULL,Forest,Water,NULL,Water,NULL
256,NULL,Forest,Water,NULL,Water,Forest
257,NULL,Forest,Water,Non_Water,Water,NULL
258,NULL,Forest,Water,Non_Water,Water,Water
259,NULL,Forest,Water,Non_Water,Water,Forest
260,NULL,Forest,Water,Water,Water,NULL
261,NULL,Forest,Water,Water,Water,Water
262,NULL,Forest,Water,Water,Water,Forest
263,NULL,Forest,Forest,NULL,Non_Wetland,NULL
264,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
265,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
266,NULL,Forest,Forest,NULL,Non_Wetland,Water
267,NULL,Forest,Forest,NULL,Non_Wetland,Forest
268,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
269,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
270,NULL,Forest,Forest,Non_Water,Non_Wetland,Water
271,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
272,NULL,Forest,Forest,Water,Non_Wetland,NULL
273,NULL,Forest,Forest,Water,Non_Wetland,Grassland
274,NULL,Forest,Forest,Water,Non_Wetland,Forest
275,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
276,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
277,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
278,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
279,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
280,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
281,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
282,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
283,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
284,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
285,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
286,Grassland,NULL,Wetland,NULL,Wetland,Forest
287,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
288,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
289,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
290,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
291,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
292,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
293,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
294,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
295,Grassland,Water,Forest,NULL,Non_Wetland,Forest
296,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
297,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
298,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
299,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
300,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
301,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
302,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
303,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
304,Grassland,Forest,Wetland,NULL,Wetland,Grassland
305,Grassland,Forest,Wetland,NULL,Wetland,Forest
306,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
307,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
308,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
309,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
310,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
311,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
312,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
313,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
314,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
315,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
316,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
317,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
318,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
319,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
320,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
321,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
322,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
323,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
324,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
325,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
326,Cropland,Water,Forest,NULL,Non_Wetland,Forest
327,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
328,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
329,Cropland,Forest,Built-up,NULL,Non_Wetland,Built-up
330,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
331,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
332,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
333,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
334,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
335,Wetland,NULL,Wetland,NULL,Wetland,Forest
336,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
337,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
338,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
339,Wetland,Wetland,Wetland,NULL,Wetland,Forest
340,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
341,Wetland,Water,NULL,NULL,Non_Wetland,Forest
342,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
343,Wetland,Water,Shrubland,NULL,Non_Wetland,Water
344,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
345,Wetland,Water,Wetland,NULL,Wetland,Forest
346,Wetland,Water,Built-up,NULL,Non_Wetland,Grassland
347,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
348,Wetland,Water,Forest,NULL,Non_Wetland,Forest
349,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
350,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
351,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
352,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
353,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
354,Water,NULL,NULL,NULL,Non_Wetland,NULL
355,Water,NULL,NULL,NULL,Non_Wetland,Grassland
356,Water,NULL,NULL,NULL,Non_Wetland,Forest
357,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
358,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
359,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
360,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
361,Water,NULL,Cropland,NULL,Non_Wetland,NULL
362,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
363,Water,NULL,Cropland,NULL,Non_Wetland,Built-up
364,Water,NULL,Cropland,NULL,Non_Wetland,Forest
365,Water,NULL,Wetland,NULL,Wetland,Grassland
366,Water,NULL,Wetland,NULL,Wetland,Forest
367,Water,NULL,Built-up,NULL,Non_Wetland,Forest
368,Water,NULL,Forest,NULL,Non_Wetland,NULL
369,Water,NULL,Forest,NULL,Non_Wetland,Grassland
370,Water,NULL,Forest,NULL,Non_Wetland,Bareland
371,Water,NULL,Forest,NULL,Non_Wetland,Forest
372,Water,Wetland,Wetland,NULL,Wetland,Forest
373,Water,Wetland,Forest,NULL,Non_Wetland,Forest
374,Water,Built-up,NULL,NULL,Non_Wetland,Forest
375,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland
376,Water,Built-up,Shrubland,NULL,Non_Wetland,Water
377,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest
378,Water,Built-up,Cropland,NULL,Non_Wetland,Grassland
379,Water,Built-up,Cropland,NULL,Non_Wetland,Built-up
380,Water,Built-up,Cropland,NULL,Non_Wetland,Forest
381,Water,Built-up,Cropland,Non_Water,Non_Wetland,Forest
382,Water,Built-up,Wetland,Water,Wetland,Forest
383,Water,Built-up,Built-up,NULL,Non_Wetland,Grassland
384,Water,Built-up,Built-up,NULL,Non_Wetland,Water
385,Water,Built-up,Built-up,NULL,Non_Wetland,Forest
386,Water,Built-up,Forest,NULL,Non_Wetland,Water
387,Water,Built-up,Forest,NULL,Non_Wetland,Forest
388,Water,Water,NULL,NULL,Non_Wetland,Grassland
389,Water,Water,NULL,NULL,Non_Wetland,Water
390,Water,Water,NULL,NULL,Non_Wetland,Forest
391,Water,Water,NULL,Water,Non_Wetland,Water
392,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
393,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
394,Water,Water,Shrubland,NULL,Non_Wetland,Water
395,Water,Water,Shrubland,NULL,Non_Wetland,Forest
396,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
397,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
398,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
399,Water,Water,Shrubland,Water,Non_Wetland,Grassland
400,Water,Water,Shrubland,Water,Non_Wetland,Bareland
401,Water,Water,Shrubland,Water,Non_Wetland,Water
402,Water,Water,Shrubland,Water,Non_Wetland,Forest
403,Water,Water,Grassland,NULL,Non_Wetland,Water
404,Water,Water,Grassland,NULL,Non_Wetland,Forest
405,Water,Water,Cropland,NULL,Non_Wetland,Grassland
406,Water,Water,Cropland,NULL,Non_Wetland,Water
407,Water,Water,Cropland,NULL,Non_Wetland,Forest
408,Water,Water,Cropland,Non_Water,Non_Wetland,Water
409,Water,Water,Cropland,Non_Water,Non_Wetland,Forest
410,Water,Water,Cropland,Water,Non_Wetland,Water
411,Water,Water,Cropland,Water,Non_Wetland,Forest
412,Water,Water,Wetland,NULL,Wetland,Grassland
413,Water,Water,Wetland,NULL,Wetland,Wetland
414,Water,Water,Wetland,NULL,Wetland,Bareland
415,Water,Water,Wetland,NULL,Wetland,Water
416,Water,Water,Wetland,NULL,Wetland,Forest
417,Water,Water,Wetland,Non_Water,Wetland,Grassland
418,Water,Water,Wetland,Non_Water,Wetland,Wetland
419,Water,Water,Wetland,Non_Water,Wetland,Bareland
420,Water,Water,Wetland,Non_Water,Wetland,Water
421,Water,Water,Wetland,Non_Water,Wetland,Forest
422,Water,Water,Wetland,Water,Wetland,Grassland
423,Water,Water,Wetland,Water,Wetland,Wetland
424,Water,Water,Wetland,Water,Wetland,Bareland
425,Water,Water,Wetland,Water,Wetland,Built-up
426,Water,Water,Wetland,Water,Wetland,Water
427,Water,Water,Wetland,Water,Wetland,Forest
428,Water,Water,Bareland,NULL,Non_Wetland,Water
429,Water,Water,Bareland,NULL,Non_Wetland,Forest
430,Water,Water,Bareland,Non_Water,Non_Wetland,Water
431,Water,Water,Bareland,Non_Water,Non_Wetland,Forest
432,Water,Water,Bareland,Water,Non_Wetland,Grassland
433,Water,Water,Bareland,Water,Non_Wetland,Water
434,Water,Water,Bareland,Water,Non_Wetland,Forest
435,Water,Water,Built-up,NULL,Non_Wetland,Bareland
436,Water,Water,Built-up,NULL,Non_Wetland,Water
437,Water,Water,Built-up,NULL,Non_Wetland,Forest
438,Water,Water,Built-up,Non_Water,Non_Wetland,Water
439,Water,Water,Built-up,Water,Non_Wetland,NULL
440,Water,Water,Built-up,Water,Non_Wetland,Bareland
441,Water,Water,Built-up,Water,Non_Wetland,Water
442,Water,Water,Water,NULL,Water,Grassland
443,Water,Water,Water,NULL,Water,Bareland
444,Water,Water,Water,NULL,Water,Water
445,Water,Water,Water,NULL,Water,Forest
446,Water,Water,Water,Non_Water,Water,Wetland
447,Water,Water,Water,Non_Water,Water,Bareland
448,Water,Water,Water,Non_Water,Water,Water
449,Water,Water,Water,Non_Water,Water,Forest
450,Water,Water,Water,Water,Water,Grassland
451,Water,Water,Water,Water,Water,Wetland
452,Water,Water,Water,Water,Water,Bareland
